train_model,test_model,features,fpr,tpr,AUC
SVM,DT,40,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,40,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,40,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,41,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,41,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,41,[0.         0.17647059 1.        ],[0.         0.97761194 1.        ],0.9005706760316067
SVM,RF,41,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,41,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,42,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,42,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,42,[0.         0.17647059 1.        ],[0.         0.99253731 1.        ],0.9080333625987708
SVM,RF,42,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,42,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,43,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,43,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,43,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,43,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,43,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,44,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,44,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,44,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
SVM,RF,44,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,44,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,45,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,45,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,45,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
SVM,RF,45,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,45,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,46,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,46,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,46,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,RF,46,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,46,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,47,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,47,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,47,[0.         0.05882353 1.        ],[0.         0.97014925 1.        ],0.9556628621597892
SVM,RF,47,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,47,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,48,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,48,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,48,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,48,[0. 0. 1.],[0. 1. 1.],1.0
