train_model,test_model,features,fpr,tpr,AUC
SVM,SVM,91,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,91,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,91,[0.         0.05882353 1.        ],[0.         0.97014925 1.        ],0.9556628621597892
SVM,RF,91,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,91,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,92,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,92,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,92,[0. 0. 1.],[0.         0.97014925 1.        ],0.9850746268656716
SVM,RF,92,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,92,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,93,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,93,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,93,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
SVM,RF,93,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,93,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,94,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,94,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,94,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,RF,94,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,94,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,95,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,95,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,95,[0.         0.05882353 1.        ],[0.         0.97761194 1.        ],0.9593942054433714
SVM,RF,95,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,95,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,96,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,96,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,96,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
SVM,RF,96,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,96,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,97,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,97,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,97,[0. 0. 1.],[0. 1. 1.],1.0
SVM,RF,97,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,97,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,98,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,98,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,98,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
SVM,RF,98,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,98,[0. 0. 1.],[0. 1. 1.],1.0
SVM,SVM,99,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,99,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,99,[0. 0. 1.],[0. 1. 1.],1.0
SVM,RF,99,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,99,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,20,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,20,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,20,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,20,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,20,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,21,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,21,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,21,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,21,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,21,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,22,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,22,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,22,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,22,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,22,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,23,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,23,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,23,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,23,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,23,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,24,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,24,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,24,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,24,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,24,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,25,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,25,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,25,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,25,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,25,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,26,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,26,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,26,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,26,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,26,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,27,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,27,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,27,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
LR,RF,27,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,27,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,28,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,28,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,28,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,28,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,28,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,29,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,29,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,29,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,29,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,29,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,30,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,30,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,30,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,30,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,30,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,31,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,31,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,31,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,31,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,31,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,32,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,32,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,32,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,32,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,32,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,33,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,33,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,33,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,33,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,33,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,34,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,34,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,34,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,34,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,34,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,35,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,35,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,35,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,35,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,35,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,36,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,36,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,36,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,36,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,36,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,37,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,37,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,37,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,37,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,37,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,38,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,38,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,38,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,38,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,38,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,39,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,39,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,39,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,39,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,39,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,40,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,40,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,40,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,40,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,40,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,41,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,41,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,41,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,41,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,41,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,42,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,42,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,42,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,42,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,42,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,43,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,43,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,43,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,43,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,43,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,44,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,44,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,44,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,44,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,44,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,45,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,45,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,45,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,45,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,45,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,46,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,46,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,46,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,46,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,46,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,47,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,47,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,47,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,47,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,47,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,48,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,48,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,48,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,48,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,48,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,49,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,49,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,49,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,49,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,49,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,50,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,50,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,50,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,50,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,50,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,51,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,51,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,51,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,51,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,51,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,52,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,52,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,52,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,52,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,52,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,53,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,53,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,53,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
LR,RF,53,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,53,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,54,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,54,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,54,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,54,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,54,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,55,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,55,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,55,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,55,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,55,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,56,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,56,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,56,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,56,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,56,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,57,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,57,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,57,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,57,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,57,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,58,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,58,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,58,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,58,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,58,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,59,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,59,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,59,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,59,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,59,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,60,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,60,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,60,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
LR,RF,60,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,60,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,61,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,61,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,61,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,61,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,61,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,62,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,62,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,62,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,62,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,62,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,63,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,63,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,63,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,63,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,63,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,64,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,64,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,64,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,64,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,64,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,65,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,65,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,65,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,65,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,65,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,66,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,66,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,66,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,66,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,66,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,67,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,67,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,67,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,67,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,67,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,68,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,68,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,68,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,68,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,68,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,69,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,69,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,69,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,69,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,69,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,70,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,70,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,70,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,70,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,70,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,71,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,71,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,71,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
LR,RF,71,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,71,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,72,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,72,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,72,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,72,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,72,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,73,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,73,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,73,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
LR,RF,73,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,73,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,SVM,74,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,74,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,74,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,74,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,74,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,75,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,75,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,75,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
LR,RF,75,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,75,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,76,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,76,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,76,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,76,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,76,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,77,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,77,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,77,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
LR,RF,77,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,77,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,78,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,78,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,78,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,78,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,78,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,79,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,79,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,79,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
LR,RF,79,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,79,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,80,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,80,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,80,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,80,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,80,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,81,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,81,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,81,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,81,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,81,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,82,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,82,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,82,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,RF,82,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,82,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,83,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,83,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,83,[0. 0. 1.],[0. 1. 1.],1.0
LR,RF,83,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,83,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,84,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,84,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,84,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,84,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,84,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,85,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,85,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,85,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
