selection_model_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
XGBoost_25,ACCN1,ACTR2,ADSL,AQR,ARAP1,ATG4B,BRD3,DHX30,GABRA2,ID4,IL15,MAGI3,METRNL,MS4A3,NEUROG3,NKD2,NKX6-2,NLGN1,NOL4,ODZ4,OTUD7B,PCMTD2,PPP1R13B,SCNN1D,SIPA1
XGBoost_30,ACCN1,ACTR2,ADSL,AQR,ARAP1,ATG4B,BRD3,DHX30,GABRA2,ID4,IL15,MAGI3,METRNL,MS4A3,NEUROG3,NKD2,NKX6-2,NLGN1,NOL4,NTSR2,NUMBL,NUP62,ODZ4,OTUD7B,PCMTD2,PPP1R13B,SCNN1D,SIM2,SIPA1,SLC34A2
XGBoost_35,ACCN1,ACTR2,ADSL,AQR,ARAP1,ATG4B,BRD3,DHX30,GABRA2,ID4,IL15,MAGI3,METRNL,MS4A3,NEUROG3,NKD2,NKX6-2,NLGN1,NOL4,NTSR2,NUMBL,NUP62,ODZ4,OTUD7B,PCMTD2,PPP1R13B,SCNN1D,SEC22A,SETBP1,SETD2,SFPQ,SFRP5,SIM2,SIPA1,SLC34A2
Random Forest_25,ACCN1,AQR,BLVRA,CDC42,CUX2,DHX30,EIF4H,FAM5B,GPLD1,GSTZ1,HDGF,MAGI3,METRNL,MS4A3,MTHFD1,NEUROG3,NKD2,OGG1,OPA1,OTUD7B,PCMTD2,PPP3CA,PRKAA2,RUNX3,SLC29A3
Random Forest_30,ACCN1,AQR,BLVRA,CDC42,CUX2,DHX30,EIF4H,FAM5B,GPLD1,GSTZ1,HDGF,MAGI3,METRNL,MS4A3,MTHFD1,NEUROG3,NKD2,OGG1,OPA1,OTUD7B,PCMTD2,PPP3CA,PRKAA2,RELN,RNF14,RUNX3,S100A7L2,SLC29A3,SLC35F5,SNORA49
Random Forest_35,ACCN1,AQR,BLVRA,CDC42,CUX2,DHX30,DPP10,EIF4H,FAM5B,GPLD1,GSTZ1,HDGF,MAGI3,METRNL,MS4A3,MTHFD1,NEUROG3,NKD2,NLGN1,OGG1,OPA1,OTUD7B,PCMTD2,PPP3CA,PRKAA2,PWP1,RELN,RNF14,RUNX3,S100A7L2,SCNN1D,SEC22A,SLC29A3,SLC35F5,SNORA49
Decision Tree_25,DHX30,GPLD1,MTHFD1,RELN,REM1,RIMS1,RIMS2,RPL41,RPS15,RPS6KB2,RRAGD,RUNX3,S100A7L2,SAMD4A,SCNN1D,SEBOX,SEC14L4,SETBP1,SETD2,SFPQ,SFRP5,SIM2,SIPA1,SLC30A1,SLC35C2
Decision Tree_30,DHX30,GPLD1,MTHFD1,RCAN3,RCBTB1,RELA,RELN,REM1,RFTN1,RIMS1,RIMS2,RNF14,RPL41,RPS15,RPS6KB2,RRAGD,RUNX3,S100A7L2,SAMD4A,SCNN1D,SEBOX,SEC14L4,SETBP1,SETD2,SFPQ,SFRP5,SIM2,SIPA1,SLC30A1,SLC35C2
Decision Tree_35,DHX30,GPLD1,MTHFD1,RAB8A,RAD54L,RAD9A,RAE1,RALGAPB,RCAN3,RCBTB1,RELA,RELN,REM1,RFTN1,RIMS1,RIMS2,RNF14,RPL41,RPS15,RPS6KB2,RRAGD,RUNX3,S100A7L2,SAMD4A,SCNN1D,SEBOX,SEC14L4,SETBP1,SETD2,SFPQ,SFRP5,SIM2,SIPA1,SLC30A1,SLC35C2
SVM_25,ATG4B,BRD3,C12orf65,CYTL1,CYTSA,DHX30,EFS,MAGI3,METRNL,MS4A3,NEK11,NEUROG3,OTUD7B,PCMTD2,PFKFB4,RNF14,RTCD1,SAMD4A,SCNN1D,SLC29A3,SNORA49,SUCLA2,TOMM22,TRAF4,UNG
SVM_30,ATG4B,BRD3,C12orf65,C4orf33,CSPP1,CYTL1,CYTSA,DHX30,EFS,MAGI3,METRNL,MS4A3,NEK11,NEUROG3,OTUD7B,PCMTD2,PFKFB4,PRPF3,PWP1,RNF14,RTCD1,S100A7L2,SAMD4A,SCNN1D,SLC29A3,SNORA49,SUCLA2,TOMM22,TRAF4,UNG
SVM_35,ACCN1,ATG4B,BRD3,C12orf65,C4orf33,CDC42,CSPP1,CYTL1,CYTSA,DHX30,DOK7,EFS,LCORL,MAGI3,METRNL,MGC23284,MS4A3,NEK11,NEUROG3,OTUD7B,PCMTD2,PFKFB4,PRPF3,PWP1,RNF14,RTCD1,S100A7L2,SAMD4A,SCNN1D,SLC29A3,SNORA49,SUCLA2,TOMM22,TRAF4,UNG
