accuracy_test,recall_test,f1_score_test,AUC_test,MCC_test,features
0.9933774834437086,0.9981343283582089,0.9962755922987293,0.9770083406496928,0.9666997965497426,20
0.9933774834437086,0.9981343283582089,0.9962755922987293,0.9770083406496928,0.9666997965497426,25
0.9917218543046358,0.9962686567164178,0.9953392886866781,0.9760755048287972,0.958492567282773,30
0.9933774834437086,0.9981343283582089,0.9962755922987293,0.9770083406496928,0.9666997965497426,35
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,40
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,45
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,50
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,55
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,60
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,65
0.9950331125827814,1.0,0.9972118959107805,0.9779411764705882,0.9749070258167122,70
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,75
0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496,80
