gene
CYB5B
TMEM214
RIPPLY2
SLFN11
PUF60
STIM1
GSTM4
PTCHD2
BRD3
POU2F3
NCOA3
LOC283392
POU3F1
RPL10L
COLEC12
TMEM56
NEGR1
MIR543
TACR1
RAB43
NUDT17
RNH1
ITGB1
SEPHS1
FBRSL1
SLC10A4
FAM163A
PKLR
MCOLN2
MYADM
SENP2
RHBDL1
NLRP3
SETD1B
GRIN2A
ZFAND3
RING1
IGF1R
PRMT10
PSMA5
LOC728448
WDR81
HIST1H1C
SLC39A7
TCEA1
EFCAB4B
ALDH1A3
SUPT4H1
NEURL
STK39
TSTD1
COMMD1
SFRS4
PCDH20
PRKAB2
RAB11FIP1
MED9
LOC283867
PLA2G7
PUSL1
MYBBP1A
NEU2
TMEM97
POLR2H
SLC12A7
NRG3
POU3F2
IRF2
C17orf57
RCOR2
SFRP1
TBXAS1
OR2L8
SRP68
TRPM5
TRNP1
KHDRBS3
MIR1258
BEST4
SIM2
FASTK
WDR55
SELI
PPIA
ZNF131
TCF7
SETD2
ST3GAL3
TCTN3
JMJD4
SRD5A2
NKX2-2
MIR488
RCE1
SLC30A3
BMPER
MX1
SEC24B
THOC7
PIK3C3
TCEA2
TNKS2
TP53AIP1
RET
FCRL2
TBRG4
PTPRN
RANBP3
ATL3
OAZ1
LOC148824
C1orf212
SELV
THBS1
DPYSL5
OS9
KCNQ1DN
BTRC
SMG6
PTAFR
STK10
APOC3
POLR2J4
MIR2110
SLTM
SFXN1
TMEM108
FZD1
PLA2G2E
PSMD12
PRR23A
CCDC19
NKX6-1
RBM42
HOOK2
NKD2
TMBIM6
PDCD10
PTPRG
DTNBP1
DDX49
MRPS33
SCYL2
IRF2BP1
RBM23
MTR
KIAA1804
CCDC3
RNF186
TMEM159
TBCCD1
LOC338758
IGSF21
KIF1B
DNAJC30
PRCC
PRKCDBP
EDC4
TPPP3
KCNG3
UEVLD
