accuracy_test,recall_test,f1_score_test,AUC_test,MCC_test,train_model
0.9708354559347937,0.9731630309988518,0.9833549994702704,0.9628258593908287,0.870067683193064,Decision Tree
0.8874172185430462,1.0,0.9403508771929824,0.5,0.0,Random Forest
0.9933774834437086,0.9992824339839265,0.9962798603493825,0.9730575065847235,0.9666031224200238,SVM
0.8874172185430462,1.0,0.9403508771929824,0.5,0.0,XGBoost
