accuracy_diff,recall_diff,f1_score_diff,AUC_diff,MCC_diff,train_model
0.0018568517575140292,-0.0014602402352876926,0.001350450280895199,0.014084915208227399,-0.00562080039002107,Decision Tree
0.01758278145695369,0.0,0.009780356402818047,0.0,0.0,Random Forest
0.006526362710137569,0.0006113186722570765,0.0036669670167996725,0.026889369743368356,0.03284467969160429,SVM
0.01758278145695369,0.0,0.009780356402818047,0.0,0.0,XGBoost
