selection_model,train_model,features,accuracy_test,recall_test,f1_score_test,AUC_test,MCC_test
XGBoost,SVM,70,0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496
Random Forest,SVM,70,0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496
Decision Tree,SVM,70,0.9933774834437086,1.0,0.9962825278810408,0.9705882352941176,0.9665427010889496
SVM,SVM,70,1.0,1.0,1.0,1.0,1.0
