selection_model,train_model,features,accuracy,recall,speficity,precision,f1_score,J-index,AUC,MCC,Mean cross-validated score,Best parameters
Decision Tree,XGBoost,35,0.9898710865561694,0.9815837937384899,0.998158379373849,0.99812734082397,0.989786443825441,0.979742173112339,0.9898710865561694,0.9798767767072863,0.9917135247114531,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.7}"
Decision Tree,Random Forest,35,0.9935543278084714,0.988950276243094,0.998158379373849,0.9981412639405205,0.9935245143385754,0.987108655616943,0.9935543278084714,0.9871505063368089,0.9935568426838033,"{'max_features': 10, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Decision Tree,Decision Tree,35,0.9834254143646409,0.9760589318600368,0.990791896869245,0.9906542056074766,0.9833024118738405,0.9668508287292816,0.9834254143646409,0.9669557782600177,0.9797446412717203,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Decision Tree,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9963175918488142,"{'C': 50, 'kernel': 'rbf'}"
SVM,XGBoost,25,0.9917127071823204,0.9852670349907919,0.998158379373849,0.9981343283582089,0.9916589434661723,0.9834254143646408,0.9917127071823205,0.9835071406928159,0.9926351836976283,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 60, 'n_estimators': 100, 'subsample': 0.6}"
SVM,Random Forest,25,0.9953959484346224,0.990791896869245,1.0,1.0,0.9953746530989824,0.9907918968692448,0.9953959484346224,0.9908339037485134,0.9935568426838033,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
SVM,Decision Tree,25,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9880311165602672,"{'max_features': 20, 'min_samples_leaf': 70, 'min_samples_split': 70}"
SVM,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990825688073395,"{'C': 50, 'kernel': 'rbf'}"
SVM,XGBoost,30,0.990791896869245,0.9815837937384899,1.0,1.0,0.9907063197026023,0.9815837937384899,0.990791896869245,0.9817502914283808,0.9935526148902888,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 60, 'n_estimators': 50, 'subsample': 0.6}"
SVM,Random Forest,30,0.994475138121547,0.988950276243094,1.0,1.0,0.9944444444444445,0.988950276243094,0.994475138121547,0.9890106554040419,0.9935526148902888,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
SVM,Decision Tree,30,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9880311165602672,"{'max_features': 10, 'min_samples_leaf': 70, 'min_samples_split': 70}"
SVM,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990825688073395,"{'C': 50, 'kernel': 'rbf'}"
SVM,XGBoost,35,0.992633517495396,0.9871086556169429,0.998158379373849,0.9981378026070763,0.9925925925925926,0.9852670349907919,0.9926335174953961,0.9853271892759076,0.9935568426838033,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 100, 'subsample': 0.7}"
SVM,Random Forest,35,0.996316758747698,0.992633517495396,1.0,1.0,0.9963031423290203,0.992633517495396,0.996316758747698,0.9926604512524937,0.9953959328626392,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 100}"
SVM,Decision Tree,35,0.9843462246777164,0.9686924493554327,1.0,1.0,0.9840972871842844,0.9686924493554327,0.9843462246777164,0.9691675367477567,0.9834270494229062,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
SVM,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981609098211643,"{'C': 50, 'kernel': 'rbf'}"
