Gene name,GO domain,GO term accession
ABL1,biological_process,GO:0007204
ABL1,biological_process,GO:0051444
ABL1,biological_process,GO:1900275
ABL1,molecular_function,GO:0000400
ABL1,molecular_function,GO:0000405
ABL1,molecular_function,GO:0004713
ABL1,molecular_function,GO:0005080
ABL1,molecular_function,GO:0038191
ABL1,molecular_function,GO:0042169
ABL1,molecular_function,GO:0043621
ABL1,molecular_function,GO:0046875
ABL1,molecular_function,GO:0051019
ABL1,biological_process,GO:0000278
ABL1,biological_process,GO:0018108
ABL1,biological_process,GO:0018108
ABL1,biological_process,GO:0035791
ABL1,biological_process,GO:0038083
ABL1,biological_process,GO:0051353
ABL1,biological_process,GO:0051444
ABL1,biological_process,GO:0051882
ABL1,biological_process,GO:0070301
ABL1,biological_process,GO:0071103
ABL1,biological_process,GO:1902036
ABL1,biological_process,GO:1903905
ABL1,biological_process,GO:1904518
ABL1,biological_process,GO:1904528
ABL1,biological_process,GO:1904531
ABL1,biological_process,GO:1905244
ABL1,biological_process,GO:1990051
ABL1,biological_process,GO:2000406
ABL1,cellular_component,GO:0098794
ACOT11,,
ACOT11,,
ACOT11,molecular_function,GO:0008289
ACOT11,molecular_function,GO:0016790
ACOT11,cellular_component,GO:0005737
ACOT11,cellular_component,GO:0005737
ACOT11,biological_process,GO:0006629
ACOT11,cellular_component,GO:0005829
ACOT11,molecular_function,GO:0016787
ACOT11,cellular_component,GO:0005739
ACOT11,cellular_component,GO:0005759
ACOT11,cellular_component,GO:0005759
ACOT11,biological_process,GO:0006631
ACOT11,biological_process,GO:0006631
ACOT11,biological_process,GO:0035556
ACOT11,molecular_function,GO:0005515
ACOT11,molecular_function,GO:0052689
ACOT11,cellular_component,GO:0005829
ACOT11,molecular_function,GO:0047617
ACOT11,molecular_function,GO:0047617
ACOT11,cellular_component,GO:0005829
ACOT11,cellular_component,GO:0070062
ACOT11,molecular_function,GO:0016290
ACOT11,molecular_function,GO:0016290
ACOT11,molecular_function,GO:0102991
ACOT11,biological_process,GO:0006637
ACOT11,biological_process,GO:0120163
ACOT11,molecular_function,GO:0047617
ACOT11,biological_process,GO:0009266
ACOT11,molecular_function,GO:0052816
ACOT11,biological_process,GO:0009409
ACOT11,molecular_function,GO:0008289
ACOT11,molecular_function,GO:0016790
ACOT11,cellular_component,GO:0005737
ACOT11,biological_process,GO:0006629
ACOT11,cellular_component,GO:0005829
ACOT11,molecular_function,GO:0016787
ACOT11,cellular_component,GO:0005739
ACOT11,cellular_component,GO:0005759
ACOT11,biological_process,GO:0006631
ACOT11,biological_process,GO:0006631
ACOT11,biological_process,GO:0035556
ACOT11,molecular_function,GO:0052689
ACOT11,cellular_component,GO:0005829
ACOT11,molecular_function,GO:0047617
ACOT11,cellular_component,GO:0005829
ACOT11,cellular_component,GO:0070062
ACOT11,molecular_function,GO:0016290
ACOT11,molecular_function,GO:0102991
ACOT11,biological_process,GO:0006637
ACOT11,biological_process,GO:0120163
ACOT11,molecular_function,GO:0047617
ACOT11,biological_process,GO:0009266
ACOT11,biological_process,GO:0009409
ACOT11,,
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
