selection_model,train_model,features,accuracy_validate,recall_validate,f1_score_validate,AUC_validate,MCC_validate,fbeta2_score_validate
SVM,SVM,2,0.9369369369369368,0.9702970297029704,0.9655172413793104,0.798019801980198,0.5981918006809052,0.9683794466403162
DecisionTree,SVM,2,0.954954954954955,0.9702970297029704,0.9751243781094528,0.8603960396039603,0.738112512431608,0.9722222222222222
RandomForest,SVM,2,0.954954954954955,0.99009900990099,0.975609756097561,0.89009900990099,0.6950561384365173,0.984251968503937
XGBoost,SVM,2,0.954954954954955,0.9702970297029704,0.9751243781094528,0.8762376237623762,0.738112512431608,0.9722222222222222
