selection_model,train_model,features,accuracy_validate,recall_validate,f1_score_validate,AUC_validate,MCC_validate,fbeta2_score_validate
SVM,XGBoost,3,0.8541666666666666,0.75,0.8372093023255814,0.8958333333333334,0.7242243488319186,0.782608695652174
DecisionTree,XGBoost,3,0.8125,0.8333333333333334,0.8163265306122449,0.8420138888888888,0.6255432421712243,0.8264462809917356
RandomForest,XGBoost,3,0.9375,0.9583333333333334,0.9387755102040816,0.9583333333333334,0.8757605390397141,0.950413223140496
XGBoost,XGBoost,3,0.8958333333333334,0.9583333333333334,0.9019607843137256,0.9322916666666669,0.7979249985750353,0.934959349593496
