selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.23529411764705882, 1.0]","[0.0, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0]",[       inf 0.974934   0.41143167 0.31056818 0.27062735 0.20512636]
SVM,RandomForest,1,"[0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.5294117647058824, 1.0]","[0.0, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0]","[       inf 1.         0.68033333 0.35496825 0.34163492 0.01
 0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.9411764705882353, 0.9411764705882353, 1.0]","[0.0, 0.007462686567164179, 0.27611940298507465, 0.27611940298507465, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0]","[       inf 1.         0.99999998 0.99999998 0.22644791 0.11131234
 0.10039219 0.10004201]"
SVM,DecisionTree,1,"[0.0, 0.058823529411764705, 0.17647058823529413, 1.0]","[0.0, 0.9925373134328358, 1.0, 1.0]",[inf 1.  0.5 0. ]
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882, 0.4117647058823529, 0.5294117647058824, 1.0]","[0.0, 0.9104477611940298, 0.9477611940298507, 0.9776119402985075, 0.9850746268656716, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99667287 0.99437684 0.99048376 0.93282586 0.5843713
 0.14169842 0.13565338 0.06118925 0.03282254]"
SVM,RandomForest,2,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.5294117647058824, 1.0]","[0.0, 0.9776119402985075, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0]","[       inf 1.         0.78333333 0.775      0.53333333 0.04444444
 0.        ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.007462686567164179, 1.0, 1.0]",[       inf 0.99999123 0.79809585 0.008725  ]
SVM,DecisionTree,2,"[0.0, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882, 1.0]","[0.0, 0.9850746268656716, 1.0, 1.0, 1.0]",[       inf 1.         0.66666667 0.33333333 0.        ]
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.7647058823529411, 0.9411764705882353, 1.0]","[0.0, 0.8283582089552238, 0.835820895522388, 0.8731343283582089, 0.9029850746268657, 0.9253731343283582, 0.9402985074626866, 0.9552238805970149, 0.9776119402985075, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9759443  0.97389865 0.9672859  0.96303046 0.94296235
 0.93494123 0.8888984  0.87024075 0.75157255 0.57726467 0.57142377
 0.14497614 0.14384337 0.13703133]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.35294117647058826, 0.4117647058823529, 0.5294117647058824, 0.6470588235294118, 1.0]","[0.0, 0.9328358208955224, 0.9402985074626866, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.92 0.68 0.54 0.44 0.24 0.16 0.12 0.08 0.04 0.  ]
