selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.0, 0.01694915254237288, 0.06779661016949153, 0.22033898305084745, 0.23728813559322035, 1.0]","[0.0, 0.9510385756676558, 0.9703264094955489, 0.9792284866468842, 0.9866468842729971, 0.9896142433234422, 1.0]","[       inf 0.9754622  0.9417206  0.52268195 0.4313836  0.39054975
 0.26879507]"
SVM,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01694915254237288, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.0847457627118644, 0.0847457627118644, 0.1016949152542373, 0.1016949152542373, 0.11864406779661017, 0.11864406779661017, 0.13559322033898305, 0.13559322033898305, 0.15254237288135594, 0.15254237288135594, 0.1864406779661017, 0.22033898305084745, 0.22033898305084745, 0.23728813559322035, 0.2711864406779661, 0.3898305084745763, 0.423728813559322, 0.5254237288135594, 0.559322033898305, 0.576271186440678, 1.0]","[0.0, 0.9554896142433235, 0.9584569732937686, 0.9599406528189911, 0.9629080118694362, 0.9703264094955489, 0.973293768545994, 0.9792284866468842, 0.9792284866468842, 0.9807121661721068, 0.9866468842729971, 0.9881305637982196, 0.9881305637982196, 0.9910979228486647, 0.9925816023738873, 0.9940652818991098, 0.9940652818991098, 0.9955489614243324, 0.9955489614243324, 0.9970326409495549, 0.9970326409495549, 0.9985163204747775, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99666667 0.99       0.98       0.889
 0.81709524 0.77768254 0.74103968 0.65119841 0.64476768 0.64047619
 0.56580159 0.50630159 0.49533333 0.38677128 0.37750794 0.35115873
 0.34410462 0.33266017 0.28946392 0.27924026 0.26561111 0.2493355
 0.24283333 0.12974603 0.10219048 0.03285714 0.01333333 0.00285714
 0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.01694915254237288, 0.01694915254237288, 0.03389830508474576, 0.03389830508474576, 0.05084745762711865, 0.05084745762711865, 0.06779661016949153, 0.06779661016949153, 0.0847457627118644, 0.0847457627118644, 0.15254237288135594, 0.15254237288135594, 0.2033898305084746, 0.2033898305084746, 0.22033898305084745, 0.22033898305084745, 0.2542372881355932, 0.2542372881355932, 0.3728813559322034, 0.3728813559322034, 0.3898305084745763, 0.3898305084745763, 0.4915254237288136, 0.4915254237288136, 1.0]","[0.0, 0.001483679525222552, 0.9540059347181009, 0.9540059347181009, 0.973293768545994, 0.973293768545994, 0.9747774480712166, 0.9747774480712166, 0.9777448071216617, 0.9777448071216617, 0.9792284866468842, 0.9792284866468842, 0.9807121661721068, 0.9807121661721068, 0.9821958456973294, 0.9821958456973294, 0.9866468842729971, 0.9866468842729971, 0.9910979228486647, 0.9910979228486647, 0.9925816023738873, 0.9925816023738873, 0.9970326409495549, 0.9970326409495549, 0.9985163204747775, 0.9985163204747775, 1.0, 1.0]","[       inf 0.9999907  0.99025751 0.98784742 0.89003253 0.83781915
 0.81877643 0.79570737 0.76697412 0.7552293  0.73899287 0.73521978
 0.68401677 0.54322056 0.51032205 0.46986215 0.44312027 0.43731015
 0.33973847 0.30572368 0.29887489 0.17713927 0.15706753 0.13627052
 0.13407409 0.09390375 0.09337678 0.06340234]"
SVM,DecisionTree,1,"[0.0, 0.0, 0.01694915254237288, 0.0847457627118644, 0.11864406779661017, 0.1864406779661017, 0.23728813559322035, 1.0]","[0.0, 0.9747774480712166, 0.9792284866468842, 0.9910979228486647, 0.9955489614243324, 0.9985163204747775, 1.0, 1.0]","[       inf 1.         0.75       0.66666667 0.6        0.33333333
 0.25       0.        ]"
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01694915254237288, 0.01694915254237288, 0.03389830508474576, 0.03389830508474576, 0.0847457627118644, 0.0847457627118644, 0.1694915254237288, 0.2033898305084746, 0.3050847457627119, 0.3559322033898305, 0.4576271186440678, 0.4745762711864407, 0.4915254237288136, 0.559322033898305, 0.6101694915254238, 0.6440677966101694, 0.6779661016949152, 0.711864406779661, 0.7627118644067796, 0.8135593220338984, 0.9152542372881356, 1.0]","[0.0, 0.8946587537091988, 0.9020771513353115, 0.9065281899109793, 0.9094955489614244, 0.9258160237388724, 0.9391691394658753, 0.9421364985163204, 0.9436201780415431, 0.9465875370919882, 0.9510385756676558, 0.9599406528189911, 0.9629080118694362, 0.9703264094955489, 0.9747774480712166, 0.9777448071216617, 0.9807121661721068, 0.9851632047477745, 0.9910979228486647, 0.9940652818991098, 0.9940652818991098, 0.9955489614243324, 0.9955489614243324, 0.9970326409495549, 0.9970326409495549, 0.9985163204747775, 0.9985163204747775, 0.9985163204747775, 0.9985163204747775, 0.9985163204747775, 0.9985163204747775, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99828595 0.9981242  0.9981206  0.9979462  0.98921007
 0.989003   0.9690286  0.96424407 0.9602716  0.94138974 0.9411613
 0.93893284 0.89040446 0.8891003  0.8855514  0.88050425 0.8746264
 0.8365324  0.8356033  0.55644697 0.5531631  0.44447097 0.4361348
 0.26120877 0.25817797 0.17759009 0.17525928 0.12367234 0.12249456
 0.07439317 0.07401065 0.0724951  0.06750935 0.06620797 0.06539076
 0.0613426  0.06080575 0.0577551  0.0514316  0.0465656  0.04275059]"
SVM,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01694915254237288, 0.05084745762711865, 0.11864406779661017, 0.1864406779661017, 0.3220338983050847, 0.4576271186440678, 1.0]","[0.0, 0.9629080118694362, 0.973293768545994, 0.9851632047477745, 0.9896142433234422, 0.9940652818991098, 0.9970326409495549, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[ inf 1.   0.98 0.96 0.94 0.82 0.74 0.56 0.3  0.24 0.12 0.08 0.04 0.02
 0.  ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.01694915254237288, 0.01694915254237288, 0.1016949152542373, 0.1016949152542373, 0.9152542372881356, 0.9152542372881356, 1.0]","[0.0, 0.001483679525222552, 0.9940652818991098, 0.9940652818991098, 0.9970326409495549, 0.9970326409495549, 0.9985163204747775, 0.9985163204747775, 1.0, 1.0]","[       inf 1.         0.82451751 0.63829803 0.3522944  0.18307063
 0.17740068 0.01166647 0.01093033 0.00953501]"
SVM,DecisionTree,2,"[0.0, 0.0, 0.03389830508474576, 1.0]","[0.0, 0.9970326409495549, 1.0, 1.0]",[inf 1.  0.5 0. ]
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06779661016949153, 0.1016949152542373, 0.13559322033898305, 0.1864406779661017, 0.22033898305084745, 0.3389830508474576, 0.3728813559322034, 0.4406779661016949, 0.6779661016949152, 0.7627118644067796, 1.0]","[0.0, 0.6632047477744807, 0.841246290801187, 0.8471810089020771, 0.9065281899109793, 0.9094955489614244, 0.9169139465875371, 0.9198813056379822, 0.9287833827893175, 0.93026706231454, 0.9391691394658753, 0.9406528189910979, 0.9525222551928784, 0.9540059347181009, 0.956973293768546, 0.9599406528189911, 0.9629080118694362, 0.9658753709198813, 0.9703264094955489, 0.973293768545994, 0.9910979228486647, 0.9940652818991098, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9981622  0.9980889  0.99789953 0.997695   0.9973596
 0.9954091  0.9951763  0.99392784 0.99291855 0.9924965  0.99131656
 0.9910383  0.99081236 0.9904647  0.9887916  0.9874401  0.982694
 0.9791924  0.974246   0.89569515 0.874717   0.47160256 0.12390233
 0.121819   0.09508661 0.05147486 0.04121381 0.03560765 0.02936191
 0.02772889 0.02495283 0.02361888 0.02229794]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01694915254237288, 0.05084745762711865, 0.0847457627118644, 0.2033898305084746, 0.4576271186440678, 1.0]","[0.0, 0.9614243323442137, 0.9821958456973294, 0.9896142433234422, 0.9955489614243324, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.85 0.8  0.35 0.25 0.15 0.1  0.05 0.  ]
