selection_model,train_model,features,fpr,tpr,threshold
SVM,SVM,3,"[0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.05, 0.075, 0.075, 0.1, 0.1, 0.125, 0.125, 0.2, 0.2, 0.475, 0.475, 0.6, 0.6, 0.65, 0.65, 0.85, 0.85, 1.0, 1.0]","[0.0, 0.0024937655860349127, 0.29177057356608477, 0.29177057356608477, 0.85785536159601, 0.85785536159601, 0.9326683291770573, 0.9326683291770573, 0.9625935162094763, 0.9625935162094763, 0.9750623441396509, 0.9750623441396509, 0.9850374064837906, 0.9850374064837906, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9950124688279302, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0]","[       inf 0.99600247 0.99139992 0.99132052 0.98352614 0.98347472
 0.98015314 0.98007513 0.88785178 0.84974023 0.74586671 0.69541894
 0.23825007 0.17654923 0.16762962 0.06363889 0.06111346 0.0470566
 0.04551851 0.04477392 0.04434381 0.03686304 0.03596747 0.02957461
 0.02817571]"
SVM,DecisionTree,3,"[0.0, 0.0, 0.025, 0.1, 0.15, 0.2, 0.275, 1.0]","[0.0, 0.9576059850374065, 0.9675810473815462, 0.9825436408977556, 0.9900249376558603, 0.9950124688279302, 1.0, 1.0]","[       inf 1.         0.8        0.66666667 0.6        0.5
 0.4        0.        ]"
SVM,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.075, 0.075, 0.1, 0.1, 0.175, 0.175, 0.225, 0.225, 0.25, 0.25, 0.4, 0.425, 0.625, 0.675, 1.0]","[0.0, 0.3341645885286783, 0.5386533665835411, 0.5486284289276808, 0.5561097256857855, 0.5685785536159601, 0.5885286783042394, 0.6034912718204489, 0.6059850374064838, 0.6109725685785536, 0.6134663341645885, 0.6234413965087282, 0.6259351620947631, 0.6359102244389028, 0.6384039900249376, 0.6433915211970075, 0.6458852867830424, 0.6583541147132169, 0.6608478802992519, 0.6683291770573566, 0.6708229426433915, 0.6907730673316709, 0.6957605985037406, 0.7057356608478803, 0.713216957605985, 0.7206982543640897, 0.7281795511221946, 0.7356608478802993, 0.7506234413965087, 0.7605985037406484, 0.7655860349127181, 0.7680798004987531, 0.773067331670823, 0.7880299251870324, 0.8054862842892768, 0.8154613466334164, 0.8379052369077307, 0.8478802992518704, 0.8503740648379052, 0.8553615960099751, 0.8653366583541147, 0.8703241895261845, 0.9650872817955112, 0.9650872817955112, 0.9825436408977556, 0.9825436408977556, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9969446  0.9967998  0.996777   0.99662447 0.9964546
 0.99628675 0.99559975 0.9954496  0.9953917  0.9951643  0.9950407
 0.99480635 0.9945912  0.99458236 0.99436104 0.99390244 0.993873
 0.99375397 0.99361175 0.9933711  0.99331033 0.9927194  0.992519
 0.99219745 0.99216497 0.99173754 0.99169296 0.99148655 0.99093115
 0.9908137  0.9907939  0.99051964 0.9901472  0.9890899  0.9885721
 0.9853601  0.9842449  0.9838674  0.9833239  0.98297334 0.98286325
 0.8366644  0.79407346 0.6625319  0.60195595 0.52292705 0.353998
 0.3355689  0.30042946 0.295343   0.2664169  0.25665042 0.16338664
 0.16151394 0.11023271 0.10848869 0.05160669]"
SVM,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.05, 0.075, 0.075, 0.825, 0.875, 1.0]","[0.0, 0.8204488778054863, 0.8229426433915212, 0.827930174563591, 0.8503740648379052, 0.8553615960099751, 0.8603491271820449, 0.8678304239401496, 0.8827930174563591, 0.8877805486284289, 0.9002493765586035, 0.9052369077306733, 0.9077306733167082, 0.912718204488778, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.995      0.99333333 0.99       0.98833333
 0.988      0.98666667 0.98       0.97666667 0.96833333 0.96666667
 0.965      0.96333333 0.73666667 0.62966667 0.573      0.543
 0.464      0.041      0.03       0.        ]"
SVM,SVM,4,"[0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.05, 0.075, 0.075, 0.1, 0.1, 0.125, 0.125, 0.175, 0.175, 0.35, 0.35, 0.475, 0.475, 0.7, 0.7, 0.875, 0.875, 0.975, 0.975, 1.0]","[0.0, 0.0024937655860349127, 0.30423940149625933, 0.30423940149625933, 0.8179551122194514, 0.8179551122194514, 0.9600997506234414, 0.9600997506234414, 0.9625935162094763, 0.9625935162094763, 0.9750623441396509, 0.9750623441396509, 0.9825436408977556, 0.9825436408977556, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9950124688279302, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0]","[       inf 0.9999885  0.99009964 0.99005678 0.97993723 0.97987151
 0.97740083 0.97579362 0.96942513 0.95970176 0.93404512 0.93242579
 0.63422007 0.62292416 0.58796797 0.23044707 0.22914634 0.17372181
 0.16917543 0.13071384 0.12973305 0.11028862 0.10661055 0.10279797
 0.09823023 0.09681394]"
SVM,DecisionTree,4,"[0.0, 0.0, 0.175, 1.0]","[0.0, 0.9825436408977556, 1.0, 1.0]",[inf 1.  0.5 0. ]
SVM,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.05, 0.075, 0.075, 0.1, 0.1, 0.175, 0.225, 0.3, 0.3, 0.325, 0.425, 0.45, 0.45, 0.475, 0.55, 0.7, 0.825, 1.0]","[0.0, 0.5236907730673317, 0.5386533665835411, 0.5486284289276808, 0.5660847880299252, 0.5685785536159601, 0.57356608478803, 0.5785536159600998, 0.5835411471321695, 0.5935162094763092, 0.6309226932668329, 0.6433915211970075, 0.6508728179551122, 0.655860349127182, 0.6608478802992519, 0.6658354114713217, 0.6683291770573566, 0.683291770573566, 0.6882793017456359, 0.743142144638404, 0.7531172069825436, 0.7605985037406484, 0.7630922693266833, 0.7680798004987531, 0.773067331670823, 0.7780548628428927, 0.7830423940149626, 0.7905236907730673, 0.7930174563591023, 0.800498753117207, 0.8154613466334164, 0.8229426433915212, 0.8379052369077307, 0.8403990024937655, 0.8503740648379052, 0.8603491271820449, 0.8653366583541147, 0.8728179551122195, 0.8877805486284289, 0.942643391521197, 0.9501246882793017, 0.9551122194513716, 0.9576059850374065, 0.9576059850374065, 0.9650872817955112, 0.9650872817955112, 0.972568578553616, 0.972568578553616, 0.9825436408977556, 0.9825436408977556, 0.9875311720698254, 0.9875311720698254, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9966534  0.9962851  0.9961349  0.99578446 0.9957087
 0.9953211  0.9945973  0.99420375 0.9941502  0.994003   0.99344516
 0.99334514 0.9924333  0.99209267 0.9917502  0.99150074 0.9910171
 0.990035   0.98941445 0.9882839  0.9882592  0.98804784 0.987788
 0.9872049  0.98669136 0.98546696 0.9852432  0.9849784  0.98431545
 0.98418957 0.9817632  0.9807192  0.9806786  0.9801493  0.9779759
 0.9769099  0.9750344  0.97194666 0.91892487 0.915782   0.91114384
 0.90253955 0.8917833  0.8718294  0.8621359  0.8436378  0.8240207
 0.66477    0.6456773  0.6338068  0.33436164 0.31308508 0.23953019
 0.22733022 0.22224005 0.2078066  0.20138147 0.18771885 0.16291597
 0.14804249 0.09476594 0.08981659 0.08306488]"
SVM,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.15, 0.175, 0.375, 0.625, 1.0]","[0.0, 0.9451371571072319, 0.9825436408977556, 0.9950124688279302, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.6 0.5 0.4 0.3 0.2 0.1 0. ]
SVM,SVM,5,"[0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.05, 0.075, 0.075, 0.125, 0.125, 0.15, 0.15, 0.2, 0.2, 0.35, 0.35, 0.475, 0.475, 0.7, 0.7, 1.0, 1.0]","[0.0, 0.0024937655860349127, 0.9276807980049875, 0.9276807980049875, 0.9301745635910225, 0.9301745635910225, 0.9526184538653366, 0.9526184538653366, 0.9675810473815462, 0.9675810473815462, 0.9800498753117207, 0.9800498753117207, 0.9850374064837906, 0.9850374064837906, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9975062344139651, 0.9975062344139651, 1.0]","[       inf 0.99618267 0.98269152 0.98253786 0.98236927 0.98183408
 0.96654364 0.96642118 0.91568318 0.66390006 0.33356656 0.30105148
 0.20209531 0.18037567 0.15698324 0.06593641 0.06435965 0.05465811
 0.05229161 0.04125447 0.04011705 0.02890153 0.0287261 ]"
SVM,DecisionTree,5,"[0.0, 0.0, 0.025, 0.075, 0.15, 1.0]","[0.0, 0.9825436408977556, 0.9925187032418953, 0.9975062344139651, 1.0, 1.0]",[ inf 1.   0.8  0.5  0.25 0.  ]
