estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
LogisticRegression,E2F8,FLOT1,HDAC9,0.9033280507131537,0.9356136820925554,0.7835820895522388,0.9412955465587044,0.9384460141271443,0.9490675395657528,0.7134342600620075,0.9367445608380338
LogisticRegression,MIR9-1,FLOT1,HDAC9,0.8954041204437401,0.9336016096579477,0.753731343283582,0.9336016096579477,0.9336016096579477,0.9471605753926545,0.6873329529415297,0.9336016096579477
LogisticRegression,FBXO30,KLHDC8A,PYCARD,0.9033280507131537,0.9537223340040242,0.7164179104477612,0.92578125,0.9395441030723488,0.9570557674404636,0.7006285526539998,0.948
LogisticRegression,LPAR1,KLHDC8A,PYCARD,0.9064976228209192,0.9396378269617707,0.7835820895522388,0.9415322580645161,0.9405840886203424,0.955854530166071,0.7212623268059637,0.9400161030595813
LogisticRegression,E2F8,FLOT1,PAQR9,0.9001584786053882,0.9356136820925554,0.7686567164179104,0.9375,0.9365558912386707,0.9424156881588036,0.7023641007823133,0.9359903381642513
LogisticRegression,DUOX1,FBXO30,MIR9-1,0.9033280507131537,0.9456740442655935,0.746268656716418,0.9325396825396826,0.939060939060939,0.9552388960629449,0.705803158220608,0.9430176565008026
LogisticRegression,DUOX1,SFXN5,MIR9-1,0.9175911251980983,0.9416498993963782,0.8283582089552238,0.9531568228105907,0.9473684210526315,0.9522508183428932,0.7579160919967912,0.9439290036304961
LogisticRegression,FBXO30,FLOT1,NAT8L,0.9064976228209192,0.937625754527163,0.7910447761194029,0.9433198380566802,0.9404641775983855,0.9560497312231598,0.7228331163181222,0.9387590652699436
LogisticRegression,HDAC9,FLOT1,NAT8L,0.9096671949286846,0.9557344064386318,0.7388059701492538,0.9313725490196079,0.9433962264150944,0.9563049941439682,0.7215232307203786,0.9507606084867894
LogisticRegression,SFXN5,FLOT1,NAT8L,0.9128367670364501,0.9517102615694165,0.7686567164179104,0.9384920634920635,0.945054945054945,0.9560347157572299,0.7347968082034996,0.9490369181380417
LogisticRegression,CAV1,FJX1,JDP2,0.9160063391442155,0.9496981891348089,0.7910447761194029,0.944,0.9468405215646941,0.9621159794588428,0.7469258315869924,0.9485530546623794
LogisticRegression,CAV1,SFXN5,JDP2,0.9239302694136292,0.9557344064386318,0.8059701492537313,0.9481037924151696,0.9519038076152304,0.9638277425748522,0.7702409558478706,0.9541984732824428
LogisticRegression,HDAC9,HES5,KLHDC8A,0.9049128367670365,0.9436619718309859,0.7611940298507462,0.936127744510978,0.9398797595190381,0.9518003543649958,0.7127553017940929,0.9421454399357172
LogisticRegression,HDAC9,JDP2,KLHDC8A,0.9112519809825673,0.9456740442655935,0.7835820895522388,0.9418837675350702,0.9437751004016064,0.9591429172047208,0.7332860884038166,0.9449135504624046
LogisticRegression,ANKH,CBX5,FLOT1,0.9223454833597464,0.9436619718309859,0.8432835820895522,0.9571428571428572,0.950354609929078,0.9627466290278988,0.772623090477835,0.9463276836158192
LogisticRegression,SFXN5,CBX5,FLOT1,0.9207606973058637,0.9436619718309859,0.835820895522388,0.955193482688391,0.9493927125506073,0.9630169074146371,0.7672420617331454,0.9459459459459459
LogisticRegression,ANKH,C1orf114,HIF3A,0.9255150554675119,0.9557344064386318,0.8134328358208955,0.95,0.9528585757271816,0.9607645875251509,0.7755873616120103,0.9545819935691319
LogisticRegression,HDAC9,C1orf114,HIF3A,0.9286846275752774,0.9577464788732394,0.8208955223880597,0.952,0.954864593781344,0.9645785158713474,0.7851412049536829,0.9565916398713826
LogisticRegression,ANKH,C1orf114,HIF3A,0.9255150554675119,0.9557344064386318,0.8134328358208955,0.95,0.9528585757271816,0.9607645875251509,0.7755873616120103,0.9545819935691319
LogisticRegression,HDAC9,C1orf114,HIF3A,0.9286846275752774,0.9577464788732394,0.8208955223880597,0.952,0.954864593781344,0.9645785158713474,0.7851412049536829,0.9565916398713826
