"","ACVR1C","ADD2","ADHFE1","ARHGDIB","BMP3","BOLL","CD96","CHRNA6","CLDN10","CNR1","COL23A1","CSPP1","CST7","DLX5","EOMES","EVX1","FGF12","FNDC1","GDNF","GREB1","GREM1","HOXD10","HOXD13","HOXD8","HOXD9","IFI27","IKZF1","IMMP2L","KCNK12","KCNN2","KLF6","LRRC4","MIR1178","MIR129-2","MIR137","MIR196A1","NDRG4","NPBWR1","NPY","PHLDB2","PIK3R5","PIWIL1","PPP1R16B","PRDM2","RAB5A","REC8","SALL1","SALL3","SERPINB5","SH3D19","SLCO4C1","SLFN13","SOCS5","ST8SIA1","ST8SIA5","TBX18","WSB1","ZIK1","ZNF132","ZNF154","ZNF529","ZNF582","ZNF626","ZNF793","ASAM","C15orf38","FAM159A","ZNF542"
"REC8",0.815,0.578,0.495,0.556,0.739,0.604,0.65,0.798,0.672,0.657,0.663,0.537,0.568,0.301,0.365,0.359,0.464,0.693,0.578,0.547,0.738,0.346,0.365,0.264,0.265,0.495,0.356,0.681,0.693,0.676,0.293,0.81,0.765,0.765,0.765,0.765,0.597,0.743,0.61,0.64,0.535,0.416,0.472,0.362,0.638,0,0.331,0,0.664,0.549,0.766,0.604,0.69,0.672,0.548,0.273,0.66,0,0,0,0,0,0,0,0.684,0.782,0.693,0
"SALL1",0.77,0.447,0.404,0.344,0.679,0,0.439,0.731,0.481,0.516,0.595,0.375,0.457,0.105,0.197,0.247,0.296,0.531,0.498,0.416,0.651,0.191,0.197,0.197,0.146,0.455,0.203,0.646,0.531,0.59,0.124,0.747,0.871,0.871,0.871,0.871,0.428,0.655,0.516,0.467,0.388,0.243,0.255,0.245,0.474,0.331,0,0,0.43,0.318,0.712,0,0.527,0.597,0.548,0.16,0.159,0,0,0,0,0,0,0,0.607,0.694,0.531,0
"SALL3",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"SERPINB5",0.514,0.399,0.565,0.288,0.394,0,0.177,0.548,0.263,0.431,0.435,0.457,0.385,0.374,0.636,0.645,0.264,0.197,0.325,0.485,0.434,0.504,0.636,0.631,0.641,0.607,0.515,0.705,0.402,0.471,0.517,0.592,0.871,0.871,0.871,0.871,0.29,0.462,0.384,0.38,0.387,0.356,0.294,0.599,0.497,0.664,0.43,0.604,0,0.313,0.484,0,0.453,0.511,0.59,0.64,0.159,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.459,0.694,0.402,0.604
"SH3D19",0.42,0.349,0.482,0.354,0.668,0.159,0.191,0.497,0.291,0.454,0.458,0.547,0.539,0.366,0.389,0.461,0.41,0.573,0.554,0.319,0.618,0.33,0.389,0.51,0.355,0.571,0.31,0.694,0.313,0.461,0.245,0.557,0.881,0.881,0.881,0.881,0.244,0.425,0.579,0.354,0.318,0.379,0.199,0.35,0.504,0.549,0.318,0.303,0.313,0,0.495,0.159,0.408,0.495,0.637,0.399,0,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.454,0.715,0.313,0.303
"SLCO4C1",0.49,0.487,0.723,0.43,0.489,0.644,0.448,0.541,0.497,0.562,0.502,0.74,0.547,0.699,0.754,0.745,0.631,0.536,0.568,0.419,0.641,0.736,0.754,0.742,0.744,0.682,0.733,0.762,0.313,0.532,0.709,0.594,0.903,0.903,0.903,0.903,0.41,0.486,0.572,0.561,0.546,0.715,0.531,0.695,0.548,0.766,0.712,0.699,0.484,0.495,0,0.644,0.726,0.518,0.568,0.743,0.694,0.699,0.699,0.699,0.699,0.699,0.699,0.699,0.546,0.76,0.313,0.699
"SLFN13",0.67,0.159,0.381,0,0.588,0,0,0.627,0,0,0.531,0,0.361,0,0.546,0.546,0,0.531,0.431,0.531,0.531,0.159,0.546,0.546,0.546,0.381,0.159,0.616,0.531,0.454,0.159,0.67,0.871,0.871,0.871,0.871,0,0.531,0.431,0.159,0,0,0,0.431,0,0.604,0,0.604,0,0.159,0.644,0,0.159,0.531,0.59,0.546,0.159,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.476,0.694,0.531,0.604
"SOCS5",0.628,0.523,0.607,0.392,0.694,0.159,0.42,0.707,0.495,0.61,0.667,0.553,0.558,0.469,0.67,0.683,0.504,0.573,0.595,0.626,0.648,0.503,0.67,0.666,0.68,0.663,0.482,0.683,0.557,0.619,0.529,0.73,0.834,0.834,0.834,0.834,0.47,0.623,0.612,0.488,0.274,0.455,0.487,0.641,0.605,0.69,0.527,0.66,0.453,0.408,0.726,0.159,0,0.586,0.658,0.679,0,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.64,0.715,0.557,0.66
"ST8SIA1",0.529,0.576,0.558,0.47,0.644,0.531,0.437,0.565,0.5,0.527,0.539,0.652,0.524,0.562,0.644,0.618,0.544,0.457,0.406,0.401,0.584,0.626,0.644,0.6,0.619,0.498,0.619,0.604,0,0.438,0.58,0.599,0.853,0.853,0.853,0.853,0.449,0.365,0.483,0.558,0.443,0.594,0.497,0.497,0.598,0.672,0.597,0.548,0.511,0.495,0.518,0.531,0.586,0,0,0.623,0.573,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.539,0.658,0,0.548
"ST8SIA5",0.759,0.631,0.462,0.59,0.783,0.59,0.59,0.759,0.59,0.508,0.546,0.59,0.292,0.548,0.637,0.548,0.548,0.807,0.292,0.637,0.807,0.548,0.637,0.548,0.548,0.392,0.548,0.559,0.661,0.661,0.447,0.759,0.951,0.951,0.951,0.951,0.392,0.661,0.292,0.658,0.548,0.548,0.548,0.292,0.447,0.548,0.548,0.548,0.59,0.637,0.568,0.59,0.658,0,0,0.548,0.658,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.699,0.868,0.661,0.548
"TBX18",0.804,0.583,0.395,0.557,0.71,0.546,0.629,0.78,0.657,0.653,0.629,0.52,0.54,0.173,0.142,0.211,0.395,0.652,0.527,0.402,0.713,0.184,0.142,0.111,0.075,0.454,0.245,0.641,0.652,0.673,0.146,0.787,0.829,0.829,0.829,0.829,0.565,0.72,0.575,0.633,0.51,0.372,0.376,0.183,0.61,0.273,0.16,0,0.64,0.399,0.743,0.546,0.679,0.623,0.548,0,0.6,0,0,0,0,0,0,0,0.688,0.758,0.652,0
"WSB1",0.694,0,0.477,0,0.62,0.159,0.159,0.658,0.159,0.159,0.573,0.159,0.461,0.159,0.6,0.6,0.159,0.573,0.518,0.573,0.573,0,0.6,0.6,0.6,0.477,0,0.684,0.573,0.545,0,0.694,0.881,0.881,0.881,0.881,0,0.573,0.518,0,0,0.159,0.159,0.518,0,0.66,0.159,0.66,0.159,0,0.694,0.159,0,0.573,0.658,0.6,0,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.554,0.715,0.573,0.66
"ZIK1",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ZNF132",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ZNF154",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ZNF529",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ZNF582",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ZNF626",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ZNF793",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
"ASAM",0.486,0.455,0.69,0.499,0.671,0.476,0.377,0.489,0.212,0.496,0.423,0.46,0.632,0.596,0.672,0.668,0.577,0.457,0.569,0.569,0.468,0.626,0.672,0.669,0.669,0.708,0.662,0.786,0.313,0.346,0.636,0.551,0.853,0.853,0.853,0.853,0.436,0.428,0.595,0.45,0.489,0.582,0.458,0.701,0.618,0.684,0.607,0.689,0.459,0.454,0.546,0.476,0.64,0.539,0.699,0.688,0.554,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0,0.658,0.313,0.689
"C15orf38",0.76,0.715,0.81,0.658,0.694,0.694,0.694,0.416,0.694,0.602,0.658,0.694,0.694,0.694,0.758,0.51,0.694,0.658,0.658,0.658,0.658,0.715,0.758,0.758,0.758,0.81,0.715,0.881,0.658,0.658,0.715,0.669,0.91,0.91,0.91,0.91,0.554,0.416,0.658,0.37,0.658,0.694,0.406,0.796,0.269,0.782,0.694,0.834,0.694,0.715,0.76,0.694,0.715,0.658,0.868,0.758,0.715,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.658,0,0.658,0.834
"FAM159A",0.313,0.313,0.72,0,0.531,0.531,0.313,0.313,0.313,0.313,0.313,0.531,0.531,0.531,0.652,0.627,0.531,0.457,0.457,0,0.457,0.573,0.652,0.652,0.652,0.641,0.573,0.678,0,0,0.573,0.313,0.853,0.853,0.853,0.853,0.313,0,0.457,0.313,0,0.531,0.313,0.717,0.313,0.693,0.531,0.732,0.402,0.313,0.313,0.531,0.557,0,0.661,0.652,0.573,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.313,0.658,0,0.732
"ZNF542",0.823,0.557,0.306,0.557,0.699,0.604,0.604,0.803,0.604,0.604,0.503,0.6,0.357,0,0.303,0,0,0.732,0.357,0.303,0.732,0,0.303,0,0,0.279,0,0.572,0.732,0.652,0,0.823,0.938,0.938,0.938,0.938,0.306,0.732,0.357,0.618,0,0,0,0,0.129,0,0,0,0.604,0.303,0.699,0.604,0.66,0.548,0.548,0,0.66,0,0,0,0,0,0,0,0.689,0.834,0.732,0
