"","ACVR1C","ADD2","ADHFE1","ARHGDIB","BMP3","BOLL","CD96","CHRNA6","CLDN10","CNR1","COL23A1","CSPP1","CST7","DLX5","EOMES","EVX1","FGF12","FNDC1","GDNF","GREB1","GREM1","HOXD10","HOXD13","HOXD8","HOXD9","IFI27","IKZF1","IMMP2L","KCNK12","KCNN2","KLF6","LRRC4","MIR1178","MIR129-2","MIR137","MIR196A1","NDRG4","NPBWR1","NPY","PHLDB2","PIK3R5","PIWIL1","PPP1R16B","PRDM2","RAB5A","REC8","SALL1","SALL3","SERPINB5","SH3D19","SLCO4C1","SLFN13","SOCS5","ST8SIA1","ST8SIA5","TBX18","WSB1","ZIK1","ZNF132","ZNF154","ZNF529","ZNF582","ZNF626","ZNF793","ASAM","C15orf38","FAM159A","ZNF542"
"COL23A1",0.543,0.524,0.643,0.538,0.514,0.531,0.479,0.533,0.506,0.54,0,0.665,0.481,0.623,0.653,0.637,0.505,0.197,0.413,0.476,0.236,0.583,0.653,0.685,0.618,0.648,0.537,0.778,0.313,0.434,0.564,0.583,0.643,0.643,0.643,0.643,0.451,0.489,0.453,0.522,0.512,0.624,0.461,0.633,0.577,0.663,0.595,0.503,0.435,0.458,0.502,0.531,0.667,0.539,0.546,0.629,0.573,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.423,0.658,0.313,0.503
"CSPP1",0.773,0.368,0.559,0.276,0.706,0,0.472,0.735,0.506,0.473,0.665,0,0.521,0.369,0.488,0.536,0.49,0.531,0.584,0.644,0.661,0.461,0.488,0.484,0.501,0.597,0.545,0.713,0.531,0.582,0.447,0.751,0.871,0.871,0.871,0.871,0.495,0.664,0.586,0.411,0.374,0.414,0.474,0.59,0.519,0.537,0.375,0.6,0.457,0.547,0.74,0,0.553,0.652,0.59,0.52,0.159,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.46,0.694,0.531,0.6
"CST7",0.791,0.45,0.438,0.339,0.528,0.361,0.469,0.751,0.497,0.554,0.481,0.521,0,0.437,0.611,0.562,0.355,0.197,0.242,0.554,0.583,0.513,0.611,0.542,0.539,0.44,0.514,0.65,0.531,0.634,0.453,0.768,0.871,0.871,0.871,0.871,0.452,0.685,0.265,0.567,0.518,0.45,0.455,0.368,0.398,0.568,0.457,0.357,0.385,0.539,0.547,0.361,0.558,0.524,0.292,0.54,0.461,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.632,0.694,0.531,0.357
"DLX5",0.752,0.452,0.406,0.325,0.652,0,0.364,0.719,0.433,0.519,0.623,0.369,0.437,0,0.23,0.281,0.252,0.531,0.475,0.496,0.623,0.21,0.23,0.109,0.176,0.438,0.244,0.62,0.531,0.585,0.151,0.73,0.871,0.871,0.871,0.871,0.408,0.633,0.505,0.458,0.389,0.203,0.252,0.275,0.502,0.301,0.105,0,0.374,0.366,0.699,0,0.469,0.562,0.548,0.173,0.159,0,0,0,0,0,0,0,0.596,0.694,0.531,0
"EOMES",0.786,0.584,0.423,0.548,0.7,0.546,0.618,0.771,0.659,0.66,0.653,0.488,0.611,0.23,0,0.262,0.517,0.652,0.583,0.396,0.695,0.279,0,0.151,0.09,0.56,0.329,0.682,0.652,0.665,0.195,0.774,0.902,0.902,0.902,0.902,0.625,0.707,0.63,0.622,0.598,0.47,0.462,0.272,0.648,0.365,0.197,0.303,0.636,0.389,0.754,0.546,0.67,0.644,0.637,0.142,0.6,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.672,0.758,0.652,0.303
"EVX1",0.787,0.6,0.498,0.561,0.695,0.546,0.638,0.67,0.662,0.595,0.637,0.536,0.562,0.281,0.262,0,0.464,0.627,0.551,0.444,0.686,0.306,0.262,0.262,0.197,0.515,0.342,0.705,0.627,0.505,0.223,0.738,0.902,0.902,0.902,0.902,0.564,0.573,0.589,0.626,0.54,0.438,0.384,0.316,0.481,0.359,0.247,0,0.645,0.461,0.745,0.546,0.683,0.618,0.548,0.211,0.6,0,0,0,0,0,0,0,0.668,0.51,0.627,0
"FGF12",0.733,0.501,0.5,0.355,0.387,0,0.415,0.491,0.452,0.425,0.505,0.49,0.355,0.252,0.517,0.464,0,0.197,0.273,0.436,0.439,0.371,0.517,0.416,0.398,0.491,0.368,0.682,0.531,0.558,0.303,0.477,0.871,0.871,0.871,0.871,0.432,0.46,0.246,0.49,0.413,0.261,0.283,0.371,0.484,0.464,0.296,0,0.264,0.41,0.631,0,0.504,0.544,0.548,0.395,0.159,0,0,0,0,0,0,0,0.577,0.694,0.531,0
"FNDC1",0.627,0.573,0.72,0.457,0.197,0.531,0.531,0.572,0.531,0.531,0.197,0.531,0.197,0.531,0.652,0.627,0.197,0,0,0.457,0.197,0.573,0.652,0.652,0.652,0.72,0.573,0.825,0.457,0.457,0.573,0.627,0.853,0.853,0.853,0.853,0.531,0.457,0,0.457,0.457,0.531,0.457,0.717,0.457,0.693,0.531,0.732,0.197,0.573,0.536,0.531,0.573,0.457,0.807,0.652,0.573,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.457,0.658,0.457,0.732
"GDNF",0.717,0.606,0.477,0.464,0.264,0.431,0.522,0.68,0.56,0.597,0.413,0.584,0.242,0.475,0.583,0.551,0.273,0,0,0.453,0.344,0.539,0.583,0.528,0.526,0.476,0.54,0.654,0.457,0.566,0.473,0.697,0.853,0.853,0.853,0.853,0.51,0.576,0.146,0.569,0.554,0.494,0.475,0.384,0.555,0.578,0.498,0.357,0.325,0.554,0.568,0.431,0.595,0.406,0.292,0.527,0.518,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.569,0.658,0.457,0.357
"GREB1",0.59,0.563,0.51,0.327,0.331,0.531,0.51,0.589,0.55,0.564,0.476,0.644,0.554,0.496,0.396,0.444,0.436,0.457,0.453,0,0.518,0.471,0.396,0.513,0.357,0.584,0.446,0.695,0,0.473,0.356,0.625,0.853,0.853,0.853,0.853,0.506,0.425,0.51,0.569,0.423,0.544,0.388,0.369,0.535,0.547,0.416,0.303,0.485,0.319,0.419,0.531,0.626,0.401,0.637,0.402,0.573,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.569,0.658,0,0.303
"GREM1",0.674,0.666,0.763,0.547,0.329,0.531,0.575,0.66,0.605,0.651,0.236,0.661,0.583,0.623,0.695,0.686,0.439,0.197,0.344,0.518,0,0.684,0.695,0.698,0.717,0.786,0.674,0.842,0.457,0.476,0.685,0.673,0.853,0.853,0.853,0.853,0.648,0.555,0.432,0.599,0.619,0.65,0.581,0.743,0.676,0.738,0.651,0.732,0.434,0.618,0.641,0.531,0.648,0.584,0.807,0.713,0.573,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.468,0.658,0.457,0.732
"HOXD10",0.786,0.467,0.465,0.408,0.706,0.159,0.508,0.753,0.54,0.572,0.583,0.461,0.513,0.21,0.279,0.306,0.371,0.573,0.539,0.471,0.684,0,0.279,0.279,0.217,0.491,0.173,0.67,0.573,0.619,0.15,0.766,0.733,0.733,0.733,0.733,0.451,0.688,0.56,0.496,0.42,0.239,0.332,0.318,0.522,0.346,0.191,0,0.504,0.33,0.736,0.159,0.503,0.626,0.548,0.184,0,0,0,0,0,0,0,0,0.626,0.715,0.573,0
"HOXD13",0.786,0.584,0.423,0.548,0.7,0.546,0.618,0.771,0.659,0.66,0.653,0.488,0.611,0.23,0,0.262,0.517,0.652,0.583,0.396,0.695,0.279,0,0.151,0.09,0.56,0.329,0.682,0.652,0.665,0.195,0.774,0.902,0.902,0.902,0.902,0.625,0.707,0.63,0.622,0.598,0.47,0.462,0.272,0.648,0.365,0.197,0.303,0.636,0.389,0.754,0.546,0.67,0.644,0.637,0.142,0.6,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.672,0.758,0.652,0.303
"HOXD8",0.796,0.572,0.413,0.533,0.692,0.546,0.61,0.775,0.653,0.651,0.685,0.484,0.542,0.109,0.151,0.262,0.416,0.652,0.528,0.513,0.698,0.279,0.151,0,0.115,0.445,0.329,0.621,0.652,0.661,0.199,0.779,0.902,0.902,0.902,0.902,0.581,0.71,0.588,0.617,0.543,0.383,0.431,0.244,0.647,0.264,0.197,0,0.631,0.51,0.742,0.546,0.666,0.6,0.548,0.111,0.6,0,0,0,0,0,0,0,0.669,0.758,0.652,0
"HOXD9",0.806,0.565,0.374,0.533,0.712,0.546,0.63,0.782,0.658,0.64,0.618,0.501,0.539,0.176,0.09,0.197,0.398,0.652,0.526,0.357,0.717,0.217,0.09,0.115,0,0.454,0.249,0.64,0.652,0.657,0.073,0.788,0.902,0.902,0.902,0.902,0.565,0.723,0.574,0.612,0.512,0.374,0.375,0.165,0.605,0.265,0.146,0,0.641,0.355,0.744,0.546,0.68,0.619,0.548,0.075,0.6,0,0,0,0,0,0,0,0.669,0.758,0.652,0
