selection_model,train_model,features,fpr,tpr,threshold
XGBoost,SVM,1,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.005917159763313609, 0.9822485207100592, 0.9822485207100592, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]","[       inf 1.         0.42431704 0.24552703 0.22248031 0.01980084
 0.0099723  0.00708975]"
XGBoost,DecisionTree,1,"[0.0, 0.26666666666666666, 1.0]","[0.0, 0.9763313609467456, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0]","[0.0, 0.9467455621301775, 0.9585798816568047, 0.9763313609467456, 0.9881656804733728, 0.9881656804733728, 1.0, 1.0]","[       inf 0.9773276  0.9671419  0.8689895  0.6058394  0.46868774
 0.33882484 0.22726758]"
XGBoost,RandomForest,2,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.4, 0.6666666666666666, 0.7333333333333333, 1.0]","[0.0, 0.9526627218934911, 0.9881656804733728, 0.9881656804733728, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.74166667 0.6125     0.38446429 0.05666667
 0.025      0.02142857 0.        ]"
XGBoost,SVM,2,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 1.0]","[0.0, 0.011834319526627219, 0.9881656804733728, 0.9881656804733728, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]","[       inf 1.         0.66927625 0.3565314  0.30176921 0.25429086
 0.21502443 0.00608276]"
XGBoost,DecisionTree,2,"[0.0, 0.06666666666666667, 0.06666666666666667, 1.0]","[0.0, 0.9822485207100592, 0.9881656804733728, 1.0]",[       inf 1.         0.66666667 0.        ]
XGBoost,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 1.0]","[0.0, 0.8816568047337278, 0.9053254437869822, 0.9112426035502958, 0.9230769230769231, 0.9408284023668639, 0.9644970414201184, 0.9822485207100592, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0]","[       inf 0.9974813  0.9947349  0.993299   0.9909016  0.9562647
 0.9545987  0.9485713  0.48504025 0.20686649 0.14374663 0.06365101
 0.0590523 ]"
XGBoost,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.26666666666666666, 0.4666666666666667, 1.0]","[0.0, 0.9704142011834319, 0.9822485207100592, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]",[inf 1.  0.9 0.6 0.2 0.1 0. ]
XGBoost,SVM,3,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0]","[0.0, 0.005917159763313609, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]",[       inf 1.         0.32154972 0.25983133 0.17017456 0.03512638]
XGBoost,DecisionTree,3,"[0.0, 0.06666666666666667, 1.0]","[0.0, 0.9881656804733728, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.4, 0.5333333333333333, 0.6, 0.7333333333333333, 1.0]","[0.0, 0.8520710059171598, 0.8757396449704142, 0.8816568047337278, 0.893491124260355, 0.9171597633136095, 0.9230769230769231, 0.9467455621301775, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9977295  0.99757355 0.99720037 0.9963289  0.9944154
 0.9941309  0.99406683 0.8109344  0.08328477 0.08173192 0.03776773
 0.03702081 0.03603893 0.02812561 0.02273626]"
XGBoost,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.26666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.9467455621301775, 0.9704142011834319, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.76 0.24 0.1  0.08 0.04 0.02 0.  ]
XGBoost,SVM,4,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 1.0]","[0.0, 0.005917159763313609, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]",[       inf 1.         0.5        0.16279354 0.15112657 0.03824534]
XGBoost,DecisionTree,4,"[0.0, 0.0, 0.06666666666666667, 1.0]","[0.0, 0.9881656804733728, 1.0, 1.0]",[inf 1.  0.5 0. ]
XGBoost,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.13333333333333333, 1.0]","[0.0, 0.8402366863905325, 0.8461538461538461, 0.8757396449704142, 0.893491124260355, 0.9112426035502958, 0.9230769230769231, 0.9467455621301775, 0.9585798816568047, 0.9822485207100592, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]","[       inf 0.97781914 0.976168   0.976117   0.97331446 0.96930456
 0.9677549  0.96774685 0.9417981  0.93738115 0.7985322  0.23461527
 0.15003878 0.14037892]"
XGBoost,RandomForest,5,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.3333333333333333, 1.0]","[0.0, 0.9704142011834319, 0.9940828402366864, 0.9940828402366864, 0.9940828402366864, 1.0]",[inf 1.  0.9 0.3 0.1 0. ]
XGBoost,SVM,5,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0]","[0.0, 0.005917159763313609, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]",[       inf 0.99999971 0.37863006 0.14404902 0.10541853 0.03998699]
XGBoost,DecisionTree,5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.9822485207100592, 0.9940828402366864, 1.0]",[       inf 1.         0.66666667 0.        ]
