selection_model,train_model,features,fpr,tpr,threshold
SVM,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.42105263157894735, 1.0]","[0.0, 0.949685534591195, 0.9559748427672956, 0.9811320754716981, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 1.         0.98333333 0.95       0.85       0.66666667
 0.65       0.59666667 0.05       0.        ]"
SVM,SVM,4,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 1.0]","[0.0, 0.006289308176100629, 0.9811320754716981, 0.9811320754716981, 1.0, 1.0]","[           inf 9.99999830e-01 9.81195726e-01 9.81016362e-01
 9.63489415e-01 3.24091413e-04]"
SVM,DecisionTree,4,"[0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 1.0]","[0.0, 0.9937106918238994, 1.0, 1.0, 1.0]",[ inf 1.   0.75 0.5  0.  ]
SVM,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.631578947368421, 0.9473684210526315, 1.0]","[0.0, 0.44025157232704404, 0.46540880503144655, 0.4968553459119497, 0.5471698113207547, 0.5660377358490566, 0.5723270440251572, 0.5849056603773585, 0.6037735849056604, 0.610062893081761, 0.6477987421383647, 0.6540880503144654, 0.6666666666666666, 0.6855345911949685, 0.6981132075471698, 0.7232704402515723, 0.7421383647798742, 0.7610062893081762, 0.7735849056603774, 0.7924528301886793, 0.8238993710691824, 0.8742138364779874, 0.8867924528301887, 0.8930817610062893, 0.9119496855345912, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99765104 0.99736637 0.99717253 0.99715036 0.9971317
 0.9970016  0.9967937  0.9967258  0.99672335 0.99652076 0.9965055
 0.9963392  0.9959997  0.9959318  0.99550664 0.99541014 0.99473804
 0.99468946 0.994073   0.99387556 0.9922017  0.99164563 0.9912617
 0.9908965  0.88933295 0.83897525 0.80557513 0.02591072 0.02560936
 0.02448874]"
SVM,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.47368421052631576, 1.0]","[0.0, 0.9308176100628931, 0.9433962264150944, 0.9685534591194969, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.95       0.85666667 0.7125
 0.6625     0.65       0.05       0.        ]"
SVM,SVM,5,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 1.0]","[0.0, 0.006289308176100629, 0.7232704402515723, 0.7232704402515723, 1.0, 1.0]","[           inf 9.99999999e-01 9.90766448e-01 9.90569945e-01
 8.67673513e-01 1.07776930e-04]"
SVM,DecisionTree,5,"[0.0, 0.10526315789473684, 0.15789473684210525, 1.0]","[0.0, 0.9874213836477987, 0.9937106918238994, 1.0]",[       inf 1.         0.33333333 0.        ]
DecisionTree,XGBoost,1,"[0.0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 1.0]","[0.0, 0.9119496855345912, 0.9371069182389937, 0.9433962264150944, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0]","[       inf 0.9286599  0.91424674 0.8981881  0.8518304  0.6670993
 0.56916755 0.40727702]"
DecisionTree,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.5263157894736842, 0.5789473684210527, 0.6842105263157895, 1.0]","[0.0, 0.8742138364779874, 0.8867924528301887, 0.89937106918239, 0.9119496855345912, 0.9371069182389937, 0.9685534591194969, 0.9748427672955975, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.925      0.92166667 0.92047619
 0.84166667 0.78916667 0.71333333 0.52301587 0.13690476 0.12190476
 0.02       0.        ]"
DecisionTree,SVM,1,"[0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 1.0]","[0.0, 0.0, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]",[       inf 0.991325   0.86566993 0.84747204 0.18134071 0.06993152]
