"","ACTBL2","ADAMTS16","B3GALT1","C10orf90","C1D","C1QL2","CCL7","CD40","CHL1","CLDN17","CLRN1","CLSTN2","CNTNAP2","COL23A1","COL4A1","DOK6","DRD4","EYA4","FIGN","FLG","FOXI2","GAP43","GATA2","GFRAL","GPR26","GSC2","HMGCLL1","INA","IRX4","ITGA8","KCNA1","KIFC3","KRTAP24-1","KY","MEST","MMP26","NALCN","NDRG4","NPR3","OR10J5","OR10S1","PCDH10","PIGB","PODN","RASGRF1","RIMS4","SALL1","SCN7A","SHISA2","SIRPG","SLC18A3","SLC4A11","SLC6A15","SLC6A2","SLITRK5","SORCS1","SOX21","ST6GALNAC5","SUB1","THBS4","TRDN","TRPC6","TWIST1","UNC5C","UNC5D","ZNF132","ZNF135","ZNF334","ZNF793","C6orf186","C8orf85","FAM19A4","WDR8"
"ACTBL2",0,0.754,0.874,0.702,0.515,0.212,0.506,0.392,0.343,0.397,0,0.56,0.367,0.445,0.438,0,0.546,0.504,0.369,0.484,0.788,0.468,0.518,0.459,0.671,0.556,0.745,0.337,0.509,0.671,0.568,0.333,0.37,0.683,0.454,0.803,0.586,0.282,0.515,0.809,0.809,0.689,0.82,0.68,0.65,0.411,0.513,0.826,0,0,0.578,0.667,0.607,0.566,0,0.486,0.701,0.814,0.512,0.498,0.401,0.552,0.491,0.394,0.671,0.733,0.523,0.523,0.733,0.671,0,0.449,0
"ADAMTS16",0.754,0,0.922,0.819,0.795,0.733,0.809,0.761,0.79,0.769,0.643,0.598,0.739,0.764,0.785,0.643,0.683,0.412,0.717,0.486,0.9,0.744,0.745,0.801,0.913,0.815,0.441,0.788,0.794,0.435,0.847,0.775,0.79,0.333,0.584,0.145,0.855,0.681,0.758,0.92,0.92,0.175,0.899,0.82,0.862,0.748,0.623,0.96,0.643,0.643,0.842,0.895,0.865,0.725,0.643,0.779,0.867,0.875,0.794,0.618,0.75,0.818,0.812,0.805,0.913,0.542,0.554,0.554,0.542,0.853,0.643,0.754,0.643
"B3GALT1",0.874,0.922,0,0.871,0.931,0.928,0.942,0.918,0.946,0.897,0.9,0.94,0.919,0.918,0.914,0.9,0.939,0.905,0.903,0.921,0.942,0.926,0.936,0.922,0.946,0.933,0.912,0.91,0.923,0.946,0.943,0.93,0.854,0.843,0.799,0.927,0.943,0.811,0.927,0.947,0.947,0.958,0.584,0.93,0.95,0.919,0.93,0.978,0.9,0.9,0.938,0.946,0.944,0.945,0.9,0.918,0.931,0.635,0.932,0.931,0.911,0.942,0.94,0.931,0.946,0.943,0.927,0.927,0.943,0.76,0.9,0.916,0.9
"C10orf90",0.702,0.819,0.871,0,0.737,0.583,0.733,0.647,0.681,0.677,0.427,0.69,0.599,0.675,0.701,0.427,0.792,0.645,0.693,0.724,0.915,0.692,0.765,0.72,0.929,0.784,0.854,0.708,0.715,0.801,0.785,0.527,0.813,0.684,0.584,0.848,0.799,0.581,0.744,0.932,0.932,0.861,0.829,0.844,0.811,0.615,0.74,0.969,0.427,0.427,0.774,0.879,0.817,0.7,0.427,0.674,0.887,0.793,0.735,0.703,0.631,0.777,0.742,0.612,0.929,0.881,0.734,0.734,0.881,0.73,0.427,0.624,0.427
"C1D",0.515,0.795,0.931,0.737,0,0.212,0.517,0.439,0.343,0.503,0,0.575,0.392,0.495,0.523,0,0.577,0.536,0.586,0.546,0.679,0.503,0.435,0.548,0.853,0.314,0.792,0.549,0.448,0.679,0.615,0.537,0.694,0.846,0.505,0.843,0.641,0.446,0.558,0.892,0.892,0.689,0.907,0.741,0.643,0.425,0.475,0.923,0,0,0.616,0.761,0.665,0.609,0,0.521,0.506,0.895,0.204,0.509,0.431,0.605,0.41,0.525,0.853,0.647,0.47,0.47,0.647,0.853,0,0.461,0
"C1QL2",0.212,0.733,0.928,0.583,0.212,0,0.212,0.212,0.509,0,0.212,0.395,0.212,0,0.212,0.212,0,0.212,0.212,0.212,0.863,0.212,0.212,0.212,0.89,0.212,0.733,0.212,0.212,0.589,0.212,0.212,0.754,0.881,0.212,0.8,0.212,0.212,0.212,0.89,0.89,0.773,0.907,0.671,0.509,0.212,0.212,0.945,0.212,0.212,0.212,0.395,0.212,0.212,0.212,0.212,0.756,0.89,0,0.212,0.212,0.212,0.212,0.212,0.89,0.733,0.212,0.212,0.733,0.89,0.212,0.212,0.212
"CCL7",0.506,0.809,0.942,0.733,0.517,0.212,0,0.414,0.343,0.476,0,0.561,0.37,0.331,0.487,0,0.588,0.495,0.552,0.508,0.881,0.469,0.538,0.51,0.853,0.575,0.806,0.507,0.507,0.63,0.578,0.507,0.694,0.846,0.463,0.858,0.598,0.433,0.53,0.908,0.908,0.689,0.92,0.754,0.605,0.396,0.524,0.923,0,0,0.571,0.743,0.623,0.581,0,0.477,0.815,0.91,0.514,0.337,0.383,0.569,0.502,0.493,0.853,0.801,0.52,0.52,0.801,0.853,0,0.372,0
"CD40",0.392,0.761,0.918,0.647,0.439,0.212,0.414,0,0.188,0.375,0,0.477,0.189,0.369,0.397,0,0.406,0.394,0.47,0.42,0.842,0.39,0.483,0.198,0.343,0.515,0.758,0.408,0.407,0.619,0.496,0.42,0.694,0.846,0.343,0.814,0.527,0.274,0.366,0.656,0.656,0.689,0.893,0.701,0.587,0.269,0.453,0.923,0,0,0.49,0.702,0.562,0.533,0,0.266,0.776,0.877,0.443,0.397,0.314,0.502,0.42,0.262,0.343,0.754,0.433,0.433,0.754,0.853,0,0.304,0
"CHL1",0.343,0.79,0.946,0.681,0.343,0.509,0.343,0.188,0,0.343,0.343,0.509,0,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.89,0.343,0.343,0.343,0.913,0.343,0.79,0.343,0.343,0.667,0.343,0.343,0.79,0.903,0.343,0.851,0.343,0.343,0.343,0.913,0.913,0.827,0.929,0.733,0.613,0.343,0.343,0.96,0.343,0.343,0.343,0.509,0.343,0.343,0.343,0.343,0.807,0.913,0.343,0.343,0.343,0.343,0.343,0.343,0.913,0.79,0.343,0.343,0.79,0.913,0.343,0.343,0.343
"CLDN17",0.397,0.769,0.897,0.677,0.503,0,0.476,0.375,0.343,0,0,0.524,0.324,0.298,0.299,0,0.55,0.472,0.541,0.378,0.821,0.456,0.524,0.484,0.79,0.566,0.763,0.311,0.484,0.652,0.465,0.491,0,0.789,0.42,0.814,0.428,0.297,0.505,0.845,0.845,0.689,0.861,0.594,0.626,0.352,0.506,0.638,0,0,0.484,0.553,0.536,0.49,0,0.445,0.755,0.849,0.458,0.463,0.368,0.413,0.479,0.467,0.79,0.754,0.504,0.504,0.754,0.79,0,0.388,0
"CLRN1",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
