ID1,ID2,ID3,fold_scores1,fold_scores2,fold_scores3,fold_scores4,fold_scores5,average_accuracy
cg27494647,cg07792478,cg24848035,0.9775280898876404,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9775280898876404,0.9842696629213481
cg27494647,cg07792478,cg07445246,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9550561797752809,0.9325842696629213,0.9640449438202247
cg27494647,cg07792478,cg14231297,0.9550561797752809,0.9887640449438202,0.9550561797752809,0.9887640449438202,0.9775280898876404,0.9730337078651686
cg27494647,cg07792478,cg04574090,0.9662921348314607,0.9325842696629213,0.9213483146067416,0.9775280898876404,0.9438202247191011,0.948314606741573
cg27494647,cg07792478,cg20388732,0.9887640449438202,0.9662921348314607,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9640449438202247
cg27494647,cg24848035,cg07445246,0.9775280898876404,0.9887640449438202,0.9662921348314607,1.0,0.9438202247191011,0.9752808988764045
cg27494647,cg24848035,cg14231297,0.9662921348314607,0.9775280898876404,0.9550561797752809,1.0,0.9775280898876404,0.9752808988764045
cg27494647,cg24848035,cg04574090,0.9662921348314607,0.9775280898876404,0.9662921348314607,1.0,0.9662921348314607,0.9752808988764045
cg27494647,cg24848035,cg20388732,0.9662921348314607,0.9775280898876404,0.9662921348314607,0.9887640449438202,0.9662921348314607,0.9730337078651686
cg27494647,cg07445246,cg14231297,0.9550561797752809,0.9887640449438202,0.9775280898876404,0.9887640449438202,0.9550561797752809,0.9730337078651685
cg27494647,cg07445246,cg04574090,0.9662921348314607,0.9775280898876404,0.9775280898876404,0.9550561797752809,0.9550561797752809,0.9662921348314606
cg27494647,cg07445246,cg20388732,0.9550561797752809,0.9662921348314607,0.9775280898876404,0.9662921348314607,0.9550561797752809,0.9640449438202248
cg27494647,cg14231297,cg04574090,0.9550561797752809,0.9550561797752809,0.9775280898876404,0.9887640449438202,0.9662921348314607,0.9685393258426966
cg27494647,cg14231297,cg20388732,0.9438202247191011,0.9775280898876404,0.9438202247191011,0.9775280898876404,0.9550561797752809,0.9595505617977528
cg27494647,cg04574090,cg20388732,0.9775280898876404,0.9550561797752809,0.9662921348314607,0.9550561797752809,0.9662921348314607,0.9640449438202247
cg07792478,cg24848035,cg07445246,0.9887640449438202,0.9662921348314607,0.9887640449438202,0.9887640449438202,0.9775280898876404,0.9820224719101123
cg07792478,cg24848035,cg14231297,0.9775280898876404,0.9887640449438202,0.9550561797752809,1.0,0.9775280898876404,0.9797752808988764
cg07792478,cg24848035,cg04574090,0.9887640449438202,0.9550561797752809,0.9887640449438202,0.9887640449438202,0.9775280898876404,0.9797752808988764
cg07792478,cg24848035,cg20388732,0.9887640449438202,0.9662921348314607,0.9887640449438202,0.9887640449438202,0.9775280898876404,0.9820224719101123
cg07792478,cg07445246,cg14231297,0.9887640449438202,0.9887640449438202,0.9550561797752809,0.9662921348314607,0.9550561797752809,0.9707865168539327
cg07792478,cg07445246,cg04574090,0.9775280898876404,0.9775280898876404,0.9887640449438202,0.9662921348314607,0.9662921348314607,0.9752808988764045
cg07792478,cg07445246,cg20388732,0.9550561797752809,0.9775280898876404,1.0,0.9550561797752809,0.9438202247191011,0.9662921348314606
cg07792478,cg14231297,cg04574090,0.9662921348314607,0.9887640449438202,0.9775280898876404,0.9775280898876404,0.9662921348314607,0.9752808988764045
cg07792478,cg14231297,cg20388732,0.9775280898876404,0.9887640449438202,0.9438202247191011,0.9775280898876404,0.9662921348314607,0.9707865168539325
cg07792478,cg04574090,cg20388732,0.9662921348314607,0.9662921348314607,0.9775280898876404,0.9550561797752809,0.9662921348314607,0.9662921348314606
cg24848035,cg07445246,cg14231297,0.9775280898876404,0.9887640449438202,0.9775280898876404,1.0,0.9887640449438202,0.9865168539325841
cg24848035,cg07445246,cg04574090,0.9887640449438202,0.9775280898876404,0.9887640449438202,0.9887640449438202,0.9438202247191011,0.9775280898876403
cg24848035,cg07445246,cg20388732,0.9775280898876404,0.9550561797752809,0.9662921348314607,1.0,0.9325842696629213,0.9662921348314606
cg24848035,cg14231297,cg04574090,0.9775280898876404,0.9775280898876404,0.9775280898876404,1.0,0.9887640449438202,0.9842696629213483
cg24848035,cg14231297,cg20388732,0.9887640449438202,0.9887640449438202,0.9775280898876404,1.0,0.9887640449438202,0.9887640449438202
cg24848035,cg04574090,cg20388732,0.9550561797752809,0.9662921348314607,0.9438202247191011,0.9662921348314607,0.9775280898876404,0.9617977528089888
cg07445246,cg14231297,cg04574090,0.9662921348314607,0.9887640449438202,0.9887640449438202,0.9887640449438202,0.9662921348314607,0.9797752808988763
cg07445246,cg14231297,cg20388732,0.9887640449438202,0.9775280898876404,0.9438202247191011,0.9775280898876404,0.9887640449438202,0.9752808988764045
cg07445246,cg04574090,cg20388732,0.9438202247191011,0.9775280898876404,0.9775280898876404,0.9550561797752809,0.9550561797752809,0.9617977528089888
cg14231297,cg04574090,cg20388732,0.9662921348314607,0.9662921348314607,0.9775280898876404,0.9887640449438202,0.9887640449438202,0.9775280898876403
