Model,ID1,ID2,ID3,ID4,accuracy,sensitivity,specificity,precision,f1_score,mcc
XGBoost,cg12315311,cg26097573,cg06530558,cg08101264,0.89,0.69,1.0,1.0,0.81,0.77
RandomForest,cg12315311,cg26097573,cg06530558,cg08101264,0.87,0.62,1.0,1.0,0.77,0.72
SVM,cg12315311,cg26097573,cg06530558,cg08101264,0.83,0.5,1.0,1.0,0.67,0.63
Logistic Regression,cg12315311,cg26097573,cg06530558,cg08101264,0.78,0.44,0.97,0.88,0.58,0.51
Decision Tree,cg12315311,cg26097573,cg06530558,cg08101264,0.89,0.69,1.0,1.0,0.81,0.77
