Model,ID1,ID2,ID3,ID4,average_accuracy,AUC,f1_score,sensitivity,specificity
XGBoost,cg27494647,cg14502484,cg17152757,cg14231297,0.5277655677655677,0.527733906583604,0.525911708253359,0.5229007633587787,0.5325670498084292
XGBoost,cg27494647,cg14502484,cg17152757,cg20388732,0.5182417582417582,0.5181626743879968,0.5190839694656488,0.5190839694656488,0.5172413793103449
XGBoost,cg27494647,cg14502484,cg04574090,cg14231297,0.5316300366300366,0.5315507004767337,0.5315487571701721,0.5305343511450382,0.5325670498084292
XGBoost,cg27494647,cg14502484,cg04574090,cg20388732,0.4933699633699634,0.4932803954256968,0.5009416195856873,0.5076335877862596,0.4789272030651341
XGBoost,cg24848035,cg14502484,cg17152757,cg14231297,0.5544871794871794,0.5545172706267731,0.549323017408124,0.5419847328244275,0.5670498084291188
XGBoost,cg24848035,cg14502484,cg17152757,cg20388732,0.5238278388278388,0.5239463601532567,0.5127201565557731,0.5,0.5478927203065134
XGBoost,cg24848035,cg14502484,cg04574090,cg14231297,0.5201648351648351,0.5200930069316487,0.5163776493256262,0.5114503816793893,0.5287356321839081
XGBoost,cg24848035,cg14502484,cg04574090,cg20388732,0.525824175824176,0.5258108859056476,0.5267175572519084,0.5267175572519084,0.524904214559387
XGBoost,cg07792478,cg14502484,cg17152757,cg14231297,0.5411172161172162,0.5411292445380363,0.5366795366795367,0.5305343511450382,0.5517241379310345
XGBoost,cg07792478,cg14502484,cg17152757,cg20388732,0.5278205128205128,0.5277558421806908,0.520388349514563,0.5114503816793893,0.5440613026819924
XGBoost,cg07792478,cg14502484,cg04574090,cg14231297,0.47992673992674,0.4799654879939165,0.46875,0.4580152671755725,0.5019157088122606
XGBoost,cg07792478,cg14502484,cg04574090,cg20388732,0.5086630036630037,0.5085987540580855,0.5104761904761904,0.5114503816793893,0.5057471264367817
RandomForest,cg27494647,cg14502484,cg17152757,cg14231297,0.5372344322344322,0.5373343862419935,0.5254901960784314,0.5114503816793893,0.5632183908045977
RandomForest,cg27494647,cg14502484,cg17152757,cg20388732,0.5220146520146519,0.5220087157439093,0.5173745173745172,0.5114503816793893,0.5325670498084292
RandomForest,cg27494647,cg14502484,cg04574090,cg14231297,0.5564285714285715,0.5563964201105555,0.55893536121673,0.5610687022900763,0.5517241379310345
RandomForest,cg27494647,cg14502484,cg04574090,cg20388732,0.48589743589743595,0.48561756017665464,0.497196261682243,0.5076335877862596,0.46360153256704983
RandomForest,cg24848035,cg14502484,cg17152757,cg14231297,0.5603663003663004,0.5602717089292504,0.5507812499999999,0.5381679389312977,0.5823754789272031
RandomForest,cg24848035,cg14502484,cg17152757,cg20388732,0.5297619047619048,0.5296203679330818,0.5340909090909091,0.5381679389312977,0.5210727969348659
RandomForest,cg24848035,cg14502484,cg04574090,cg14231297,0.5068131868131868,0.506639174051651,0.5204460966542751,0.5343511450381679,0.4789272030651341
RandomForest,cg24848035,cg14502484,cg04574090,cg20388732,0.5164468864468865,0.5162177181129537,0.525328330206379,0.5343511450381679,0.49808429118773945
RandomForest,cg07792478,cg14502484,cg17152757,cg14231297,0.5431684981684981,0.5429937702904273,0.5499058380414312,0.5572519083969466,0.5287356321839081
RandomForest,cg07792478,cg14502484,cg17152757,cg20388732,0.52007326007326,0.5200710713345618,0.521904761904762,0.5229007633587787,0.5172413793103449
RandomForest,cg07792478,cg14502484,cg04574090,cg14231297,0.5469047619047619,0.546854435377731,0.54510556621881,0.5419847328244275,0.5517241379310345
RandomForest,cg07792478,cg14502484,cg04574090,cg20388732,0.5334249084249085,0.5334444736919073,0.537878787878788,0.5419847328244275,0.524904214559387
SVM,cg27494647,cg14502484,cg17152757,cg14231297,0.5430402930402931,0.5433739873066011,0.44028103044496486,0.35877862595419846,0.7279693486590039
SVM,cg27494647,cg14502484,cg17152757,cg20388732,0.5047619047619047,0.5045479804626949,0.5587734241908007,0.6259541984732825,0.3831417624521073
SVM,cg27494647,cg14502484,cg04574090,cg14231297,0.5507142857142856,0.550978327630078,0.4646924829157175,0.3893129770992366,0.7126436781609196
SVM,cg27494647,cg14502484,cg04574090,cg20388732,0.49525641025641026,0.4949694364013922,0.5540540540540541,0.6259541984732825,0.36398467432950193
SVM,cg24848035,cg14502484,cg17152757,cg14231297,0.565915750915751,0.5664867947705536,0.4041994750656168,0.29389312977099236,0.8390804597701149
SVM,cg24848035,cg14502484,cg17152757,cg20388732,0.5028571428571429,0.5026468953818257,0.5547945205479452,0.6183206106870229,0.38697318007662834
SVM,cg24848035,cg14502484,cg04574090,cg14231297,0.5773809523809523,0.5779225527185518,0.43478260869565216,0.3244274809160305,0.8314176245210728
SVM,cg24848035,cg14502484,cg04574090,cg20388732,0.5201831501831502,0.5199833289462139,0.5428051001821493,0.5687022900763359,0.47126436781609193
SVM,cg07792478,cg14502484,cg17152757,cg14231297,0.5678021978021979,0.5683951917171185,0.40837696335078527,0.29770992366412213,0.8390804597701149
SVM,cg07792478,cg14502484,cg17152757,cg20388732,0.5413003663003664,0.5409976309555146,0.5667870036101084,0.5992366412213741,0.4827586206896552
SVM,cg07792478,cg14502484,cg04574090,cg14231297,0.5621245421245422,0.562604194086163,0.42317380352644834,0.32061068702290074,0.8045977011494253
SVM,cg07792478,cg14502484,cg04574090,cg20388732,0.5297619047619048,0.5298324120382557,0.4765957446808511,0.42748091603053434,0.632183908045977
Logistic Regression,cg27494647,cg14502484,cg17152757,cg14231297,0.5813369963369963,0.5812786990728555,0.5780346820809249,0.5725190839694656,0.5900383141762452
Logistic Regression,cg27494647,cg14502484,cg17152757,cg20388732,0.5431501831501832,0.5430595770816882,0.5341130604288498,0.5229007633587787,0.5632183908045977
Logistic Regression,cg27494647,cg14502484,cg04574090,cg14231297,0.5814285714285714,0.5812713872071598,0.5796545105566219,0.5763358778625954,0.5862068965517241
Logistic Regression,cg27494647,cg14502484,cg04574090,cg20388732,0.5450549450549451,0.5449752858939487,0.53515625,0.5229007633587787,0.5670498084291188
Logistic Regression,cg24848035,cg14502484,cg17152757,cg14231297,0.5832417582417583,0.583172472288029,0.583969465648855,0.583969465648855,0.5823754789272031
Logistic Regression,cg24848035,cg14502484,cg17152757,cg20388732,0.5488827838827838,0.5488067035184698,0.5372549019607844,0.5229007633587787,0.5747126436781609
Logistic Regression,cg24848035,cg14502484,cg04574090,cg14231297,0.5813736263736263,0.5812640753414642,0.5812619502868068,0.5801526717557252,0.5823754789272031
Logistic Regression,cg24848035,cg14502484,cg04574090,cg20388732,0.5507875457875459,0.5506931648679476,0.5454545454545455,0.5381679389312977,0.5632183908045977
Logistic Regression,cg07792478,cg14502484,cg17152757,cg14231297,0.5946886446886446,0.5946594132958966,0.5923076923076923,0.5877862595419847,0.6015325670498084
Logistic Regression,cg07792478,cg14502484,cg17152757,cg20388732,0.5736080586080586,0.5736962943464654,0.5548902195608783,0.5305343511450382,0.6168582375478927
Logistic Regression,cg07792478,cg14502484,cg04574090,cg14231297,0.5813553113553114,0.5812713872071598,0.5796545105566219,0.5763358778625954,0.5862068965517241
Logistic Regression,cg07792478,cg14502484,cg04574090,cg20388732,0.5736813186813187,0.5736743587493786,0.5601577909270217,0.5419847328244275,0.6053639846743295
Decision Tree,cg27494647,cg14502484,cg17152757,cg14231297,0.496996336996337,0.5084744523412594,0.5402504472271913,0.5763358778625954,0.44061302681992337
Decision Tree,cg27494647,cg14502484,cg17152757,cg20388732,0.5334249084249085,0.5143531923605626,0.5115384615384616,0.5076335877862596,0.5210727969348659
Decision Tree,cg27494647,cg14502484,cg04574090,cg14231297,0.5239926739926741,0.5411438682694277,0.5330739299610895,0.5229007633587787,0.5593869731800766
Decision Tree,cg27494647,cg14502484,cg04574090,cg20388732,0.48567765567765564,0.5009871018689128,0.4932038834951456,0.4847328244274809,0.5172413793103449
Decision Tree,cg24848035,cg14502484,cg17152757,cg14231297,0.5143040293040293,0.5296130560673862,0.5358490566037736,0.5419847328244275,0.5172413793103449
Decision Tree,cg24848035,cg14502484,cg17152757,cg20388732,0.5278388278388277,0.5297081103214296,0.511904761904762,0.49236641221374045,0.5670498084291188
Decision Tree,cg24848035,cg14502484,cg04574090,cg14231297,0.5183150183150184,0.5104998391389547,0.5151515151515151,0.5190839694656488,0.5019157088122606
Decision Tree,cg24848035,cg14502484,cg04574090,cg20388732,0.4838278388278388,0.48561024831095906,0.49906890130353815,0.5114503816793893,0.45977011494252873
Decision Tree,cg07792478,cg14502484,cg17152757,cg14231297,0.5105860805860806,0.5200710713345618,0.521904761904762,0.5229007633587787,0.5172413793103449
Decision Tree,cg07792478,cg14502484,cg17152757,cg20388732,0.49320512820512813,0.49714106051300055,0.4952015355086372,0.49236641221374045,0.5019157088122606
Decision Tree,cg07792478,cg14502484,cg04574090,cg14231297,0.5145238095238096,0.5296861747243427,0.5176470588235295,0.5038167938931297,0.5555555555555556
Decision Tree,cg07792478,cg14502484,cg04574090,cg20388732,0.5219047619047619,0.5411292445380363,0.5366795366795367,0.5305343511450382,0.5517241379310345
