selection_model,train_model,features,fpr,tpr,threshold
DecisionTree,SVM,24,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999999 0.78125727 0.00158127]
DecisionTree,DecisionTree,24,"[0.0, 0.09090909090909091, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,XGBoost,25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 1.0]","[0.0, 0.8625, 0.9, 0.925, 0.9625, 0.9875, 0.9875, 1.0, 1.0]","[       inf 0.50488734 0.50474304 0.50435567 0.503914   0.5019795
 0.5009834  0.4990488  0.49513635]"
DecisionTree,RandomForest,25,"[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.6363636363636364, 1.0]","[0.0, 0.9125, 0.9625, 0.9875, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.85 0.55 0.1  0.05 0.  ]
DecisionTree,SVM,25,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0125, 1.0, 1.0]",[       inf 0.99999999 0.83582547 0.00143755]
DecisionTree,DecisionTree,25,"[0.0, 0.0, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 1.0]","[0.0, 0.7625, 0.775, 0.8125, 0.875, 0.9125, 1.0, 1.0, 1.0]","[       inf 0.8187083  0.80603456 0.8046533  0.80327916 0.78060585
 0.56659293 0.25517964 0.18209839]"
RandomForest,RandomForest,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.8875, 0.95, 0.975, 0.9875, 0.9875, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.85 0.5  0.45 0.05 0.  ]
RandomForest,SVM,20,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.0125, 0.9875, 0.9875, 1.0, 1.0]","[           inf 9.99999995e-01 9.83582648e-01 4.82360762e-02
 4.34870353e-02 4.07742311e-04]"
RandomForest,DecisionTree,20,"[0.0, 0.18181818181818182, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.36363636363636365, 1.0]","[0.0, 0.75, 0.775, 0.7875, 0.85, 0.875, 0.925, 0.9875, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5048623  0.5039193  0.50391674 0.5039114  0.50297374
 0.50294626 0.5010429  0.5000999  0.49914637 0.49725145 0.49534857]"
RandomForest,RandomForest,21,"[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.36363636363636365, 0.45454545454545453, 1.0]","[0.0, 0.9125, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.6 0.5 0.4 0.1 0. ]
RandomForest,SVM,21,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.0125, 0.9875, 0.9875, 1.0, 1.0]","[           inf 9.99999995e-01 9.82970374e-01 4.85126583e-02
 4.08378059e-02 4.32719080e-04]"
RandomForest,DecisionTree,21,"[0.0, 0.0, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
