estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,ADAM5P,ADCY4,ISL1,SNORD32B,0.7592592592592593,1.0,0.13333333333333333,0.75,0.8571428571428571,0.9128205128205128,0.31622776601683794,0.9375
Voting,ADAM5P,ADCY4,TLX3,SNORD32B,0.7222222222222222,0.9743589743589743,0.06666666666666667,0.7307692307692307,0.8351648351648352,0.864957264957265,0.09730085108210397,0.9134615384615384
Voting,ADAM5P,ADCY4,ZFP42,SNORD32B,0.7222222222222222,0.9743589743589743,0.06666666666666667,0.7307692307692307,0.8351648351648352,0.8923076923076922,0.09730085108210397,0.9134615384615384
Voting,COL23A1,PTPRN,SNORD32B,ZNF132,0.7222222222222222,1.0,0.0,0.7222222222222222,0.8387096774193549,0.8632478632478633,0.0,0.9285714285714286
Voting,COL23A1,PTPRN,SNX32,ZNF132,0.7962962962962963,0.8461538461538461,0.6666666666666666,0.868421052631579,0.8571428571428571,0.894017094017094,0.5030272728659586,0.8505154639175257
Voting,CCDC108,HES3,SCT,SNORD32B,0.7222222222222222,1.0,0.0,0.7222222222222222,0.8387096774193549,0.8803418803418803,0.0,0.9285714285714286
Voting,CCDC108,HES3,SCT,WBSCR17,0.7777777777777778,1.0,0.2,0.7647058823529411,0.8666666666666667,0.9452991452991454,0.3910769444375215,0.9420289855072463
Voting,CCDC108,ZFP42,SCT,SNORD32B,0.7222222222222222,1.0,0.0,0.7222222222222222,0.8387096774193549,0.8854700854700854,0.0,0.9285714285714286
Voting,CCDC108,ZFP42,SCT,WBSCR17,0.7407407407407407,0.9743589743589743,0.13333333333333333,0.7450980392156863,0.8444444444444444,0.935042735042735,0.2105798931586654,0.9178743961352657
Voting,DDR2,HES3,SCT,SNORD32B,0.7407407407407407,1.0,0.06666666666666667,0.7358490566037735,0.8478260869565217,0.923076923076923,0.2214872542011953,0.9330143540669856
Voting,DDR2,HES3,SCT,WBSCR17,0.7962962962962963,0.8974358974358975,0.5333333333333333,0.8333333333333334,0.8641975308641975,0.9042735042735043,0.46409548089225716,0.8838383838383839
Voting,DDR2,ZFP42,SCT,SNORD32B,0.7592592592592593,1.0,0.13333333333333333,0.75,0.8571428571428571,0.9162393162393163,0.31622776601683794,0.9375
Voting,DDR2,ZFP42,SCT,WBSCR17,0.7592592592592593,0.9487179487179487,0.26666666666666666,0.7708333333333334,0.8505747126436781,0.8752136752136753,0.30697030675746023,0.9068627450980392
Voting,ANGPTL2,ARHGAP10,BARHL2,HRNR,0.7407407407407407,1.0,0.06666666666666667,0.7358490566037735,0.8478260869565217,0.8256410256410257,0.2214872542011953,0.9330143540669856
Voting,ANGPTL2,ARHGAP10,ZSCAN18,HRNR,0.7407407407407407,1.0,0.06666666666666667,0.7358490566037735,0.8478260869565217,0.8769230769230769,0.2214872542011953,0.9330143540669856
Voting,ANGPTL2,KIR3DX1,BARHL2,HRNR,0.7222222222222222,1.0,0.0,0.7222222222222222,0.8387096774193549,0.3623931623931623,0.0,0.9285714285714286
Voting,ANGPTL2,KIR3DX1,ZSCAN18,HRNR,0.7222222222222222,1.0,0.0,0.7222222222222222,0.8387096774193549,0.841025641025641,0.0,0.9285714285714286
