Model,ID1,ID2,ID3,ID4,accuracy,sensitivity,specificity,precision,f1_score,mcc
SVM,cg12315311,cg26097573,cg06530558,cg08101264,0.6,0.62,0.58,0.5,0.56,0.2
Logistic Regression,cg12315311,cg26097573,cg06530558,cg08101264,0.6,0.62,0.58,0.5,0.56,0.2
