Model,ID1,ID2,ID3,ID4,accuracy,sensitivity,specificity,precision,f1_score,mcc
XGBoost,cg03623835,cg16462183,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
XGBoost,cg06530558,cg16462183,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg12315311,cg16462183,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
XGBoost,cg03623835,cg16462183,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
XGBoost,cg06530558,cg16462183,cg08101264,cg26097573,0.97,0.99,0.82,0.98,0.98,0.84
XGBoost,cg12315311,cg16462183,cg08101264,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg03623835,cg23998391,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg06530558,cg23998391,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg12315311,cg23998391,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg03623835,cg23998391,cg08101264,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
XGBoost,cg06530558,cg23998391,cg08101264,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
XGBoost,cg12315311,cg23998391,cg08101264,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg03623835,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg06530558,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg12315311,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
XGBoost,cg03623835,cg13995230,cg08101264,cg26097573,0.99,0.99,1.0,1.0,0.99,0.95
XGBoost,cg06530558,cg13995230,cg08101264,cg26097573,0.96,0.98,0.82,0.98,0.98,0.79
XGBoost,cg12315311,cg13995230,cg08101264,cg26097573,0.96,0.95,1.0,1.0,0.97,0.83
RandomForest,cg03623835,cg16462183,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
RandomForest,cg06530558,cg16462183,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
RandomForest,cg12315311,cg16462183,cg24959938,cg26097573,0.96,0.98,0.82,0.98,0.98,0.79
RandomForest,cg03623835,cg16462183,cg08101264,cg26097573,0.97,0.96,1.0,1.0,0.98,0.87
RandomForest,cg06530558,cg16462183,cg08101264,cg26097573,0.96,0.98,0.82,0.98,0.98,0.79
RandomForest,cg12315311,cg16462183,cg08101264,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
RandomForest,cg03623835,cg23998391,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
RandomForest,cg06530558,cg23998391,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
RandomForest,cg12315311,cg23998391,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
RandomForest,cg03623835,cg23998391,cg08101264,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
RandomForest,cg06530558,cg23998391,cg08101264,cg26097573,0.92,0.96,0.64,0.95,0.96,0.62
RandomForest,cg12315311,cg23998391,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
RandomForest,cg03623835,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
RandomForest,cg06530558,cg13995230,cg24959938,cg26097573,0.93,0.96,0.73,0.96,0.96,0.69
RandomForest,cg12315311,cg13995230,cg24959938,cg26097573,0.96,0.98,0.82,0.98,0.98,0.79
RandomForest,cg03623835,cg13995230,cg08101264,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
RandomForest,cg06530558,cg13995230,cg08101264,cg26097573,0.95,0.96,0.82,0.97,0.97,0.75
RandomForest,cg12315311,cg13995230,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
SVM,cg03623835,cg16462183,cg24959938,cg26097573,0.95,0.94,1.0,1.0,0.97,0.8
SVM,cg06530558,cg16462183,cg24959938,cg26097573,0.93,0.95,0.82,0.97,0.96,0.72
SVM,cg12315311,cg16462183,cg24959938,cg26097573,0.96,0.95,1.0,1.0,0.97,0.83
SVM,cg03623835,cg16462183,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
SVM,cg06530558,cg16462183,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
SVM,cg12315311,cg16462183,cg08101264,cg26097573,0.96,0.98,0.82,0.98,0.98,0.79
SVM,cg03623835,cg23998391,cg24959938,cg26097573,0.93,0.95,0.82,0.97,0.96,0.72
SVM,cg06530558,cg23998391,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
SVM,cg12315311,cg23998391,cg24959938,cg26097573,0.93,0.94,0.91,0.99,0.96,0.74
SVM,cg03623835,cg23998391,cg08101264,cg26097573,0.92,0.94,0.82,0.97,0.96,0.68
SVM,cg06530558,cg23998391,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
SVM,cg12315311,cg23998391,cg08101264,cg26097573,0.92,0.92,0.91,0.99,0.95,0.71
SVM,cg03623835,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
SVM,cg06530558,cg13995230,cg24959938,cg26097573,0.93,0.95,0.82,0.97,0.96,0.72
SVM,cg12315311,cg13995230,cg24959938,cg26097573,0.95,0.96,0.82,0.97,0.97,0.75
SVM,cg03623835,cg13995230,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
SVM,cg06530558,cg13995230,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
SVM,cg12315311,cg13995230,cg08101264,cg26097573,0.92,0.94,0.82,0.97,0.96,0.68
Logistic Regression,cg03623835,cg16462183,cg24959938,cg26097573,0.92,0.91,1.0,1.0,0.95,0.75
Logistic Regression,cg06530558,cg16462183,cg24959938,cg26097573,0.91,0.9,1.0,1.0,0.95,0.72
Logistic Regression,cg12315311,cg16462183,cg24959938,cg26097573,0.9,0.89,1.0,1.0,0.94,0.7
Logistic Regression,cg03623835,cg16462183,cg08101264,cg26097573,0.87,0.85,1.0,1.0,0.92,0.64
Logistic Regression,cg06530558,cg16462183,cg08101264,cg26097573,0.84,0.84,0.82,0.97,0.9,0.5
Logistic Regression,cg12315311,cg16462183,cg08101264,cg26097573,0.85,0.82,1.0,1.0,0.9,0.6
Logistic Regression,cg03623835,cg23998391,cg24959938,cg26097573,0.92,0.91,1.0,1.0,0.95,0.75
Logistic Regression,cg06530558,cg23998391,cg24959938,cg26097573,0.91,0.9,1.0,1.0,0.95,0.72
Logistic Regression,cg12315311,cg23998391,cg24959938,cg26097573,0.89,0.88,1.0,1.0,0.93,0.68
Logistic Regression,cg03623835,cg23998391,cg08101264,cg26097573,0.85,0.84,0.91,0.99,0.91,0.56
Logistic Regression,cg06530558,cg23998391,cg08101264,cg26097573,0.86,0.86,0.82,0.97,0.91,0.54
Logistic Regression,cg12315311,cg23998391,cg08101264,cg26097573,0.87,0.86,0.91,0.99,0.92,0.6
Logistic Regression,cg03623835,cg13995230,cg24959938,cg26097573,0.93,0.92,1.0,1.0,0.96,0.77
Logistic Regression,cg06530558,cg13995230,cg24959938,cg26097573,0.91,0.9,1.0,1.0,0.95,0.72
Logistic Regression,cg12315311,cg13995230,cg24959938,cg26097573,0.88,0.86,1.0,1.0,0.93,0.66
Logistic Regression,cg03623835,cg13995230,cg08101264,cg26097573,0.86,0.84,1.0,1.0,0.91,0.62
Logistic Regression,cg06530558,cg13995230,cg08101264,cg26097573,0.85,0.86,0.73,0.96,0.91,0.47
Decision Tree,cg03623835,cg16462183,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
Decision Tree,cg06530558,cg16462183,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
Decision Tree,cg12315311,cg16462183,cg24959938,cg26097573,0.96,0.98,0.82,0.98,0.98,0.79
Decision Tree,cg03623835,cg16462183,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
Decision Tree,cg06530558,cg16462183,cg08101264,cg26097573,0.93,0.96,0.73,0.96,0.96,0.69
Decision Tree,cg12315311,cg16462183,cg08101264,cg26097573,0.96,0.95,1.0,1.0,0.97,0.83
