Gene,Cluster
ACOT11,2
ACOT7,2
ACTN2,2
ADAM19,2
ADAMTS12,2
ADAMTS16,2
ADAMTS20,2
ASPG,2
BCAT1,2
BVES,2
C1QL1,2
CA3,2
CARTPT,2
CD38,2
CDH23,2
CDH4,2
CDH5,2
CHST2,2
CLDN10,2
CLDN5,2
CLDN6,2
COL11A1,2
COL11A2,2
COL5A2,2
CPXM1,2
CSMD3,2
CYYR1,2
DLEU7,2
DLK1,2
DSC3,2
EFEMP1,2
ENPP2,2
F7,2
FAT4,2
FLG,2
FMN2,2
GALNT6,2
GALNT7,2
HAPLN4,2
HS3ST2,2
KCNQ1DN,2
LAMA4,2
LIMD2,2
LNX1,2
LOXL1,2
LOXL2,2
LTBP2,2
MGAT5B,2
MMP9,2
MPZ,2
NDRG2,2
NES,2
NID2,2
NPTX2,2
NT5E,2
PCDH17,2
PCDH8,2
PDE4B,2
PDE4C,2
PDLIM2,2
PDLIM3,2
PPM1H,2
PROCA1,2
PTPRN2,2
PTPRO,2
RASSF1,2
RNF216,2
SGMS1,2
SIAH2,2
SLC6A3,2
SPARC,2
SSH1,2
STIM1,2
TNR,2
TRIM71,2
USP44,2
VCAM1,2
WWP2,2
PLD5,2
MPPED2,2
