Gene,Cluster
AHRR,4
ALX3,4
BNC1,4
CDO1,4
CREB3L2,4
CUX1,4
EBF1,4
EOMES,4
ESRRG,4
EVX1,4
FEZF2,4
FLI1,4
FOXA2,4
FOXD3,4
FOXE1,4
FOXG1,4
FOXQ1,4
GCM2,4
GLI2,4
HOXA1,4
HOXA10,4
HOXA4,4
HOXA9,4
HOXC4,4
HOXD10,4
HOXD11,4
HOXD8,4
HOXD9,4
IRF4,4
IRX1,4
LHX1,4
LHX2,4
LHX6,4
MSC,4
MYF6,4
MYT1,4
MYT1L,4
NEUROD1,4
NFIL3,4
NKX2-1,4
NKX2-2,4
NKX2-8,4
NKX6-2,4
NR1H3,4
NR1I2,4
NR5A2,4
ONECUT2,4
OTX1,4
OTX2,4
PAX2,4
PAX3,4
PAX5,4
PAX6,4
PAX9,4
PBX1,4
PDX1,4
PHOX2A,4
PITX1,4
PITX2,4
POU4F1,4
POU4F2,4
PRDM13,4
PRDM14,4
PRDM16,4
PTF1A,4
RARB,4
RFX1,4
RUNX1,4
SALL1,4
SALL2,4
SALL3,4
SIM1,4
SIX3,4
SIX6,4
SMYD3,4
SOX1,4
SOX14,4
SOX17,4
SOX8,4
STAT5A,4
TBX15,4
TBX18,4
TCF7L1,4
TLX1,4
TLX2,4
TLX3,4
WT1,4
ZBTB46,4
ZFP42,4
ZIC1,4
ZIC4,4
ZIC5,4
ZNF521,4
ZSCAN18,4
BHLHE23,4
