Model,Features,AUC,Incorrect Predictions,J-index,MCC,f1_score
SVM,25,0.9875776397515528,4.0,0.9279641902911273,0.8932269138317822,0.9874213836477987
Logistic Regression,25,0.9751552795031055,8.0,0.8559283805822546,0.8111148562819097,0.9745222929936307
Decision Tree,25,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
Random Forest,25,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
XGBoost,25,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
SVM,30,0.9875776397515528,4.0,0.9279641902911273,0.8932269138317822,0.9874213836477987
Logistic Regression,30,0.9782608695652174,7.0,0.8739373330094728,0.8298768897697495,0.9777777777777777
Decision Tree,30,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
Random Forest,30,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
XGBoost,30,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
SVM,35,0.9906832298136645,3.0,0.9459731427183455,0.9171538862748929,0.9905956112852665
Logistic Regression,35,0.9751552795031055,8.0,0.8559283805822546,0.8111148562819097,0.9745222929936307
Decision Tree,35,0.959799861973775,5.0,0.9223775981123563,0.8594286592554816,0.9843260188087773
Random Forest,35,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
XGBoost,35,0.959799861973775,5.0,0.9223775981123563,0.8594286592554816,0.9843260188087773
SVM,40,0.9875776397515528,4.0,0.9279641902911273,0.8932269138317822,0.9874213836477987
Logistic Regression,40,0.9751552795031055,8.0,0.8559283805822546,0.8111148562819097,0.9745222929936307
Decision Tree,40,0.959799861973775,5.0,0.9223775981123563,0.8594286592554816,0.9843260188087773
Random Forest,40,0.9629054520358866,4.0,0.9403865505395745,0.8838079872758029,0.9874999999999999
XGBoost,40,0.959799861973775,5.0,0.9223775981123563,0.8594286592554816,0.9843260188087773
