Gene,Cluster
ACADM,2
ACADS,2
ANKRD33,2
ASCL2,3
B3GNT3,2
BCL2L10,4
BRAF,4
BRCA1,4
BTN3A2,4
C4BPA,4
CCDC154,2
CDSN,4
CFL2,4
CHI3L2,2
CKAP5,4
CKLF,4
CLEC9A,4
CPT1C,4
CSF3,2
CXCR5,1
E2F5,3
EGF,4
ELMO1,4
FGF12,4
GALNT3,2
GNMT,4
GPR75,1
GREM2,2
HAGH,4
HNF4A,3
HOXA10,3
HOXA5,3
ICA1,4
ID4,4
IFI44L,2
INPP5D,4
IRF1,3
IRX2,3
KCNE4,4
KCTD11,2
KRT6A,4
L3MBTL4,4
LIPG,4
MAST2,4
MIR141,4
MIRLET7A3,2
MSRB3,4
MT3,4
MXD1,3
NAF1,4
NAMPT,4
NCR1,2
NEUROG1,3
NPPA,4
PCK2,4
PCYT2,4
PDGFRL,1
PFKFB3,4
PHF1,4
PHRF1,2
PPP1R1B,4
RAB32,4
RBM46,4
RCVRN,2
RGS6,4
RNF8,4
RPLP2,4
RTEL1,4
SALL3,3
SH3PXD2A,4
SLC25A3,2
SLC44A4,2
SOSTDC1,2
SOX1,3
SOX21,3
SOX30,3
SPNS1,4
SRRT,4
TES,4
THRB,3
TLR5,1
TNFRSF25,1
TSPAN1,2
VASN,4
VKORC1,4
ZFP3,4
ZNF365,4
HSPB9,2
MUCL1,2
