Model,Features,f1_score,AUC,Sensitivity,Specificity,Precision,Test Accuracy,J-index,Incorrect Predictions
SVM,40,0.4800000000000001,0.3333333333333333,0.6666666666666666,0.0,0.375,0.3157894736842105,-0.35087719298245623,13.0
Logistic Regression,40,0.3,0.2666666666666666,0.3333333333333333,0.2,0.2727272727272727,0.2631578947368421,-1.0701754385964914,14.0
Decision Tree,40,0.4545454545454546,0.37777777777777777,0.5555555555555556,0.2,0.38461538461538464,0.3684210526315789,-0.5204678362573099,12.0
Random Forest,40,0.11764705882352941,0.20555555555555557,0.1111111111111111,0.3,0.125,0.21052631578947367,-1.567251461988304,15.0
XGBoost,40,0.43478260869565216,0.3277777777777778,0.5555555555555556,0.1,0.35714285714285715,0.3157894736842105,-0.5730994152046783,13.0
SVM,45,0.39999999999999997,0.37222222222222223,0.4444444444444444,0.3,0.36363636363636365,0.3684210526315789,-0.7426900584795322,12.0
Logistic Regression,45,0.2222222222222222,0.2611111111111111,0.2222222222222222,0.3,0.2222222222222222,0.2631578947368421,-1.2923976608187135,14.0
Decision Tree,45,0.5454545454545455,0.4833333333333333,0.6666666666666666,0.3,0.46153846153846156,0.47368421052631576,-0.19298245614035092,10.0
Random Forest,45,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.4,0.3333333333333333,0.3684210526315789,-0.9649122807017545,12.0
XGBoost,45,0.3157894736842105,0.31666666666666665,0.3333333333333333,0.3,0.3,0.3157894736842105,-1.0175438596491229,13.0
SVM,50,0.39999999999999997,0.37222222222222223,0.4444444444444444,0.3,0.36363636363636365,0.3684210526315789,-0.7426900584795322,12.0
Logistic Regression,50,0.2222222222222222,0.2611111111111111,0.2222222222222222,0.3,0.2222222222222222,0.2631578947368421,-1.2923976608187135,14.0
Decision Tree,50,0.5454545454545455,0.4833333333333333,0.6666666666666666,0.3,0.46153846153846156,0.47368421052631576,-0.19298245614035092,10.0
Random Forest,50,0.4761904761904762,0.4277777777777778,0.5555555555555556,0.3,0.4166666666666667,0.42105263157894735,-0.4678362573099415,11.0
XGBoost,50,0.39999999999999997,0.37222222222222223,0.4444444444444444,0.3,0.36363636363636365,0.3684210526315789,-0.7426900584795322,12.0
