J,J cut-point,J sensitivity,J specificity,CZ,CZ cut-point,CZ sensitivity,CZ specificity,ER,ER cut-point,ER sensitivity,ER specificity,F1,F1 cut-point,F1 sensitivity,F1 specificity,AUC
0.8721804511278195,0.16,0.9974937343358395,0.10638297872340426,0.8721804511278195,0.16,0.9974937343358395,0.10638297872340426,0.12463649980844471,0.15,0.9974937343358395,0.10638297872340426,0.931726907630522,0.16,0.9974937343358395,0.10638297872340426,0.8547432410814271
0.8935103716738655,0.25,1.0,0.06382978723404255,0.8953234149202794,0.25,1.0,0.06382978723404255,0.0878291207300315,0.25,1.0,0.06382978723404255,0.9456757441775325,0.25,1.0,0.06382978723404255,0.9158268010451661
0.8408787927264969,0.12,0.9849624060150376,0.10638297872340426,0.8438116568015783,0.12,0.9849624060150376,0.10638297872340426,0.13150393359394288,0.1,0.9849624060150376,0.10638297872340426,0.9167487399339551,0.12,0.9849624060150376,0.10638297872340426,0.8380259158534633
0.8546365914786969,0.12,0.9799498746867168,0.2127659574468085,0.8546365914786967,0.12,0.9799498746867168,0.2127659574468085,0.1432985353087198,0.06,0.9799498746867168,0.2127659574468085,0.9216216216216215,0.12,0.9799498746867168,0.2127659574468085,0.7371353916706661
0.7644643523702874,0.11,0.9774436090225563,0.10638297872340426,0.7726763717805151,0.11,0.9774436090225563,0.10638297872340426,0.19761832527347445,0.11,0.9774436090225563,0.10638297872340426,0.8758197588322403,0.11,0.9774436090225563,0.10638297872340426,0.7933930571108623
0.6366448034981071,0.16,0.9398496240601504,0.06382978723404255,0.6502959526475764,0.16,0.9398496240601504,0.06382978723404255,0.29586032362112513,0.05,0.9398496240601504,0.06382978723404255,0.7946696207480777,0.16,0.9398496240601504,0.06382978723404255,0.7598250946515225
0.8221084626459767,0.13,0.9824561403508771,0.0851063829787234,0.8278675411934091,0.13,0.9824561403508771,0.0851063829787234,0.14187051126753952,0.13,0.9824561403508771,0.0851063829787234,0.9086918349429324,0.13,0.9824561403508771,0.0851063829787234,0.8579693915640163
0.8446648536234203,0.05,0.9774436090225563,0.2765957446808511,0.8494640857462806,0.05,0.9774436090225563,0.2765957446808511,0.12054270386096697,0.05,0.9774436090225563,0.2765957446808511,0.9209955771398838,0.05,0.9774436090225563,0.2765957446808511,0.6753586092891803
0.7707033541300059,0.12,0.9924812030075187,0.14893617021276595,0.7751293126433103,0.12,0.9924812030075187,0.14893617021276595,0.20564552533693686,0.08,0.9924812030075187,0.14893617021276595,0.8755044269107991,0.12,0.9924812030075187,0.14893617021276595,0.7847277768890311
0.8358662613981762,0.22,0.9924812030075187,0.10638297872340426,0.8389057750759877,0.22,0.9924812030075187,0.10638297872340426,0.12741651922715333,0.17,0.9924812030075187,0.10638297872340426,0.9139072847682118,0.22,0.9924812030075187,0.10638297872340426,0.839492347891004
0.7280968378392791,0.17,0.974937343358396,0.10638297872340426,0.7334293179757906,0.17,0.974937343358396,0.10638297872340426,0.23640221436823028,0.12,0.974937343358396,0.10638297872340426,0.8488289567068843,0.17,0.974937343358396,0.10638297872340426,0.7766757318828987
0.8972431077694236,0.18,0.9924812030075187,0.02127659574468085,0.8977763557830746,0.15,0.9924812030075187,0.02127659574468085,0.08422235000380311,0.13,0.9924812030075187,0.02127659574468085,0.9470131623354707,0.15,0.9924812030075187,0.02127659574468085,0.9423292273236282
0.8771929824561404,0.2,0.9974937343358395,0.06382978723404255,0.8771929824561403,0.2,0.9974937343358395,0.06382978723404255,0.10055165827622087,0.12,0.9974937343358395,0.06382978723404255,0.9345794392523363,0.2,0.9974937343358395,0.06382978723404255,0.9039087079400631
0.7494267583853249,0.1,0.9824561403508771,0.19148936170212766,0.7582786754119341,0.1,0.9824561403508771,0.19148936170212766,0.2086247242347923,0.09,0.9824561403508771,0.19148936170212766,0.8668881641113177,0.1,0.9824561403508771,0.19148936170212766,0.7254305977710233
0.8521303258145363,0.2,0.9824561403508771,0.06382978723404255,0.8521303258145363,0.2,0.9824561403508771,0.06382978723404255,0.12096784960984241,0.13,0.9824561403508771,0.06382978723404255,0.9209820269451576,0.18,0.9824561403508771,0.06382978723404255,0.8804457953394124
0.7431877566256064,0.06,0.9674185463659147,0.14893617021276595,0.7555057857409481,0.06,0.9674185463659147,0.14893617021276595,0.20326453236190914,0.06,0.9674185463659147,0.14893617021276595,0.8668094218415417,0.06,0.9674185463659147,0.14893617021276595,0.7585452994187596
0.8071241934623794,0.15,0.9974937343358395,0.02127659574468085,0.8162960592971791,0.15,0.9974937343358395,0.02127659574468085,0.13732204876835383,0.15,0.9974937343358395,0.02127659574468085,0.903419988786922,0.15,0.9974937343358395,0.02127659574468085,0.9266517357222843
0.8509038553831387,0.1,0.9799498746867168,0.19148936170212766,0.8536234202527595,0.1,0.9799498746867168,0.19148936170212766,0.11464962504484538,0.05,0.9799498746867168,0.19148936170212766,0.9223854796888504,0.1,0.9799498746867168,0.19148936170212766,0.7593451714392364
0.7243107769423558,0.19,0.9874686716791979,0.1276595744680851,0.7243107769423559,0.19,0.9874686716791979,0.1276595744680851,0.22515269444954403,0.12,0.9874686716791979,0.1276595744680851,0.8424479989884301,0.12,0.9874686716791979,0.1276595744680851,0.7806750919852823
0.817095931317656,0.14,0.9899749373433584,0.14893617021276595,0.8230683090705487,0.14,0.9899749373433584,0.14893617021276595,0.14665995648018557,0.14,0.9899749373433584,0.14893617021276595,0.9059161873459326,0.14,0.9899749373433584,0.14893617021276595,0.7847544392897136
0.7719298245614035,0.16,0.9799498746867168,0.0851063829787234,0.7719298245614035,0.16,0.9799498746867168,0.0851063829787234,0.1961402829682376,0.1,0.9799498746867168,0.0851063829787234,0.8724329548200047,0.14,0.9799498746867168,0.0851063829787234,0.8221617874473418
0.7719298245614035,0.11,0.9624060150375939,0.23404255319148937,0.7719298245614035,0.11,0.9624060150375939,0.23404255319148937,0.21519794920465282,0.07,0.9624060150375939,0.23404255319148937,0.8712871287128713,0.11,0.9624060150375939,0.23404255319148937,0.676345118114435
0.8095771343251745,0.06,0.9674185463659147,0.23404255319148937,0.8158694608862582,0.06,0.9674185463659147,0.23404255319148937,0.15190582169842937,0.05,0.9674185463659147,0.23404255319148937,0.901723883895683,0.06,0.9674185463659147,0.23404255319148937,0.7000479923212287
0.7557190849464086,0.09,0.9598997493734336,0.0425531914893617,0.7672372420412734,0.09,0.9598997493734336,0.0425531914893617,0.19140755280210417,0.09,0.9598997493734336,0.0425531914893617,0.8739863325740319,0.09,0.9598997493734336,0.0425531914893617,0.8404788567162587
0.6906628272809683,0.07,0.9674185463659147,0.02127659574468085,0.7145523382925398,0.07,0.9674185463659147,0.02127659574468085,0.21888459151493744,0.07,0.9674185463659147,0.02127659574468085,0.8452925406087368,0.07,0.9674185463659147,0.02127659574468085,0.8602890204233989
0.7131125686556818,0.12,0.9849624060150376,0.10638297872340426,0.7273502906201674,0.12,0.9849624060150376,0.10638297872340426,0.21293663527041104,0.09,0.9849624060150376,0.10638297872340426,0.8504198521117934,0.09,0.9849624060150376,0.10638297872340426,0.7889137737961925
0.9010291686663465,0.13,0.9899749373433584,0.10638297872340426,0.9026822375086652,0.13,0.9899749373433584,0.10638297872340426,0.08055487427981829,0.13,0.9899749373433584,0.10638297872340426,0.9496774193548387,0.13,0.9899749373433584,0.10638297872340426,0.8686610142377219
0.8847117794486214,0.18,0.9949874686716792,0.14893617021276595,0.8847117794486216,0.18,0.9949874686716792,0.14893617021276595,0.10202924248498363,0.13,0.9949874686716792,0.14893617021276595,0.9388297872340426,0.18,0.9949874686716792,0.14893617021276595,0.8169092945128779
0.7957660107716098,0.14,0.9899749373433584,0.1276595744680851,0.7996587212712631,0.14,0.9899749373433584,0.1276595744680851,0.1727889455647522,0.1,0.9899749373433584,0.1276595744680851,0.8906045848675613,0.14,0.9899749373433584,0.1276595744680851,0.8015517517197248
0.8309070548712207,0.15,0.9949874686716792,0.1276595744680851,0.8376259798432251,0.15,0.9949874686716792,0.1276595744680851,0.12310391605597053,0.15,0.9949874686716792,0.1276595744680851,0.9149847094801222,0.15,0.9949874686716792,0.1276595744680851,0.823228283474644
0.9323308270676691,0.19,0.9899749373433584,0.1702127659574468,0.9323308270676691,0.19,0.9899749373433584,0.1702127659574468,0.05445402242463198,0.15,0.9899749373433584,0.1702127659574468,0.9649805447470817,0.19,0.9899749373433584,0.1702127659574468,0.8076041166746653
0.7456406974884018,0.14,0.9674185463659147,0.1702127659574468,0.7505999040153575,0.14,0.9674185463659147,0.1702127659574468,0.2181708442949843,0.05,0.9674185463659147,0.1702127659574468,0.8599706744868035,0.14,0.9674185463659147,0.1702127659574468,0.7282034874420092
0.8622087132725431,0.1,0.9924812030075187,0.10638297872340426,0.8662613981762919,0.1,0.9924812030075187,0.10638297872340426,0.10431236211739613,0.1,0.9924812030075187,0.10638297872340426,0.9303590859630033,0.1,0.9924812030075187,0.10638297872340426,0.8514904281981549
0.8421052631578947,0.21,0.9899749373433584,0.10638297872340426,0.8421052631578947,0.21,0.9899749373433584,0.10638297872340426,0.1295917091735642,0.14,0.9899749373433584,0.10638297872340426,0.9142857142857143,0.21,0.9899749373433584,0.10638297872340426,0.8440516184077214
0.8121367247907001,0.11,0.9899749373433584,0.10638297872340426,0.8208819922145789,0.11,0.9899749373433584,0.10638297872340426,0.13342441802236746,0.11,0.9899749373433584,0.10638297872340426,0.9059824029661889,0.11,0.9899749373433584,0.10638297872340426,0.826774382765424
0.7192982456140351,0.28,0.9874686716791979,0.0851063829787234,0.7211646136618141,0.25,0.9874686716791979,0.0851063829787234,0.2269759693665836,0.13,0.9874686716791979,0.0851063829787234,0.8439419230890366,0.13,0.9874686716791979,0.0851063829787234,0.8121900495920652
0.7782221511224869,0.12,0.9774436090225563,0.2553191489361702,0.7824881352316962,0.12,0.9774436090225563,0.2553191489361702,0.20162699728537983,0.12,0.9774436090225563,0.2553191489361702,0.8800791675413081,0.12,0.9774436090225563,0.2553191489361702,0.6595744680851064
