Gene,Cluster
FAT4,3
PLXNC1,3
MMP9,3
RAB11FIP1,3
CYTL1,3
GSTA4,3
ABL1,3
RAB22A,3
DGKI,3
TRH,3
BDNF,3
RGS2,3
CD1B,3
INA,3
WNT3A,3
RGS12,3
LIMD2,3
TGFBR3,3
HOPX,3
MAST1,3
POLR1D,3
LNX1,3
SRGAP3,3
CLDN5,3
NDRG2,3
LOXL2,3
CIT,3
TOX2,3
NEFM,3
DLK1,3
TXNRD1,3
KIF5C,3
NKAPL,3
FLG,3
NES,3
NPTX2,3
PRKCB,3
ACTN2,3
PDLIM3,3
C4BPA,3
PLEKHF1,3
RBM47,3
CDH4,3
MYT1L,3
CRTC1,3
SPAG6,3
ASPG,3
TACC1,3
AIM2,3
SEMA4A,3
PCDH8,3
CDH5,3
MPZ,3
CDH23,3
PLTP,3
DPYS,3
CLDN10,3
RBPMS,3
CDO1,3
CRMP1,3
MGAT5B,3
TNFAIP8L3,3
MAML3,3
FLT4,3
COL5A2,3
GALNT6,3
MAGI2,3
CD1C,3
LEP,3
VGLL4,3
RNF216,3
PMEPA1,3
TGFB2,3
ITGAM,3
CRYM,3
DLEU7,3
FRZB,3
ADAMTS20,3
FCGRT,3
FES,3
LTBP2,3
NOX4,3
TBL1XR1,3
DSC3,3
LOXL1,3
TCERG1L,3
VSTM2A,3
CLDN6,3
SFRP2,3
TNR,3
FGF18,3
APCS,3
DOCK2,3
GALNT7,3
RUSC1,3
BVES,3
COL11A1,3
RGS20,3
CD40,3
SPTBN1,3
TCL1A,3
CAV2,3
CPXM1,3
ITPKA,3
PDE4B,3
NCOR2,3
PPP1R7,3
SCARB2,3
ID4,3
SHF,3
WWP2,3
SRRM4,3
NID2,3
CARTPT,3
PPP1R13L,3
SST,3
RGS22,3
PIP4K2A,3
C1QL1,3
GNG4,3
ADAMTS16,3
CADM3,3
LEPR,3
ACVR1,3
RPTOR,3
BMP7,3
CDK6,3
FLRT2,3
ADAMTS12,3
F7,3
ADCYAP1,3
PDE4C,3
SH3PXD2A,3
SFRP5,3
SIAH2,3
CLEC14A,3
PCDH17,3
RARRES2,3
TAMALIN,3
NBEAL2,3
COL11A2,3
DNM3,3
RGS7,3
TRIM71,3
MYT1,3
DPYSL2,3
CCND2,3
PACS2,3
IGFBP4,3
IGF2BP1,3
RGS17,3
NOTCH3,3
EEF1A2,3
CD1D,3
ADAM19,3
HAPLN4,3
DAB2,3
CPEB1,3
ANGPTL2,3
CYYR1,3
MAP3K11,3
EZR,3
PENK,3
SYN2,3
TSSK6,3
AHNAK,3
FMN2,3
DDR2,3
PDPN,3
STIM1,3
EPHB1,3
USP44,3
UTF1,3
L1TD1,3
BCAS3,3
FMNL2,3
CAPZB,3
FGF8,3
GCK,3
NHERF1,3
AJAP1,3
EFEMP1,3
SCT,3
CD247,3
HCK,3
ATXN1,3
RASSF1,3
RALYL,3
AFAP1L1,3
SPHKAP,3
AFAP1,3
MPPED2,3
CFTR,2
NLRP3,2
SERPING1,2
SSTR4,2
KCNE3,2
ADORA3,2
FCRL3,2
BCAT1,2
ADORA2B,2
CACNA1E,2
CNGA3,2
RAD54B,2
CHST2,2
LILRA2,2
SLC6A3,2
HS3ST2,2
MIR196A1,2
GALR1,2
CYP1B1,2
GRIA4,2
KCNIP4,2
LPAR5,2
GRM1,2
NPY,2
CMKLR1,2
PTN,2
CSMD3,2
CRHBP,2
SSH1,2
PTPRN2,2
ST8SIA3,2
GALR3,2
MIR124-2,2
GRM6,2
GRIN1,2
CACNA1C,2
ACOT7,2
CACNA1B,2
MIR129-2,2
TAC1,2
SLC12A5,2
KCNK9,2
PPP1R14A,2
CD38,2
PTPRO,2
ITIH5,2
RYR2,2
UNC5D,2
SGMS1,2
CHRNA4,2
ENPP2,2
GHSR,2
RECK,2
ATP4A,2
SSTR1,2
ADCYAP1R1,2
GRIA1,2
SLC2A2,2
ACOT11,2
TIMP2,2
CACNA1I,2
SEZ6L2,2
CACNA1A,2
CYP26A1,2
CA3,2
NT5E,2
SLC13A5,2
PPM1H,2
VOPP1,2
TMEM196,2
PLD5,2
NEUROD1,1
NKX6-2,1
TLX1,1
HOXA9,1
LEMD2,1
SALL3,1
PAX3,1
PTF1A,1
PITX1,1
FBXO39,1
ONECUT2,1
MYF6,1
PAX2,1
STAT5A,1
WT1,1
SOX1,1
FLI1,1
SALL2,1
LHX2,1
ESRRG,1
RFX1,1
BNC1,1
HOXD9,1
PRDM16,1
ST7,1
LHX6,1
HOXC4,1
FEZF2,1
LHX1,1
TBX18,1
CSMD1,1
NKX2-8,1
SHISA3,1
NR5A2,1
FOXQ1,1
TLX3,1
TMEM45B,1
RUNX1,1
OTX2,1
NTM,1
SALL1,1
TCF7L1,1
ZIC1,1
NFIL3,1
FOXE1,1
ZIC4,1
PBX1,1
ZIC5,1
FOXA2,1
HOXA10,1
PRR5,1
HOXD10,1
GCM2,1
TBX15,1
PAX9,1
POU4F1,1
SIX3,1
TLX2,1
SMYD3,1
PDX1,1
GAS1,1
OPCML,1
HOXA1,1
FOXD3,1
EBF1,1
PHOX2A,1
EOMES,1
POU4F2,1
RARB,1
HOXA4,1
CUX1,1
HOXD8,1
NKX2-2,1
ZSCAN18,1
PRDM14,1
PHLDB1,1
IRF4,1
PITX2,1
EVX1,1
CCDC8,1
SIM1,1
MSC,1
STAG3,1
ZBTB46,1
CREB3L2,1
NR1I2,1
ALX3,1
PAX5,1
IRX1,1
FOXG1,1
ZNF521,1
PRDM13,1
SOX17,1
GLI2,1
OTX1,1
SOX14,1
HOXD11,1
SIX6,1
SLITRK1,1
ZFP42,1
AHRR,1
PAX6,1
NKX2-1,1
NR1H3,1
FAIM2,1
TMEM132D,1
NOL4,1
BHLHE23,1
KLHL35,1
PRR15,1
