ID1,ID2,ID3,fold_scores1,fold_scores2,fold_scores3,fold_scores4,fold_scores5,average_accuracy
cg03520644,cg05047401,cg06355129,1.0,0.9662921348314607,0.898876404494382,0.9662921348314607,0.9662921348314607,0.9595505617977528
cg03520644,cg05047401,cg07790615,0.9775280898876404,0.9775280898876404,0.9325842696629213,1.0,0.9775280898876404,0.9730337078651685
cg03520644,cg05047401,cg09106903,1.0,0.9550561797752809,0.9438202247191011,1.0,0.9775280898876404,0.9752808988764045
cg03520644,cg06355129,cg07790615,0.9775280898876404,0.9325842696629213,0.9438202247191011,0.9662921348314607,0.9775280898876404,0.9595505617977528
cg03520644,cg06355129,cg09106903,1.0,0.9213483146067416,0.9438202247191011,0.9887640449438202,0.9550561797752809,0.9617977528089888
cg03520644,cg07790615,cg09106903,0.9775280898876404,0.9101123595505618,0.9325842696629213,0.9887640449438202,0.9775280898876404,0.9573033707865168
cg05047401,cg06355129,cg07790615,0.9887640449438202,0.9775280898876404,0.9438202247191011,0.9550561797752809,0.9775280898876404,0.9685393258426966
cg05047401,cg06355129,cg09106903,0.9887640449438202,0.9662921348314607,0.9438202247191011,1.0,0.9662921348314607,0.9730337078651685
cg05047401,cg07790615,cg09106903,0.9775280898876404,0.9775280898876404,0.9438202247191011,0.9887640449438202,0.9775280898876404,0.9730337078651686
cg06355129,cg07790615,cg09106903,0.9213483146067416,0.9438202247191011,0.9213483146067416,0.9662921348314607,0.9438202247191011,0.9393258426966293
