Model,ID1,ID2,ID3,ID4,average_accuracy,AUC,f1_score,sensitivity,specificity
XGBoost,cg24848035,cg14502484,cg17152757,cg14231297,0.650210378681627,0.5363594363594363,0.3076923076923077,0.27692307692307694,0.7957957957957958
XGBoost,cg24848035,cg14502484,cg04574090,cg14231297,0.6221131369798971,0.5074613074613075,0.26778242677824265,0.24615384615384617,0.7687687687687688
XGBoost,cg07792478,cg14502484,cg17152757,cg14231297,0.6109864422627396,0.47885192885192884,0.20353982300884957,0.17692307692307693,0.7807807807807807
XGBoost,cg07792478,cg14502484,cg04574090,cg14231297,0.593899018232819,0.4668399168399169,0.19658119658119658,0.17692307692307693,0.7567567567567568
RandomForest,cg24848035,cg14502484,cg17152757,cg14231297,0.7019401589527817,0.5137791637791637,0.1375,0.08461538461538462,0.9429429429429429
RandomForest,cg24848035,cg14502484,cg04574090,cg14231297,0.680341280972417,0.4987641487641487,0.12941176470588234,0.08461538461538462,0.9129129129129129
RandomForest,cg07792478,cg14502484,cg17152757,cg14231297,0.6975923328658251,0.5013975513975514,0.09090909090909093,0.05384615384615385,0.948948948948949
RandomForest,cg07792478,cg14502484,cg04574090,cg14231297,0.678214118747078,0.4878840378840379,0.08588957055214724,0.05384615384615385,0.9219219219219219
SVM,cg24848035,cg14502484,cg17152757,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
SVM,cg24848035,cg14502484,cg04574090,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
SVM,cg07792478,cg14502484,cg17152757,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
SVM,cg07792478,cg14502484,cg04574090,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
Logistic Regression,cg24848035,cg14502484,cg17152757,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
Logistic Regression,cg24848035,cg14502484,cg04574090,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
Logistic Regression,cg07792478,cg14502484,cg17152757,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
Logistic Regression,cg07792478,cg14502484,cg04574090,cg14231297,0.7192145862552595,0.5,0.0,0.0,1.0
Decision Tree,cg24848035,cg14502484,cg17152757,cg14231297,0.563557737260402,0.49234234234234237,0.2846715328467153,0.3,0.6846846846846847
Decision Tree,cg24848035,cg14502484,cg04574090,cg14231297,0.5918186068256194,0.49966504966504965,0.282442748091603,0.2846153846153846,0.7147147147147147
Decision Tree,cg07792478,cg14502484,cg17152757,cg14231297,0.5679990649836373,0.4690806190806191,0.23754789272030655,0.23846153846153847,0.6996996996996997
Decision Tree,cg07792478,cg14502484,cg04574090,cg14231297,0.5897381954184198,0.4991914991914992,0.29304029304029305,0.3076923076923077,0.6906906906906907
