train_model,test_model,features,AUC,accuracy (5-fold-Cross-Validation),accuracy,precision,recall,f1_score,MCC,J-index,incorrect predictions count
RF,SVM,55,0.99009901,0.938687436,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,55,0.84009901,0.925178754,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,55,0.825247525,0.920607763,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
RF,RF,55,0.94009901,0.959167518,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,XGB,55,0.895049505,0.9546476,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,SVM,56,0.99009901,0.943283963,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,56,0.79009901,0.925178754,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
RF,DT,56,0.88019802,0.925127681,0.945945946,0.97979798,0.96039604,0.97,0.70111993,0.866738025,6
RF,RF,56,0.94009901,0.970531154,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,XGB,56,0.845049505,0.956920327,0.963963964,0.970873786,0.99009901,0.980392157,0.764026611,0.944161984,4
RF,SVM,57,0.99009901,0.945505618,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,57,0.845049505,0.925178754,0.963963964,0.970873786,0.99009901,0.980392157,0.764026611,0.944161984,4
RF,DT,57,0.825247525,0.913840654,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
RF,RF,57,0.895049505,0.959167518,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,XGB,57,0.84009901,0.9546476,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,SVM,58,0.99009901,0.945505618,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,58,0.845049505,0.925178754,0.963963964,0.970873786,0.99009901,0.980392157,0.764026611,0.944161984,4
RF,DT,58,0.83019802,0.916113381,0.936936937,0.97,0.96039604,0.965174129,0.632803401,0.857729016,7
RF,RF,58,0.895049505,0.959193054,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,XGB,58,0.845049505,0.956920327,0.963963964,0.970873786,0.99009901,0.980392157,0.764026611,0.944161984,4
RF,SVM,59,0.99009901,0.943258427,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,59,0.84009901,0.927451481,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,59,0.835148515,0.909244127,0.945945946,0.97029703,0.97029703,0.97029703,0.67029703,0.886540005,6
RF,RF,59,0.945049505,0.961440245,0.981981982,0.99009901,0.99009901,0.99009901,0.89009901,0.962180002,2
RF,XGB,59,0.89009901,0.959193054,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
RF,SVM,60,0.99009901,0.947778345,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,60,0.84009901,0.925178754,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,60,0.895049505,0.922854954,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,RF,60,0.89009901,0.956920327,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
RF,XGB,60,0.84009901,0.959193054,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,SVM,61,0.99009901,0.943258427,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,61,0.795049505,0.925178754,0.954954955,0.961538462,0.99009901,0.975609756,0.695056138,0.935152975,5
RF,DT,61,0.825247525,0.918335036,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
RF,RF,61,0.895049505,0.956894791,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,XGB,61,0.895049505,0.959193054,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,SVM,62,0.94009901,0.943232891,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,LR,62,0.84009901,0.927451481,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,62,0.875247525,0.920582227,0.936936937,0.979591837,0.95049505,0.964824121,0.66822667,0.837927036,7
RF,RF,62,0.895049505,0.961440245,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,XGB,62,0.89009901,0.952400409,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
RF,SVM,63,0.94009901,0.945531154,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,LR,63,0.84009901,0.929724208,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,63,0.79009901,0.909295199,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
RF,RF,63,0.94009901,0.959167518,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,XGB,63,0.895049505,0.959193054,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,SVM,64,0.94009901,0.945505618,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,LR,64,0.845049505,0.925178754,0.963963964,0.970873786,0.99009901,0.980392157,0.764026611,0.944161984,4
RF,DT,64,0.825247525,0.916113381,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
RF,RF,64,0.945049505,0.954622063,0.981981982,0.99009901,0.99009901,0.99009901,0.89009901,0.962180002,2
RF,XGB,64,0.895049505,0.959193054,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,SVM,65,0.99009901,0.938712972,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,65,0.79009901,0.925178754,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
RF,DT,65,0.82029703,0.922931563,0.918918919,0.969387755,0.940594059,0.954773869,0.570372896,0.800107038,9
RF,RF,65,0.895049505,0.959167518,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,XGB,65,0.895049505,0.961440245,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,SVM,66,0.99009901,0.947778345,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
RF,LR,66,0.84009901,0.925178754,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,66,0.83019802,0.913815117,0.936936937,0.97,0.96039604,0.965174129,0.632803401,0.857729016,7
RF,RF,66,0.895049505,0.963712972,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,XGB,66,0.84009901,0.954673136,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,SVM,67,0.94009901,0.936440245,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,LR,67,0.84009901,0.925178754,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
RF,DT,67,0.825247525,0.925153218,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
RF,RF,67,0.94009901,0.959167518,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
RF,XGB,67,0.895049505,0.956920327,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
RF,SVM,68,0.99009901,0.943232891,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
