selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,J-index,AUC,MCC,Mean cross-validated score,Best parameters
XGBoost,Decision Tree,30,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9660112359550561,"{'C': 100, 'kernel': 'rbf'}"
XGBoost,XGBoost,35,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,35,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,35,0.9115646258503401,0.912718204488778,0.9,0.9891891891891892,0.9494163424124513,0.8127182044887782,0.9063591022443891,0.6350561606113304,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9637129724208376,"{'C': 100, 'kernel': 'rbf'}"
XGBoost,XGBoost,40,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,40,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,40,0.9115646258503401,0.912718204488778,0.9,0.9891891891891892,0.9494163424124513,0.8127182044887782,0.9063591022443891,0.6350561606113304,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,40,0.9977324263038548,0.9975062344139651,1.0,1.0,0.9987515605493134,0.9975062344139651,0.9987531172069826,0.9864972448326477,0.9614402451481103,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,45,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,45,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,45,0.9115646258503401,0.912718204488778,0.9,0.9891891891891892,0.9494163424124513,0.8127182044887782,0.9063591022443891,0.6350561606113304,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9750510725229825,"{'C': 100, 'kernel': 'rbf'}"
XGBoost,XGBoost,50,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,50,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,50,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,50,0.9977324263038548,0.9975062344139651,1.0,1.0,0.9987515605493134,0.9975062344139651,0.9987531172069826,0.9864972448326477,0.9591675178753831,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,55,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,55,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,55,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9568947906026558,"{'C': 100, 'kernel': 'rbf'}"
XGBoost,XGBoost,60,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,60,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
