selection_model,train_model,features,accuracy_test,recall_test,f1_score_test,AUC_test,MCC_test
XGBoost,SVM,70,0.981981981981982,1.0,0.9901960784313726,0.9,0.885700863394338
Random Forest,SVM,70,0.972972972972973,0.99009900990099,0.9852216748768472,0.8950495049504951,0.8287448905266707
Decision Tree,SVM,70,0.981981981981982,0.9801980198019802,0.99,0.99009900990099,0.903787410383834
SVM,SVM,70,0.972972972972973,0.99009900990099,0.9852216748768472,0.8950495049504951,0.8287448905266707
