selection_model_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
XGBoost_25,ACOT11,ADAM11,AFAP1L1,ALOX12,BMP7,C10orf82,CD44,DCTN1,DSE,FAM81A,FER1L5,FGF2,GRHL3,ITIH5,KIAA1751,LOC100302652,LPAR1,MYCL1,NUAK1,PDLIM4,PODN,SIM1,SLC18A2,TET2,THBS4
XGBoost_30,ACOT11,ADAM11,AFAP1L1,ALOX12,BMP7,C10orf82,CD44,DCTN1,DSE,FAM81A,FER1L5,FGF2,GRHL3,HHIP,ITIH5,KIAA1751,LOC100302652,LOC400940,LPAR1,MIR663,MYCL1,NDRG2,NUAK1,PDLIM4,PODN,SIM1,SLC18A2,TET2,THBS4,WDR86
XGBoost_35,ACOT11,ADAM11,AFAP1L1,ALOX12,ANKH,BMP7,C10orf82,CALD1,CD44,DCTN1,DSE,FAM81A,FER1L5,FGF2,GRHL3,HHIP,HIF3A,ITIH5,KIAA1751,LOC100302652,LOC400940,LPAR1,MIR663,MYCL1,NCRNA00092,NDRG2,NUAK1,PDLIM4,PODN,RBPMS2,SIM1,SLC18A2,TET2,THBS4,WDR86
Random Forest_25,ACCN1,AFAP1L1,ANKH,BMP7,C15orf26,CRTAC1,DCTN1,DSE,EFS,ENPP2,FAM81A,FER1L5,ITIH5,JDP2,KLK13,LRP4,MIR663,MYCL1,NCRNA00092,NUAK1,PODN,PTPRN,PYCARD,SIM1,UFSP1
Random Forest_30,ACCN1,AFAP1L1,ANKH,BMP7,C15orf26,CCDC102A,CDYL,CRTAC1,DCTN1,DSE,EFS,ENPP2,FAM81A,FER1L5,ITIH5,JDP2,KIAA1751,KLK13,LRP4,MIR663,MYCL1,MYO16,NCRNA00092,NIPAL4,NUAK1,PODN,PTPRN,PYCARD,SIM1,UFSP1
Random Forest_35,ACCN1,ADCY1,AFAP1L1,ANKH,BMP7,C15orf26,CCDC102A,CDYL,CRTAC1,DCTN1,DSE,EFS,ENPP2,FAM81A,FER1L5,ITIH5,JDP2,KIAA1751,KLK13,LPAR1,LRP4,LUZP1,MIR663,MYCL1,MYO16,NCRNA00092,NIPAL4,NUAK1,PAQR9,PODN,PTPRN,PYCARD,RBPMS2,SIM1,UFSP1
Decision Tree_25,ADCY1,AFAP1L1,BMP7,FAM81A,FGF2,IQCA1,ITIH5,LOC84931,LPAR1,MGC42105,NUAK1,PNMAL2,PODN,TET2,THBS4,TP53AIP1,TSPAN5,TTBK1,UBXN10,UFSP1,VIPR2,VSNL1,VWC2,VWCE,WDR86
Decision Tree_30,ADCY1,AFAP1L1,BMP7,FAM81A,FGF2,IQCA1,ITIH5,LOC84931,LPAR1,MGC42105,NUAK1,PNMAL2,PODN,TBX20,TCEA2,TET2,THBS4,TIAM1,TIMP2,TMEM176B,TP53AIP1,TSPAN5,TTBK1,UBXN10,UFSP1,VIPR2,VSNL1,VWC2,VWCE,WDR86
Decision Tree_35,ADCY1,AFAP1L1,BMP7,FAM81A,FGF2,IQCA1,ITIH5,LOC84931,LPAR1,MGC42105,NUAK1,PNMAL2,PODN,SPRY4,SSTR4,SYT6,T,TAC1,TBX20,TCEA2,TET2,THBS4,TIAM1,TIMP2,TMEM176B,TP53AIP1,TSPAN5,TTBK1,UBXN10,UFSP1,VIPR2,VSNL1,VWC2,VWCE,WDR86
SVM_25,AFAP1L1,BICC1,CBX5,CPVL,CRTAC1,CXCL1,DCTN1,FER1L5,GREM1,IQCA1,KIAA1751,LPAR1,LRP4,MYCL1,NFATC3,NIPAL4,NOTUM,PDLIM4,RAPGEFL1,SIM1,SLC25A39,SLC6A3,SLITRK3,SOBP,UFSP1
SVM_30,AFAP1L1,ANXA2,BICC1,CBX5,CPVL,CRTAC1,CXCL1,DCTN1,FER1L5,GREM1,HIF3A,IQCA1,KIAA1751,LOC100126784,LOC400940,LPAR1,LRP4,MYCL1,NFATC3,NIPAL4,NOTUM,PDLIM4,PLTP,RAPGEFL1,SIM1,SLC25A39,SLC6A3,SLITRK3,SOBP,UFSP1
SVM_35,AFAP1L1,ANXA2,BICC1,CBX5,CCK,CPVL,CRTAC1,CXCL1,DCTN1,FER1L5,GREM1,HIF3A,IQCA1,KIAA1751,LOC100126784,LOC400940,LPAR1,LRP4,MYCL1,MYO16,NFATC3,NIPAL4,NOTUM,NRIP2,PDLIM4,PLEKHA6,PLTP,RAPGEFL1,SIM1,SLC25A39,SLC2A2,SLC6A3,SLITRK3,SOBP,UFSP1
