accuracy_test,recall_test,f1_score_test,AUC_test,MCC_test,features
0.972972972972973,0.9801980198019802,0.9850991330476331,0.94009900990099,0.8415591999906302,20
0.9702702702702704,0.9811881188118813,0.9836210125841381,0.9205940594059406,0.8246848030274702,25
0.9650900900900901,0.9764851485148515,0.9806956856541029,0.9132425742574258,0.8002821172367588,30
0.9693693693693695,0.9811881188118811,0.9831283995770921,0.9155940594059407,0.8181296582342534,35
0.9707207207207208,0.9851485148514851,0.9839043715609489,0.9050742574257427,0.823527601382229,40
0.963963963963964,0.9826732673267327,0.9802345998146612,0.8788366336633664,0.776996207639573,45
0.9752252252252253,0.9925742574257426,0.9864650366804284,0.8962871287128713,0.8434867324417443,50
0.9684684684684685,0.9876237623762376,0.982758381604605,0.8813118811881188,0.8004286029941069,55
0.972972972972973,0.9826732673267327,0.9851235803861247,0.9288366336633663,0.8390379862037316,60
0.9707207207207208,0.9826732673267327,0.9839044286202019,0.9163366336633663,0.8232320851286163,65
0.9774774774774775,0.9900990099009901,0.9876598570462667,0.9200495049504951,0.8617445137078783,70
0.9707207207207208,0.9826732673267327,0.9838919319657868,0.9163366336633663,0.8248474259671958,75
0.9662162162162162,0.9851485148514851,0.9815027069209383,0.8800742574257425,0.7877890366147774,80
