selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,2,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9996219281663515,0.9574271077563379,0.9913793103448276
SVM,RandomForest,2,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9988657844990548,0.9574271077563379,0.9913793103448276
SVM,SVM,2,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9996219281663515,0.9574271077563379,0.9913793103448276
SVM,DecisionTree,2,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9782608695652174,0.9574271077563379,0.9913793103448276
SVM,XGBoost,3,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9996219281663515,0.9574271077563379,0.9913793103448276
SVM,RandomForest,3,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9977315689981096,0.9574271077563379,0.9913793103448276
SVM,SVM,3,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9996219281663515,0.9574271077563379,0.9913793103448276
SVM,DecisionTree,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,1.0,0.9574271077563379,0.9913793103448276
SVM,RandomForest,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9996219281663515,0.9574271077563379,0.9913793103448276
SVM,SVM,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9996219281663515,0.9574271077563379,0.9913793103448276
SVM,DecisionTree,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9782608695652174,0.9574271077563379,0.9913793103448276
SVM,XGBoost,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9969754253308128,0.9574271077563379,0.9913793103448276
SVM,RandomForest,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.998109640831758,0.9574271077563379,0.9913793103448276
SVM,SVM,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9988657844990547,0.9574271077563379,0.9913793103448276
SVM,DecisionTree,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9782608695652174,0.9574271077563379,0.9913793103448276
SVM,XGBoost,6,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,1.0,0.9574271077563379,0.9913793103448276
SVM,RandomForest,6,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9992438563327031,0.9574271077563379,0.9913793103448276
SVM,SVM,6,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,1.0,0.9574271077563379,0.9913793103448276
SVM,DecisionTree,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,2,0.9565217391304348,1.0,0.9130434782608695,0.9200000000000002,0.9583333333333334,0.9901701323251417,0.916515138991168,0.9829059829059827
DecisionTree,RandomForest,2,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9945179584120982,0.9574271077563379,0.9913793103448276
DecisionTree,SVM,2,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9916824196597354,0.9574271077563379,0.9913793103448276
DecisionTree,DecisionTree,2,0.8521739130434783,0.9217391304347826,0.782608695652174,0.8086589336589336,0.8609514273794625,0.942155009451796,0.7129833376287308,0.8962659230846051
DecisionTree,XGBoost,3,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9984877126654066,0.9574271077563379,0.9913793103448276
DecisionTree,RandomForest,3,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.998109640831758,0.9574271077563379,0.9913793103448276
DecisionTree,SVM,3,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9973534971644613,0.9574271077563379,0.9913793103448276
DecisionTree,DecisionTree,3,0.9739130434782609,0.9913043478260869,0.9565217391304348,0.9579710144927537,0.9742830712303423,0.9739130434782609,0.9485503818572443,0.9844077961019491
DecisionTree,XGBoost,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9992438563327031,0.9574271077563379,0.9913793103448276
DecisionTree,RandomForest,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9982986767485823,0.9574271077563379,0.9913793103448276
DecisionTree,SVM,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.998109640831758,0.9574271077563379,0.9913793103448276
DecisionTree,DecisionTree,4,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9782608695652174,0.9574271077563379,0.9913793103448276
DecisionTree,XGBoost,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,1.0,0.9574271077563379,0.9913793103448276
DecisionTree,RandomForest,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,1.0,0.9574271077563379,0.9913793103448276
DecisionTree,SVM,5,0.9782608695652174,1.0,0.9565217391304348,0.9583333333333334,0.9787234042553191,0.9992438563327031,0.9574271077563379,0.9913793103448276
