selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216, 0.13043478260869565, 1.0]","[0.0, 0.7432432432432432, 0.8783783783783784, 0.918918918918919, 0.9459459459459459, 0.972972972972973, 1.0, 1.0, 1.0]","[       inf 0.9681408  0.9671559  0.9244521  0.9217939  0.9031815
 0.7982822  0.18547848 0.11759289]"
SVM,RandomForest,2,"[0.0, 0.0, 0.043478260869565216, 0.043478260869565216, 0.08695652173913043, 0.17391304347826086, 1.0]","[0.0, 0.9459459459459459, 0.9864864864864865, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.7 0.5 0.1 0. ]
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.043478260869565216, 0.043478260869565216, 1.0]","[0.0, 0.013513513513513514, 0.972972972972973, 0.972972972972973, 1.0, 1.0]",[       inf 0.99999291 0.98534739 0.97663587 0.96604456 0.0181845 ]
SVM,DecisionTree,2,"[0.0, 0.043478260869565216, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216, 0.13043478260869565, 1.0]","[0.0, 0.8918918918918919, 0.918918918918919, 0.9459459459459459, 0.972972972972973, 1.0, 1.0, 1.0]","[       inf 0.9211237  0.8779797  0.87334085 0.8543399  0.7939496
 0.36725318 0.29246157]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.043478260869565216, 0.13043478260869565, 0.2608695652173913, 1.0]","[0.0, 0.7837837837837838, 0.8918918918918919, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.06 0.02 0.  ]
SVM,SVM,3,"[0.0, 0.0, 0.0, 0.043478260869565216, 0.043478260869565216, 1.0]","[0.0, 0.013513513513513514, 0.9864864864864865, 0.9864864864864865, 1.0, 1.0]",[       inf 0.99998526 0.98237517 0.96387324 0.9330428  0.00948448]
SVM,DecisionTree,3,"[0.0, 0.0, 0.043478260869565216, 1.0]","[0.0, 1.0, 1.0, 1.0]",[inf 1.  0.4 0. ]
SVM,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216, 0.043478260869565216, 0.13043478260869565, 0.2608695652173913, 1.0]","[0.0, 0.44594594594594594, 0.5135135135135135, 0.5405405405405406, 0.5675675675675675, 0.6756756756756757, 0.7027027027027027, 0.7297297297297297, 0.7432432432432432, 0.7972972972972973, 0.9864864864864865, 0.9864864864864865, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9690336  0.96815276 0.9662868  0.9660913  0.96576405
 0.9648085  0.96474963 0.96402067 0.9635069  0.8766673  0.8500713
 0.8297542  0.2744535  0.13109204 0.11950911]"
SVM,RandomForest,4,"[0.0, 0.0, 0.043478260869565216, 0.21739130434782608, 1.0]","[0.0, 0.9864864864864865, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.1 0. ]
