estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,E2F8,FLOT1,HDAC9,0.8691176470588236,0.9441176470588235,0.7941176470588235,0.8209143049932524,0.8781459541733515,0.9294982698961938,0.7469214553886717,0.9165537766830871
Voting,MIR9-1,FLOT1,HDAC9,0.8397058823529411,0.9147058823529413,0.7647058823529411,0.795274464748149,0.85069544752161,0.917387543252595,0.6875822706933155,0.8879440033755361
Voting,FBXO30,KLHDC8A,PYCARD,0.898529411764706,0.973529411764706,0.8235294117647058,0.8464777327935222,0.9054671109465631,0.9215397923875432,0.8065339914869474,0.9450828481862965
Voting,LPAR1,KLHDC8A,PYCARD,0.8691176470588236,0.9441176470588235,0.7941176470588235,0.820845182844541,0.8780211444321031,0.9140138408304498,0.7472225656271532,0.9164741796777156
Voting,E2F8,FLOT1,PAQR9,0.851470588235294,0.9382352941176471,0.7647058823529411,0.7994121325828643,0.8631854868567196,0.9104671280276817,0.7141210337340731,0.9066740039621395
Voting,DUOX1,FBXO30,MIR9-1,0.8705882352941176,0.9176470588235295,0.8235294117647058,0.8386439070649597,0.8762799016320143,0.8891868512110725,0.7447120703507839,0.9006161994953594
Voting,DUOX1,SFXN5,MIR9-1,0.8191176470588235,0.9029411764705884,0.7352941176470589,0.7731283062252254,0.8328494687910692,0.9121972318339099,0.6479773516098656,0.8734871310844934
Voting,FBXO30,FLOT1,NAT8L,0.8779411764705882,0.9323529411764706,0.8235294117647058,0.8407812670970566,0.884108302784745,0.9106401384083043,0.760671963455993,0.9124103761496626
Voting,HDAC9,FLOT1,NAT8L,0.8632352941176469,0.9323529411764706,0.7941176470588235,0.8190485829959513,0.8719476325640709,0.9263840830449828,0.7338019334126963,0.907188013136289
Voting,SFXN5,FLOT1,NAT8L,0.8132352941176471,0.95,0.6764705882352943,0.745876707272056,0.8355869646675776,0.9226643598615917,0.651711825880734,0.9006474861144393
Voting,CAV1,FJX1,JDP2,0.8632352941176471,0.9323529411764706,0.7941176470588235,0.8190230513914724,0.8719036854720823,0.9209342560553633,0.7338877703978823,0.9071608673367694
Voting,CAV1,SFXN5,JDP2,0.851470588235294,0.9382352941176471,0.7647058823529411,0.7994121325828643,0.8631854868567196,0.9193771626297578,0.7141210337340731,0.9066740039621395
Voting,HDAC9,HES5,KLHDC8A,0.8397058823529411,0.9441176470588235,0.7352941176470589,0.7809077465359372,0.8546805835226887,0.9101211072664359,0.6952286348450024,0.9061517918245727
Voting,HDAC9,JDP2,KLHDC8A,0.8441176470588234,0.9529411764705882,0.7352941176470589,0.7825540879993517,0.8593292321713374,0.9093425605536332,0.705399930278337,0.9131336870479932
Voting,ANKH,CBX5,FLOT1,0.8044117647058823,0.9617647058823531,0.6470588235294119,0.7314624505928855,0.8308893216488153,0.9149653979238754,0.6418675521404227,0.9047382942410568
Voting,SFXN5,CBX5,FLOT1,0.8161764705882353,0.9264705882352942,0.7058823529411765,0.7589181049617804,0.8342640384745648,0.9113321799307957,0.6487945444934538,0.8872132028702232
Voting,ANKH,C1orf114,HIF3A,0.8705882352941178,0.9470588235294117,0.7941176470588235,0.8213866396761134,0.8797060759389528,0.9297577854671282,0.7501772192388372,0.9189018883415436
Voting,HDAC9,C1orf114,HIF3A,0.8602941176470587,0.9558823529411764,0.7647058823529411,0.8024157955865272,0.8723926031294452,0.9141868512110726,0.7343792872741841,0.9206211803812259
Voting,ANKH,C1orf114,HIF3A,0.8705882352941178,0.9470588235294117,0.7941176470588235,0.8213866396761134,0.8797060759389528,0.9297577854671282,0.7501772192388372,0.9189018883415436
Voting,HDAC9,C1orf114,HIF3A,0.8602941176470587,0.9558823529411764,0.7647058823529411,0.8024157955865272,0.8723926031294452,0.9141868512110726,0.7343792872741841,0.9206211803812259
