selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
RandomForest,XGBoost,21,0.9954545454545455,0.990909090909091,1.0,1.0,0.995433789954338,0.9999816345270891,0.9909500401039308,0.9927140255009108
RandomForest,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,21,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,22,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,RandomForest,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,22,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,23,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,0.9999908172635446,0.996974274456213,0.9975742874469374
RandomForest,RandomForest,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,23,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,24,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,RandomForest,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,24,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,XGBoost,25,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,RandomForest,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,SVM,25,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
RandomForest,DecisionTree,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,RandomForest,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,SVM,20,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,DecisionTree,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,RandomForest,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,SVM,21,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,DecisionTree,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,22,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,RandomForest,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,SVM,22,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,DecisionTree,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,23,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,RandomForest,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,SVM,23,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,DecisionTree,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,RandomForest,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,SVM,24,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,DecisionTree,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,25,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,RandomForest,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,SVM,25,0.9984848484848485,0.996969696969697,1.0,1.0,0.9984825493171471,1.0,0.996974274456213,0.9975742874469374
XGBoost,DecisionTree,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
