gene,cluster
ALOX12,4
APLNR,4
CD46,4
CDH5,4
CEACAM5,4
CHRNA6,4
CKLF,3
CLEC9A,4
CMTM5,3
CRISP2,3
CRTC1,1
CSMD1,4
CX3CL1,3
CXCL17,3
CYP1A1,1
DGKA,4
EGF,3
FOXP4,1
GJB5,4
GLP1R,4
GNA13,4
HIPK3,1
HMGB1,3
HOXA3,1
IL32,3
IVL,4
KCNE3,4
KLK12,3
KRT75,4
LCOR,1
MIR1-1,2
MIR1180,2
MIR124-3,2
MIR134,2
MIR141,2
MIR346,2
MIR493,3
MUC1,4
NAT1,4
NEFM,4
PANX3,4
PCYT2,1
PDCD1LG2,4
PGC,3
PRSS1,3
PTF1A,1
RAB6B,1
RING1,1
SALL3,1
SDR9C7,1
SFRP5,3
SLC4A1,4
SOX1,1
SPAG6,3
SSTR5,4
TGM2,4
TNFRSF9,4
TP73,1
XAF1,1
