"","ALOX12","APLNR","CD46","CDH5","CEACAM5","CHRNA6","CKLF","CLEC9A","CMTM5","CRISP2","CRTC1","CSMD1","CX3CL1","CXCL17","CYP1A1","DGKA","EGF","FOXP4","GJB5","GLP1R","GNA13","HIPK3","HMGB1","HOXA3","IL32","IVL","KCNE3","KLK12","KRT75","LCOR","MIR1-1","MIR1180","MIR124-3","MIR134","MIR141","MIR346","MIR493","MUC1","NAT1","NEFM","PANX3","PCYT2","PDCD1LG2","PGC","PRSS1","PTF1A","RAB6B","RING1","SALL3","SDR9C7","SFRP5","SLC4A1","SOX1","SPAG6","SSTR5","TGM2","TNFRSF9","TP73","XAF1"
"RING1",0.535,0.694,0.707,0.543,0.697,0.771,0.699,0.707,0.712,0.62,0.236,0.573,0.628,0.62,0.464,0.576,0.688,0.34,0.821,0.719,0.437,0.253,0.412,0.262,0.569,0.393,0.627,0.689,0.608,0.316,0.743,0.782,0.782,0.743,0.743,0.782,0.62,0.439,0,0.586,0.798,0.558,0.71,0.62,0.708,0.294,0.451,0,0,0.361,0.62,0.7,0.34,0.474,0.794,0.385,0.799,0.22,0.294
"SALL3",0.604,0.823,0.699,0.303,0.699,0.803,0.732,0.732,0.732,0.76,0,0.732,0.66,0.76,0.129,0.66,0.593,0,0.909,0.732,0,0,0,0,0.66,0.329,0.54,0.671,0.66,0,0.76,0.938,0.938,0.76,0.76,0.938,0.76,0,0.66,0.604,0.823,0.556,0.732,0.76,0.732,0,0.306,0,0,0.129,0.76,0.652,0,0,0.823,0,0.823,0,0.303
"SDR9C7",0.374,0.67,0.619,0.587,0.618,0.716,0.579,0.576,0.59,0.588,0.224,0.531,0.517,0.588,0.3,0.429,0.582,0.324,0.811,0.611,0.414,0.228,0.456,0.328,0.412,0.35,0.54,0.531,0.519,0.302,0.697,0.871,0.871,0.697,0.697,0.871,0.588,0.481,0.159,0.451,0.717,0.308,0.619,0.588,0.615,0.26,0.322,0.361,0.129,0,0.588,0.635,0.324,0.465,0.708,0.407,0.721,0.229,0.147
"SFRP5",0.407,0.67,0,0.531,0.197,0.627,0,0.531,0,0,0.588,0.531,0,0,0.741,0.531,0,0.684,0.811,0.531,0.407,0.588,0,0.684,0,0.407,0.588,0,0.407,0.739,0,0.871,0.871,0,0,0.871,0,0,0.62,0.588,0.67,0.588,0.197,0,0,0.588,0.531,0.62,0.76,0.588,0,0.159,0.684,0.197,0.67,0.407,0.67,0.531,0.588
"SLC4A1",0.332,0,0.361,0.468,0.249,0.51,0.403,0.506,0.412,0.159,0.483,0,0.363,0.159,0.719,0.385,0.384,0.687,0.468,0.394,0.37,0.486,0.535,0.687,0.396,0.415,0.447,0.555,0.419,0.753,0.618,0.853,0.853,0.618,0.618,0.853,0.159,0.342,0.545,0.604,0.51,0.643,0.403,0.159,0.499,0.643,0.614,0.7,0.652,0.635,0.159,0,0.687,0.563,0.506,0.442,0.475,0.611,0.633
"SOX1",0.632,0.743,0.708,0.638,0.702,0.775,0.674,0.672,0.68,0.684,0.383,0.652,0.673,0.684,0.376,0.651,0.687,0,0.843,0.695,0.574,0.391,0.481,0.0610000000000001,0.639,0.529,0.689,0.666,0.633,0.216,0.757,0.902,0.902,0.757,0.757,0.902,0.684,0.395,0.6,0.56,0.775,0.588,0.703,0.684,0.699,0.234,0.514,0.34,0,0.324,0.684,0.687,0,0.434,0.768,0.419,0.774,0.227,0.434
"SPAG6",0.565,0.627,0.54,0.58,0.56,0.696,0.507,0.643,0.585,0.197,0.452,0.457,0.481,0.197,0.525,0.603,0.5,0.434,0.795,0.662,0.522,0.457,0.359,0.421,0.534,0.462,0.611,0.397,0.524,0.495,0.645,0.853,0.853,0.645,0.645,0.853,0.197,0.419,0.573,0.458,0.759,0.569,0.545,0.197,0.507,0.438,0.477,0.474,0,0.465,0.197,0.563,0.434,0,0.705,0.479,0.762,0.377,0.502
"SSTR5",0.491,0,0.532,0.528,0.413,0.326,0.513,0.474,0.485,0.67,0.554,0.313,0.365,0.67,0.786,0.33,0.581,0.768,0.468,0.239,0.551,0.556,0.713,0.771,0.527,0.59,0.455,0.674,0.609,0.8,0.732,0.903,0.903,0.732,0.732,0.903,0.67,0.567,0.694,0.647,0.391,0.689,0.365,0.67,0.643,0.74,0.717,0.794,0.823,0.708,0.67,0.506,0.768,0.705,0,0.633,0.265,0.729,0.718
"TGM2",0.326,0,0.403,0.455,0.452,0.589,0.58,0.618,0.583,0.407,0.301,0.313,0.444,0.407,0.51,0.41,0.462,0.419,0.468,0.546,0.239,0.304,0.38,0.412,0.445,0.318,0.447,0.573,0.394,0.531,0.67,0.841,0.841,0.67,0.67,0.841,0.407,0.274,0,0.512,0.608,0.492,0.518,0.407,0.504,0.351,0.406,0.385,0,0.407,0.407,0.442,0.419,0.479,0.633,0,0.603,0.26,0.365
"TNFRSF9",0.458,0,0.47,0.444,0.356,0.444,0.486,0.394,0.45,0.67,0.505,0.313,0.473,0.67,0.783,0.26,0.543,0.774,0.468,0.152,0.523,0.507,0.692,0.777,0.499,0.556,0.499,0.688,0.567,0.803,0.746,0.903,0.903,0.746,0.746,0.903,0.67,0.528,0.694,0.779,0.273,0.705,0.209,0.67,0.655,0.749,0.725,0.799,0.823,0.721,0.67,0.475,0.774,0.762,0.265,0.603,0,0.737,0.727
"TP73",0.432,0.627,0.585,0.39,0.605,0.609,0.603,0.611,0.62,0.531,0.187,0.457,0.524,0.531,0.343,0.462,0.574,0.227,0.643,0.63,0.363,0.205,0.331,0.174,0.452,0.327,0.543,0.554,0.506,0.269,0.692,0.853,0.853,0.692,0.692,0.853,0.531,0.332,0,0.483,0.683,0.441,0.603,0.531,0.62,0.219,0.252,0.22,0,0.229,0.531,0.611,0.227,0.377,0.729,0.26,0.737,0,0.197
"XAF1",0.328,0.67,0.63,0.539,0.63,0.716,0.599,0.6,0.61,0.588,0.136,0.531,0.5,0.588,0.396,0.359,0.598,0.434,0.811,0.624,0.394,0.16,0.429,0.329,0.347,0.255,0.516,0.552,0.459,0.312,0.692,0.871,0.871,0.692,0.692,0.871,0.588,0.517,0,0.441,0.724,0.324,0.627,0.588,0.623,0.303,0.295,0.294,0.303,0.147,0.588,0.633,0.434,0.502,0.718,0.365,0.727,0.197,0
