"","ALOX12","APLNR","CD46","CDH5","CEACAM5","CHRNA6","CKLF","CLEC9A","CMTM5","CRISP2","CRTC1","CSMD1","CX3CL1","CXCL17","CYP1A1","DGKA","EGF","FOXP4","GJB5","GLP1R","GNA13","HIPK3","HMGB1","HOXA3","IL32","IVL","KCNE3","KLK12","KRT75","LCOR","MIR1-1","MIR1180","MIR124-3","MIR134","MIR141","MIR346","MIR493","MUC1","NAT1","NEFM","PANX3","PCYT2","PDCD1LG2","PGC","PRSS1","PTF1A","RAB6B","RING1","SALL3","SDR9C7","SFRP5","SLC4A1","SOX1","SPAG6","SSTR5","TGM2","TNFRSF9","TP73","XAF1"
"CRTC1",0.289,0,0.531,0.363,0.457,0.544,0.555,0.551,0.558,0.588,0,0.313,0.431,0.588,0.449,0.275,0.523,0.383,0.468,0.446,0.241,0.015,0.369,0.28,0.375,0.168,0.401,0.59,0.417,0.267,0.695,0.871,0.871,0.695,0.695,0.871,0.588,0.344,0,0.49,0.559,0.424,0.461,0.588,0.622,0.281,0.366,0.236,0,0.224,0.588,0.483,0.383,0.452,0.554,0.301,0.505,0.187,0.136
"CSMD1",0,0.313,0.313,0,0,0.313,0,0,0,0.531,0.313,0,0,0.531,0.672,0,0.313,0.652,0.63,0,0,0.313,0.457,0.652,0,0.402,0.313,0.457,0.402,0.717,0.531,0.853,0.853,0.531,0.531,0.853,0.531,0.313,0.573,0.531,0.313,0.531,0.313,0.531,0.457,0.531,0.457,0.573,0.732,0.531,0.531,0,0.652,0.457,0.313,0.313,0.313,0.457,0.531
"CX3CL1",0.313,0,0.301,0.394,0.222,0.404,0.256,0.327,0.297,0,0.431,0,0,0,0.712,0.314,0.349,0.673,0.468,0.34,0.368,0.432,0.41,0.673,0.274,0.427,0.343,0.365,0.479,0.725,0.481,0.853,0.853,0.481,0.481,0.853,0,0.4,0.296,0.492,0.523,0.52,0.309,0,0.354,0.546,0.499,0.628,0.66,0.517,0,0.363,0.673,0.481,0.365,0.444,0.473,0.524,0.5
"CXCL17",0.407,0.67,0,0.531,0.197,0.627,0,0.531,0,0,0.588,0.531,0,0,0.741,0.531,0,0.684,0.811,0.531,0.407,0.588,0,0.684,0,0.407,0.588,0,0.407,0.739,0,0.871,0.871,0,0,0.871,0,0,0.62,0.588,0.67,0.588,0.197,0,0,0.588,0.531,0.62,0.76,0.588,0,0.159,0.684,0.197,0.67,0.407,0.67,0.531,0.588
"CYP1A1",0.64,0.763,0.69,0.65,0.715,0.807,0.698,0.689,0.695,0.741,0.449,0.672,0.712,0.741,0,0.673,0.645,0.376,0.862,0.699,0.6,0.454,0.513,0.371,0.669,0.574,0.702,0.67,0.675,0.346,0.816,0.929,0.929,0.816,0.816,0.929,0.741,0.518,0.625,0.635,0.792,0.386,0.731,0.741,0.772,0.475,0.448,0.464,0.129,0.3,0.741,0.719,0.376,0.525,0.786,0.51,0.783,0.343,0.396
"DGKA",0.15,0,0.434,0.401,0.28,0.429,0.312,0.269,0.283,0.531,0.275,0,0.314,0.531,0.673,0,0.471,0.651,0.468,0.115,0.295,0.276,0.546,0.655,0.141,0.324,0.375,0.531,0.368,0.7,0.641,0.853,0.853,0.641,0.641,0.853,0.531,0.458,0,0.546,0.339,0.454,0.299,0.531,0.545,0.508,0.423,0.576,0.66,0.429,0.531,0.385,0.651,0.603,0.33,0.41,0.26,0.462,0.359
"EGF",0.374,0,0.28,0.502,0.284,0.556,0.328,0.561,0.386,0,0.523,0.313,0.349,0,0.645,0.471,0,0.687,0.468,0.476,0.416,0.526,0.38,0.678,0.39,0.433,0.488,0.306,0.461,0.699,0.518,0.853,0.853,0.518,0.518,0.853,0,0.307,0.573,0.669,0.587,0.608,0.343,0,0.391,0.631,0.516,0.688,0.593,0.582,0,0.384,0.687,0.5,0.581,0.462,0.543,0.574,0.598
"FOXP4",0.632,0.743,0.708,0.638,0.702,0.775,0.674,0.672,0.68,0.684,0.383,0.652,0.673,0.684,0.376,0.651,0.687,0,0.843,0.695,0.574,0.391,0.481,0.0610000000000001,0.639,0.529,0.689,0.666,0.633,0.216,0.757,0.902,0.902,0.757,0.757,0.902,0.684,0.395,0.6,0.56,0.775,0.588,0.703,0.684,0.699,0.234,0.514,0.34,0,0.324,0.684,0.687,0,0.434,0.768,0.419,0.774,0.227,0.434
"GJB5",0.575,0.468,0.468,0.434,0.468,0.468,0.63,0.63,0.63,0.811,0.468,0.63,0.468,0.811,0.862,0.468,0.468,0.843,0,0.468,0.468,0.468,0.372,0.843,0.63,0.575,0.468,0.795,0.575,0.863,0.811,0.866,0.866,0.811,0.811,0.866,0.811,0.468,0.821,0.811,0.417,0.811,0.468,0.811,0.795,0.783,0.743,0.821,0.909,0.811,0.811,0.468,0.843,0.795,0.468,0.468,0.468,0.643,0.811
"GLP1R",0.306,0,0.417,0.391,0.251,0.403,0.26,0.192,0.211,0.531,0.446,0,0.34,0.531,0.699,0.115,0.476,0.695,0.468,0,0.421,0.446,0.626,0.699,0.283,0.491,0.429,0.559,0.518,0.738,0.646,0.853,0.853,0.646,0.646,0.853,0.531,0.472,0.573,0.684,0.25,0.587,0.254,0.531,0.541,0.649,0.614,0.719,0.732,0.611,0.531,0.394,0.695,0.662,0.239,0.546,0.152,0.63,0.624
