gene,cluster
ALOX12,16
APLNR,10
CD46,9
CDH5,10
CEACAM5,7
CHRNA6,8
CKLF,8
CLEC9A,5
CMTM5,8
CRTC1,12
CSMD1,4
CX3CL1,10
CXCL17,10
CYP1A1,15
DGKA,16
EGF,10
FOXP4,12
GJB5,4
GLP1R,8
GNA13,8
HIPK3,7
HMGB1,10
HOXA3,11
IL32,8
IVL,14
KCNE3,6
KLK12,13
KRT75,2
LCOR,12
MIR1-1,1
MIR1180,1
MIR124-3,1
MIR134,1
MIR141,1
MIR346,1
MIR493,1
MUC1,12
NAT1,15
NEFM,2
PANX3,5
PCYT2,16
PDCD1LG2,9
PGC,13
PRSS1,13
PTF1A,11
RAB6B,3
RING1,11
SALL3,11
SDR9C7,16
SFRP5,11
SLC4A1,6
SOX1,11
SPAG6,3
SSTR5,8
TGM2,10
TNFRSF9,7
TP73,11
XAF1,7
