estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,FNDC1,MIR1178,SALL1,0.8428571428571427,0.9238095238095239,0.7619047619047619,0.7945720583764062,0.8538142520660861,0.846031746031746,0.6966427537348937,0.8943281663741383
DecisionTree,SERPINB5,MIR1178,SALL1,0.9190476190476191,0.980952380952381,0.857142857142857,0.8728260869565219,0.9236363636363636,0.9380952380952381,0.8449033560704222,0.9571651090342679
DecisionTree,FNDC1,KLF6,PIK3R5,0.9166666666666667,0.9761904761904763,0.857142857142857,0.8722332015810277,0.9210993657505286,0.9166666666666667,0.8398583347601299,0.9533298066184681
DecisionTree,FNDC1,PRDM2,PIK3R5,0.911904761904762,0.9666666666666668,0.857142857142857,0.8710968379446641,0.916138125440451,0.9608843537414966,0.8295328015213335,0.9457302259056798
DecisionTree,DLX5,MIR1178,SERPINB5,0.8809523809523812,1.0,0.7619047619047619,0.8076923076923077,0.8936170212765957,0.8781179138321997,0.7844645405527363,0.9545454545454548
DecisionTree,SALL1,MIR1178,SERPINB5,0.9190476190476191,0.980952380952381,0.857142857142857,0.8728260869565219,0.9236363636363636,0.9380952380952381,0.8449033560704222,0.9571651090342679
DecisionTree,IMMP2L,KLF6,SERPINB5,0.838095238095238,0.9619047619047618,0.7142857142857143,0.7707264957264958,0.8555319148936171,0.8523809523809524,0.6990806604107567,0.9162571662571661
DecisionTree,IMMP2L,SALL1,SERPINB5,0.9023809523809525,0.9476190476190476,0.857142857142857,0.8688735177865612,0.9063284002818885,0.9411564625850339,0.8086462444255288,0.9306020885989146
DecisionTree,KLF6,MIR196A1,SERPINB5,0.838095238095238,0.961904761904762,0.7142857142857143,0.7708034188034187,0.8556429232192416,0.8380952380952381,0.6988235112123228,0.9163266686202466
DecisionTree,ZNF529,MIR196A1,SERPINB5,0.8785714285714287,0.9476190476190476,0.8095238095238095,0.8323689064558628,0.8859168019936472,0.8741496598639455,0.7655583243225336,0.9218369498937461
DecisionTree,CSPP1,MIR137,ZNF793,0.9214285714285715,0.9857142857142858,0.857142857142857,0.8733695652173914,0.9260606060606061,0.9448979591836736,0.8501838679989262,0.9609293873312563
DecisionTree,NPY,MIR137,ZNF793,0.8761904761904763,0.9904761904761905,0.7619047619047619,0.8061538461538461,0.8888066604995373,0.8723356009070296,0.7730930074639888,0.9471226021684738
DecisionTree,RAB5A,MIR137,ZNF793,0.8761904761904763,0.9904761904761905,0.7619047619047619,0.8061538461538461,0.8888066604995373,0.8759637188208618,0.7730930074639888,0.9471226021684739
DecisionTree,PIK3R5,RAB5A,ZNF626,0.9285714285714286,1.0,0.857142857142857,0.875,0.9333333333333333,0.9285714285714286,0.8660254037844386,0.9722222222222221
DecisionTree,PIK3R5,RAB5A,ZNF793,0.9285714285714286,1.0,0.857142857142857,0.875,0.9333333333333333,0.9513605442176871,0.8660254037844386,0.9722222222222221
DecisionTree,COL23A1,HOXD8,IMMP2L,0.9190476190476191,0.980952380952381,0.857142857142857,0.8728260869565219,0.9236363636363636,0.9393424036281178,0.8449033560704222,0.9571651090342679
DecisionTree,CSPP1,HOXD8,IMMP2L,0.9214285714285715,0.9857142857142858,0.857142857142857,0.8733695652173914,0.926060606060606,0.9464852607709752,0.8501838679989262,0.9609293873312564
DecisionTree,RAB5A,HOXD8,IMMP2L,0.838095238095238,0.9619047619047618,0.7142857142857143,0.7708034188034187,0.8556429232192414,0.8380952380952381,0.6988235112123229,0.9163266686202466
DecisionTree,IMMP2L,RAB5A,ZNF793,0.8857142857142858,0.9619047619047618,0.8095238095238095,0.8345507246376812,0.8935002195871761,0.9105442176870747,0.7812780555876954,0.9332615647457455
DecisionTree,IMMP2L,NPY,ZNF793,0.857142857142857,0.9523809523809523,0.7619047619047619,0.7998076923076922,0.8692445266728338,0.861111111111111,0.7284547064257895,0.9172250023167455
DecisionTree,IMMP2L,RAB5A,ZNF793,0.8857142857142858,0.9619047619047618,0.8095238095238095,0.8345507246376812,0.8935002195871761,0.9105442176870747,0.7812780555876954,0.9332615647457455
