estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,HOXA5,IMMP2L,SH3D19,0.9166666666666667,0.9761904761904763,0.857142857142857,0.8722826086956521,0.9212121212121213,0.9399092970521542,0.8396228441419181,0.9534008307372792
Voting,SALL1,IMMP2L,SH3D19,0.9166666666666667,0.9761904761904763,0.857142857142857,0.8722332015810277,0.9210993657505286,0.9278911564625851,0.8398583347601297,0.9533298066184681
Voting,HOXD10,IMMP2L,TUBB6,0.9047619047619049,0.9523809523809523,0.857142857142857,0.8694169960474308,0.9087526427061311,0.9843537414965986,0.8139267563540329,0.934366366895903
Voting,ZNF542,IMMP2L,TUBB6,0.9166666666666667,0.976190476190476,0.857142857142857,0.8722826086956523,0.9212121212121213,0.9907029478458049,0.8396228441419181,0.9534008307372792
Voting,CD96,HOXD9,KCNK12,0.9404761904761905,0.9761904761904763,0.9047619047619049,0.9110671936758893,0.9423890063424947,0.9471655328798188,0.8835047947337094,0.9623523188150239
Voting,CD96,ZNF542,KCNK12,0.9404761904761905,0.9761904761904763,0.9047619047619049,0.9110671936758893,0.9423890063424947,0.9875283446712018,0.8835047947337094,0.9623523188150239
Voting,ADD2,HOXD9,IMMP2L,0.8952380952380954,0.980952380952381,0.8095238095238095,0.8373333333333333,0.9033816425120772,0.9408163265306122,0.8026928186419198,0.9483520217465171
Voting,ADD2,ZNF542,IMMP2L,0.9428571428571428,0.980952380952381,0.9047619047619049,0.9114624505928852,0.9448202959830867,0.9582766439909298,0.8885824876162447,0.9661435372950097
Voting,DDX25,PIK3R5,SALL1,0.8857142857142858,0.9619047619047618,0.8095238095238095,0.8344927536231884,0.8933904259991214,0.9716553287981858,0.7815348273013893,0.93319170151889
Voting,ST8SIA1,PIK3R5,SALL1,0.9523809523809523,1.0,0.9047619047619049,0.9130434782608694,0.9545454545454548,0.9648526077097506,0.9088932591463857,0.9813084112149533
Voting,SALL1,ST8SIA5,WSB1,0.9166666666666667,0.9285714285714286,0.9047619047619049,0.906764539808018,0.9170171858770839,0.9582766439909298,0.8346247080620246,0.9237860446730135
Voting,ZNF626,ST8SIA5,WSB1,0.9261904761904762,0.9476190476190476,0.9047619047619049,0.9085827216261997,0.9274539414074298,0.9791383219954648,0.8536939598469366,0.9393883668791092
Voting,ZNF829,ST8SIA5,WSB1,0.9357142857142857,0.9666666666666666,0.9047619047619049,0.9102766798418971,0.9375264270613108,0.976190476190476,0.873349408968639,0.9547698818550521
Voting,IMMP2L,NPBWR1,SALL1,0.8738095238095239,0.9857142857142858,0.7619047619047619,0.8053205128205129,0.8862945832048513,0.9517006802721089,0.7676898513585453,0.9433424458653817
Voting,IMMP2L,NPBWR1,SMAD9,0.9285714285714286,1.0,0.857142857142857,0.875,0.9333333333333333,0.9925170068027211,0.8660254037844386,0.9722222222222221
Voting,IMMP2L,NPBWR1,SALL1,0.8738095238095239,0.9857142857142858,0.7619047619047619,0.8053205128205129,0.8862945832048513,0.9517006802721089,0.7676898513585453,0.9433424458653817
