estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
LogisticRegressionElastic,FNDC1,MIR1178,SALL1,0.9428571428571428,0.9761904761904762,0.8095238095238095,0.9534883720930233,0.9647058823529412,0.9608843537414966,0.8163716483922341,0.9715639810426541
LogisticRegressionElastic,SERPINB5,MIR1178,SALL1,0.9619047619047619,0.9880952380952381,0.8571428571428571,0.9651162790697675,0.9764705882352941,0.9648526077097507,0.8782179853916458,0.9834123222748815
LogisticRegressionElastic,FNDC1,KLF6,PIK3R5,0.9619047619047619,0.9880952380952381,0.8571428571428571,0.9651162790697675,0.9764705882352941,0.9863945578231292,0.8782179853916458,0.9834123222748815
LogisticRegressionElastic,FNDC1,PRDM2,PIK3R5,0.9142857142857143,0.9166666666666666,0.9047619047619048,0.9746835443037974,0.9447852760736196,0.9370748299319729,0.7612352233301866,0.927710843373494
LogisticRegressionElastic,DLX5,MIR1178,SERPINB5,0.9619047619047619,0.9880952380952381,0.8571428571428571,0.9651162790697675,0.9764705882352941,0.9846938775510203,0.8782179853916458,0.9834123222748815
LogisticRegressionElastic,SALL1,MIR1178,SERPINB5,0.9619047619047619,0.9880952380952381,0.8571428571428571,0.9651162790697675,0.9764705882352941,0.9648526077097507,0.8782179853916458,0.9834123222748815
LogisticRegressionElastic,IMMP2L,KLF6,SERPINB5,0.8857142857142857,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.9365079365079364,0.6428571428571429,0.9285714285714286
LogisticRegressionElastic,IMMP2L,SALL1,SERPINB5,0.9333333333333333,0.9642857142857143,0.8095238095238095,0.9529411764705882,0.9585798816568047,0.9710884353741497,0.7882407813680822,0.9619952494061758
LogisticRegressionElastic,KLF6,MIR196A1,SERPINB5,0.9714285714285714,1.0,0.8571428571428571,0.9655172413793104,0.9824561403508771,0.9875283446712019,0.9097176522946842,0.9929078014184397
LogisticRegressionElastic,ZNF529,MIR196A1,SERPINB5,0.9619047619047619,0.9761904761904762,0.9047619047619048,0.9761904761904762,0.9761904761904762,0.9778911564625851,0.8809523809523809,0.9761904761904762
LogisticRegressionElastic,CSPP1,MIR137,ZNF793,0.9142857142857143,0.9523809523809523,0.7619047619047619,0.9411764705882353,0.9467455621301775,0.9733560090702948,0.7276068751089989,0.9501187648456056
LogisticRegressionElastic,NPY,MIR137,ZNF793,0.8857142857142857,0.9642857142857143,0.5714285714285714,0.9,0.9310344827586207,0.9506802721088434,0.6123724356957946,0.9507042253521126
LogisticRegressionElastic,RAB5A,MIR137,ZNF793,0.9333333333333333,0.9642857142857143,0.8095238095238095,0.9529411764705882,0.9585798816568047,0.9637188208616779,0.7882407813680822,0.9619952494061758
LogisticRegressionElastic,PIK3R5,RAB5A,ZNF626,0.9714285714285714,0.9880952380952381,0.9047619047619048,0.9764705882352941,0.9822485207100592,0.9699546485260772,0.9095085938862487,0.9857482185273159
LogisticRegressionElastic,PIK3R5,RAB5A,ZNF793,0.9619047619047619,0.9880952380952381,0.8571428571428571,0.9651162790697675,0.9764705882352941,0.963718820861678,0.8782179853916458,0.9834123222748815
LogisticRegressionElastic,COL23A1,HOXD8,IMMP2L,0.9619047619047619,0.9761904761904762,0.9047619047619048,0.9761904761904762,0.9761904761904762,0.9852607709750567,0.8809523809523809,0.9761904761904762
LogisticRegressionElastic,CSPP1,HOXD8,IMMP2L,0.9523809523809523,0.9761904761904762,0.8571428571428571,0.9647058823529412,0.9704142011834319,0.9858276643990929,0.8488746876271654,0.9738717339667459
LogisticRegressionElastic,RAB5A,HOXD8,IMMP2L,0.9523809523809523,0.9761904761904762,0.8571428571428571,0.9647058823529412,0.9704142011834319,0.9756235827664399,0.8488746876271654,0.9738717339667459
LogisticRegressionElastic,IMMP2L,RAB5A,ZNF793,0.9523809523809523,0.9642857142857143,0.9047619047619048,0.9759036144578314,0.9700598802395209,0.9722222222222223,0.8541663883916589,0.9665871121718377
LogisticRegressionElastic,IMMP2L,NPY,ZNF793,0.9619047619047619,0.9880952380952381,0.8571428571428571,0.9651162790697675,0.9764705882352941,0.9880952380952381,0.8782179853916458,0.9834123222748815
LogisticRegressionElastic,IMMP2L,RAB5A,ZNF793,0.9523809523809523,0.9642857142857143,0.9047619047619048,0.9759036144578314,0.9700598802395209,0.9722222222222223,0.8541663883916589,0.9665871121718377
