select_model,validation_model,num_features,accuracy,sensitivity,specificity,precision,f1,mcc
Decision Tree,Decision Tree,25,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,30,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,35,0.88,0.88,0.91,1,1,0.62
Decision Tree,Decision Tree,40,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,45,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,50,0.96,0.95,1.0,1,1,0.83
Decision Tree,Decision Tree,55,0.96,0.95,1.0,1,1,0.83
Decision Tree,Decision Tree,60,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,65,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,70,0.99,0.99,1.0,1,1,0.95
Decision Tree,Decision Tree,75,0.95,0.94,1.0,1,1,0.8
Decision Tree,Decision Tree,80,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,20,1.0,1.0,1.0,1,1,1.0
Decision Tree,Random Forest,25,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,30,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,35,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,40,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,45,0.98,0.98,1.0,1,1,0.91
Decision Tree,Random Forest,50,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,55,0.98,0.98,1.0,1,1,0.91
Decision Tree,Random Forest,60,0.98,0.98,1.0,1,1,0.91
Decision Tree,Random Forest,65,1.0,1.0,1.0,1,1,1.0
Decision Tree,Random Forest,70,0.99,0.99,1.0,1,1,0.95
Decision Tree,Random Forest,75,1.0,1.0,1.0,1,1,1.0
Decision Tree,Random Forest,80,1.0,1.0,1.0,1,1,1.0
Decision Tree,XGBoost,20,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,25,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,30,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,35,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,40,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,45,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,50,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,55,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,60,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,65,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,70,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,75,0.99,0.99,1.0,1,1,0.95
Decision Tree,XGBoost,80,0.99,0.99,1.0,1,1,0.95
SVM,SVM,20,1.0,1.0,1.0,1,1,1.0
SVM,SVM,25,1.0,1.0,1.0,1,1,1.0
SVM,SVM,30,1.0,1.0,1.0,1,1,1.0
SVM,SVM,35,1.0,1.0,1.0,1,1,1.0
SVM,SVM,40,1.0,1.0,1.0,1,1,1.0
SVM,SVM,45,1.0,1.0,1.0,1,1,1.0
SVM,SVM,50,1.0,1.0,1.0,1,1,1.0
SVM,SVM,55,1.0,1.0,1.0,1,1,1.0
SVM,SVM,60,1.0,1.0,1.0,1,1,1.0
SVM,SVM,65,1.0,1.0,1.0,1,1,1.0
SVM,SVM,70,1.0,1.0,1.0,1,1,1.0
SVM,SVM,75,1.0,1.0,1.0,1,1,1.0
SVM,SVM,80,1.0,1.0,1.0,1,1,1.0
SVM,Decision Tree,20,1.0,1.0,1.0,1,1,1.0
SVM,Decision Tree,25,0.95,0.95,0.91,1,1,0.78
SVM,Decision Tree,30,1.0,1.0,1.0,1,1,1.0
SVM,Decision Tree,35,0.95,0.95,0.91,1,1,0.78
SVM,Decision Tree,40,0.98,0.98,1.0,1,1,0.91
SVM,Decision Tree,45,0.95,0.95,0.91,1,1,0.78
SVM,Decision Tree,50,0.96,0.96,0.91,1,1,0.81
SVM,Decision Tree,55,0.98,0.98,1.0,1,1,0.91
SVM,Decision Tree,60,0.96,0.95,1.0,1,1,0.83
SVM,Decision Tree,65,0.98,0.98,1.0,1,1,0.91
SVM,Decision Tree,70,0.98,0.98,1.0,1,1,0.91
SVM,Decision Tree,75,1.0,1.0,1.0,1,1,1.0
SVM,Decision Tree,80,0.99,0.99,1.0,1,1,0.95
SVM,Random Forest,20,0.99,1.0,0.91,1,1,0.95
SVM,Random Forest,25,0.99,1.0,0.91,1,1,0.95
SVM,Random Forest,30,0.99,1.0,0.91,1,1,0.95
SVM,Random Forest,35,0.99,1.0,0.91,1,1,0.95
SVM,Random Forest,40,0.99,1.0,0.91,1,1,0.95
SVM,Random Forest,45,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,50,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,55,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,60,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,65,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,70,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,75,1.0,1.0,1.0,1,1,1.0
SVM,Random Forest,80,1.0,1.0,1.0,1,1,1.0
SVM,XGBoost,20,1.0,1.0,1.0,1,1,1.0
SVM,XGBoost,25,0.99,1.0,0.91,1,1,0.95
SVM,XGBoost,30,0.99,1.0,0.91,1,1,0.95
SVM,XGBoost,35,0.99,1.0,0.91,1,1,0.95
SVM,XGBoost,40,1.0,1.0,1.0,1,1,1.0
SVM,XGBoost,45,1.0,1.0,1.0,1,1,1.0
SVM,XGBoost,50,1.0,1.0,1.0,1,1,1.0
SVM,XGBoost,55,1.0,1.0,1.0,1,1,1.0
SVM,XGBoost,60,0.99,0.99,1.0,1,1,0.95
SVM,XGBoost,65,0.99,0.99,1.0,1,1,0.95
SVM,XGBoost,70,0.99,0.99,1.0,1,1,0.95
SVM,XGBoost,75,0.99,0.99,1.0,1,1,0.95
SVM,XGBoost,80,0.99,0.99,1.0,1,1,0.95
