selection_model,train_model,features,fpr,tpr,threshold
DecisionTree,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.05263157894736842, 0.05263157894736842, 0.07017543859649122, 0.07017543859649122, 0.12280701754385964, 0.17543859649122806, 1.0]","[0.0, 0.8453038674033149, 0.9263351749539595, 0.9337016574585635, 0.9613259668508287, 0.9631675874769797, 0.9705340699815838, 0.9779005524861878, 0.9815837937384899, 0.9852670349907919, 0.9852670349907919, 0.988950276243094, 0.992633517495396, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0]","[       inf 0.9755043  0.96594906 0.9580151  0.9536088  0.9420428
 0.9360723  0.9140758  0.90303963 0.7357541  0.73365474 0.6432151
 0.60884887 0.58283484 0.525795   0.47142372 0.38849702 0.36857638
 0.2774176  0.2469496  0.17670295]"
DecisionTree,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19298245614035087, 0.22807017543859648, 0.24561403508771928, 0.2982456140350877, 0.3333333333333333, 0.3508771929824561, 0.47368421052631576, 0.5087719298245614, 1.0]","[0.0, 0.9686924493554327, 0.9705340699815838, 0.9760589318600368, 0.9834254143646409, 0.9871086556169429, 0.990791896869245, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.985      0.98       0.96       0.925
 0.91333333 0.61333333 0.07       0.06       0.05       0.04
 0.03       0.02333333 0.02       0.01       0.        ]"
DecisionTree,SVM,4,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.42105263157894735, 0.42105263157894735, 1.0]","[0.0, 0.001841620626151013, 0.994475138121547, 0.994475138121547, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 0.99999999 0.86876398 0.66595695 0.53903304 0.08386903
 0.08244751 0.02098807]"
DecisionTree,DecisionTree,4,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.07017543859649122, 0.07017543859649122, 0.08771929824561403, 0.17543859649122806, 0.3157894736842105, 1.0]","[0.0, 0.8324125230202578, 0.8379373848987108, 0.858195211786372, 0.9300184162062615, 0.9539594843462247, 0.9594843462246777, 0.9668508287292817, 0.9686924493554327, 0.9742173112338858, 0.9834254143646409, 0.9834254143646409, 0.988950276243094, 0.988950276243094, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0]","[       inf 0.93802327 0.9351274  0.9335455  0.93005615 0.9274839
 0.9250486  0.92186517 0.9134965  0.90956503 0.853462   0.7798277
 0.6803392  0.65239185 0.6122155  0.5810706  0.5241593  0.5119861
 0.45081013 0.36357716 0.33500516]"
DecisionTree,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03508771929824561, 0.03508771929824561, 0.10526315789473684, 0.10526315789473684, 0.22807017543859648, 0.2807017543859649, 0.38596491228070173, 0.42105263157894735, 0.45614035087719296, 0.5263157894736842, 0.543859649122807, 0.5964912280701754, 0.6140350877192983, 1.0]","[0.0, 0.9337016574585635, 0.9355432780847146, 0.9429097605893186, 0.9594843462246777, 0.9631675874769797, 0.9686924493554327, 0.9779005524861878, 0.9815837937384899, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99166667 0.99       0.9875     0.97070707
 0.97       0.9375     0.925      0.67487374 0.58820707 0.58607143
 0.29440476 0.27458333 0.08916667 0.0875     0.03958333 0.03916667
 0.03541667 0.02       0.01875    0.01666667 0.0125     0.        ]"
DecisionTree,SVM,5,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.40350877192982454, 0.40350877192982454, 1.0]","[0.0, 0.001841620626151013, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 1.         0.84907743 0.83262305 0.70172474 0.54973801
 0.48421623 0.04550875 0.04102885 0.00274847]"
DecisionTree,DecisionTree,5,"[0.0, 0.0, 0.017543859649122806, 0.05263157894736842, 1.0]","[0.0, 0.992633517495396, 0.996316758747698, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
RandomForest,XGBoost,1,"[0.0, 0.0, 0.05263157894736842, 0.08771929824561403, 0.12280701754385964, 0.17543859649122806, 0.22807017543859648, 0.3684210526315789, 0.38596491228070173, 0.5263157894736842, 0.543859649122807, 0.7192982456140351, 1.0]","[0.0, 0.9318600368324125, 0.9650092081031307, 0.9705340699815838, 0.9742173112338858, 0.9742173112338858, 0.9815837937384899, 0.9834254143646409, 0.9871086556169429, 0.988950276243094, 0.990791896869245, 0.994475138121547, 1.0]","[       inf 0.9957819  0.882122   0.61485505 0.44376412 0.28114444
 0.26843715 0.25208116 0.24808635 0.23810044 0.22430389 0.21237507
 0.19960575]"
RandomForest,RandomForest,1,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.12280701754385964, 0.15789473684210525, 0.21052631578947367, 0.3684210526315789, 0.47368421052631576, 1.0]","[0.0, 0.9576427255985267, 0.9686924493554327, 0.9815837937384899, 0.988950276243094, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.7 0.6 0.5 0.4 0.3 0.2 0.1 0. ]
