Feature,Cluster
ABL1,0
ACOT11,-1
ACOT7,0
ACTN2,0
ACVR1,0
ADAM19,0
ADAMTS12,0
ADAMTS16,-1
ADAMTS20,-1
ADCYAP1,0
ADCYAP1R1,0
ADORA2B,0
ADORA3,0
AHNAK,0
AHRR,0
AIM2,0
AJAP1,0
ALX3,0
ANGPTL2,0
APCS,0
ASPG,0
ATP4A,-1
ATXN1,0
BCAS3,0
BCAT1,-1
BDNF,0
BMP7,0
BNC1,-1
BVES,0
C1QL1,0
C4BPA,0
CA3,0
CACNA1A,0
CACNA1B,0
CACNA1C,0
CACNA1E,-1
CACNA1I,0
CADM3,0
CAPZB,0
CARTPT,0
CAV2,0
CCDC8,0
CCND2,0
CD1B,0
CD1C,0
CD1D,0
CD247,0
CD38,0
CD40,0
CDH23,0
CDH4,0
CDH5,0
CDK2AP1,0
CDK6,0
CDO1,-1
CFTR,0
CHRNA4,0
CHST2,-1
CIT,0
CLDN10,0
CLDN5,0
CLDN6,0
CLEC14A,0
CMKLR1,0
CNGA3,0
COL11A1,-1
COL11A2,0
COL5A2,0
CPEB1,0
CPXM1,-1
CREB3L2,0
CRHBP,0
CRMP1,0
CRTC1,0
CRYM,0
CSMD1,0
CSMD3,0
CUX1,0
CYP1B1,0
CYP26A1,-1
CYTL1,0
CYYR1,0
DAB2,0
DDR2,0
DGKI,0
DLEU7,0
DLK1,0
DNM3,0
DOCK2,0
DPYS,0
DPYSL2,0
DSC3,0
EBF1,0
EEF1A2,0
EFEMP1,0
ENPP2,-1
EOMES,0
EPHA1,0
EPHB1,0
ESRRG,0
EVX1,0
EZR,0
F7,0
FAIM2,0
FAT4,0
FBXO39,0
FCGRT,0
FCRL3,-1
FES,0
FEZF2,0
FGF18,-1
FGF8,-1
FLG,0
FLI1,0
FLRT2,-1
FLT4,0
FMN2,0
FMNL2,-1
FOXA2,0
FOXD3,0
FOXE1,0
FOXG1,0
FOXQ1,0
FRZB,0
GALNT6,0
GALNT7,-1
GALR1,0
GALR3,-1
GAS1,0
GCK,0
GCM2,0
GHSR,-1
GLI2,0
GNG4,0
GRIA1,0
GRIA4,-1
GRIN1,0
GRM1,0
GRM6,0
GSTA4,0
HAPLN4,-1
HCK,0
HOPX,0
HOXA1,0
HOXA10,0
HOXA4,0
HOXA9,0
HOXC4,0
HOXD10,0
HOXD11,0
